 time            v(vin)          v(b1_base)      v(b1_emitter)   v(b1_collector) v(b1_out)      
 0.00000000e+00  2.50000000e+00  1.12920737e+00  3.35518978e-01  3.36582829e+00  3.36582829e+00 
 1.00000000e-08  2.50000006e+00  1.12920743e+00  3.35519049e-01  3.36582800e+00  3.36582800e+00 
 2.00000000e-08  2.50000013e+00  1.12920749e+00  3.35519107e-01  3.36582773e+00  3.36582773e+00 
 4.00000000e-08  2.50000025e+00  1.12920762e+00  3.35519223e-01  3.36582717e+00  3.36582717e+00 
 8.00000000e-08  2.50000050e+00  1.12920787e+00  3.35519454e-01  3.36582604e+00  3.36582604e+00 
 1.60000000e-07  2.50000101e+00  1.12920837e+00  3.35519918e-01  3.36582379e+00  3.36582379e+00 
 3.20000000e-07  2.50000201e+00  1.12920938e+00  3.35520844e-01  3.36581928e+00  3.36581928e+00 
 6.40000000e-07  2.50000402e+00  1.12921139e+00  3.35522696e-01  3.36581027e+00  3.36581027e+00 
 1.28000000e-06  2.50000804e+00  1.12921541e+00  3.35526401e-01  3.36579225e+00  3.36579225e+00 
 2.28000000e-06  2.50001433e+00  1.12922169e+00  3.35532189e-01  3.36576409e+00  3.36576409e+00 
 3.28000000e-06  2.50002061e+00  1.12922797e+00  3.35537976e-01  3.36573593e+00  3.36573593e+00 
 4.28000000e-06  2.50002689e+00  1.12923426e+00  3.35543763e-01  3.36570778e+00  3.36570778e+00 
 5.28000000e-06  2.50003317e+00  1.12924054e+00  3.35549549e-01  3.36567963e+00  3.36567963e+00 
 6.28000000e-06  2.50003945e+00  1.12924681e+00  3.35555333e-01  3.36565149e+00  3.36565149e+00 
 7.28000000e-06  2.50004573e+00  1.12925309e+00  3.35561116e-01  3.36562335e+00  3.36562335e+00 
 8.28000000e-06  2.50005200e+00  1.12925937e+00  3.35566897e-01  3.36559523e+00  3.36559523e+00 
 9.28000000e-06  2.50005827e+00  1.12926564e+00  3.35572677e-01  3.36556711e+00  3.36556711e+00 
 1.02800000e-05  2.50006455e+00  1.12927191e+00  3.35578454e-01  3.36553900e+00  3.36553900e+00 
 1.12800000e-05  2.50007082e+00  1.12927818e+00  3.35584228e-01  3.36551091e+00  3.36551091e+00 
 1.22800000e-05  2.50007708e+00  1.12928444e+00  3.35590000e-01  3.36548283e+00  3.36548283e+00 
 1.32800000e-05  2.50008334e+00  1.12929070e+00  3.35595769e-01  3.36545476e+00  3.36545476e+00 
 1.42800000e-05  2.50008960e+00  1.12929696e+00  3.35601535e-01  3.36542671e+00  3.36542671e+00 
 1.52800000e-05  2.50009586e+00  1.12930322e+00  3.35607298e-01  3.36539867e+00  3.36539867e+00 
 1.62800000e-05  2.50010211e+00  1.12930947e+00  3.35613057e-01  3.36537066e+00  3.36537066e+00 
 1.72800000e-05  2.50010836e+00  1.12931571e+00  3.35618812e-01  3.36534266e+00  3.36534266e+00 
 1.82800000e-05  2.50011460e+00  1.12932196e+00  3.35624564e-01  3.36531468e+00  3.36531468e+00 
 1.92800000e-05  2.50012084e+00  1.12932819e+00  3.35630311e-01  3.36528671e+00  3.36528671e+00 
 2.02800000e-05  2.50012708e+00  1.12933443e+00  3.35636053e-01  3.36525878e+00  3.36525878e+00 
 2.12800000e-05  2.50013331e+00  1.12934066e+00  3.35641791e-01  3.36523086e+00  3.36523086e+00 
