 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+01  1.94370112e-04  3.16326794e-06 
 1.02920053e+01  1.90397245e-04  3.02939710e-06 
 1.05925373e+01  1.86349538e-04  2.90122771e-06 
 1.09018449e+01  1.82238622e-04  2.77851491e-06 
 1.12201845e+01  1.78075902e-04  2.66102456e-06 
 1.15478198e+01  1.73872505e-04  2.54853276e-06 
 1.18850223e+01  1.69639223e-04  2.44082540e-06 
 1.22320712e+01  1.65386470e-04  2.33769769e-06 
 1.25892541e+01  1.61124242e-04  2.23895374e-06 
 1.29568670e+01  1.56862079e-04  2.14440620e-06 
 1.33352143e+01  1.52609040e-04  2.05387580e-06 
 1.37246096e+01  1.48373680e-04  1.96719108e-06 
 1.41253754e+01  1.44164029e-04  1.88418798e-06 
 1.45378439e+01  1.39987585e-04  1.80470952e-06 
 1.49623566e+01  1.35851302e-04  1.72860550e-06 
 1.53992653e+01  1.31761594e-04  1.65573220e-06 
 1.58489319e+01  1.27724332e-04  1.58595207e-06 
 1.63117291e+01  1.23744852e-04  1.51913351e-06 
 1.67880402e+01  1.19827965e-04  1.45515054e-06 
 1.72782598e+01  1.15977972e-04  1.39388261e-06 
 1.77827941e+01  1.12198676e-04  1.33521433e-06 
 1.83020611e+01  1.08493400e-04  1.27903527e-06 
 1.88364909e+01  1.04865012e-04  1.22523971e-06 
 1.93865264e+01  1.01315939e-04  1.17372647e-06 
 1.99526231e+01  9.78481949e-05  1.12439869e-06 
 2.05352503e+01  9.44634029e-05  1.07716365e-06 
 2.11348904e+01  9.11628177e-05  1.03193260e-06 
 2.17520403e+01  8.79473510e-05  9.88620574e-07 
 2.23872114e+01  8.48175952e-05  9.47146220e-07 
 2.30409298e+01  8.17738476e-05  9.07431669e-07 
 2.37137371e+01  7.88161337e-05  8.69402366e-07 
 2.44061907e+01  7.59442306e-05  8.32986932e-07 
 2.51188643e+01  7.31576887e-05  7.98117029e-07 
 2.58523484e+01  7.04558536e-05  7.64727227e-07 
 2.66072506e+01  6.78378864e-05  7.32754880e-07 
 2.73841963e+01  6.53027837e-05  7.02140009e-07 
 2.81838293e+01  6.28493957e-05  6.72825183e-07 
 2.90068120e+01  6.04764441e-05  6.44755411e-07 
 2.98538262e+01  5.81825387e-05  6.17878043e-07 
 3.07255737e+01  5.59661923e-05  5.92142660e-07 
 3.16227766e+01  5.38258355e-05  5.67500989e-07 
 3.25461783e+01  5.17598302e-05  5.43906804e-07 
 3.34965439e+01  4.97664812e-05  5.21315840e-07 
 3.44746607e+01  4.78440483e-05  4.99685713e-07 
 3.54813389e+01  4.59907561e-05  4.78975835e-07 
 3.65174127e+01  4.42048041e-05  4.59147338e-07 
 3.75837404e+01  4.24843745e-05  4.40163006e-07 
 3.86812055e+01  4.08276408e-05  4.21987197e-07 
 3.98107171e+01  3.92327740e-05  4.04585780e-07 
 4.09732110e+01  3.76979497e-05  3.87926071e-07 
 4.21696503e+01  3.62213531e-05  3.71976770e-07 
 4.34010264e+01  3.48011843e-05  3.56707903e-07 
 4.46683592e+01  3.34356625e-05  3.42090762e-07 
 4.59726989e+01  3.21230300e-05  3.28097858e-07 
 4.73151259e+01  3.08615552e-05  3.14702863e-07 
 4.86967525e+01  2.96495360e-05  3.01880561e-07 
 5.01187234e+01  2.84853018e-05  2.89606806e-07 
 5.15822165e+01  2.73672155e-05  2.77858468e-07 
 5.30884444e+01  2.62936756e-05  2.66613398e-07 
 5.46386550e+01  2.52631173e-05  2.55850381e-07 
 5.62341325e+01  2.42740137e-05  2.45549096e-07 
 5.78761988e+01  2.33248764e-05  2.35690083e-07 
 5.95662144e+01  2.24142563e-05  2.26254698e-07 
 6.13055792e+01  2.15407440e-05  2.17225087e-07 
 6.30957344e+01  2.07029697e-05  2.08584146e-07 
 6.49381632e+01  1.98996037e-05  2.00315490e-07 
 6.68343918e+01  1.91293557e-05  1.92403424e-07 
