 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  4.42601261e+00  4.42601261e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.24556587e-05 
 5.00000000e-08  2.50000031e+00  4.42601256e+00  4.42601262e+00  2.50000001e+00  2.50000000e+00  2.50000000e+00 -1.24556590e-05 
 1.00000000e-07  2.50000063e+00  4.42601245e+00  4.42601265e+00  2.50000004e+00  2.50000000e+00  2.50000000e+00 -1.24556596e-05 
 2.00000000e-07  2.50000126e+00  4.42601212e+00  4.42601277e+00  2.50000016e+00  2.50000000e+00  2.50000000e+00 -1.24556612e-05 
 4.00000000e-07  2.50000251e+00  4.42601084e+00  4.42601357e+00  2.50000096e+00  2.50000001e+00  2.50000000e+00 -1.24556650e-05 
 8.00000000e-07  2.50000503e+00  4.42600604e+00  4.42601923e+00  2.50000662e+00  2.50000013e+00  2.50000001e+00 -1.24556579e-05 
 1.60000000e-06  2.50001005e+00  4.42598920e+00  4.42605700e+00  2.50004438e+00  2.50000259e+00  2.50000045e+00 -1.24554893e-05 
 3.20000000e-06  2.50002010e+00  4.42593591e+00  4.42627572e+00  2.50026310e+00  2.50003771e+00  2.50001136e+00 -1.24541531e-05 
 6.40000000e-06  2.50004020e+00  4.42579129e+00  4.42727794e+00  2.50126528e+00  2.50037086e+00  2.50017866e+00 -1.24472186e-05 
 1.14000000e-05  2.50007157e+00  4.42553382e+00  4.42981979e+00  2.50380687e+00  2.50177425e+00  2.50115240e+00 -1.24287375e-05 
 1.64000000e-05  2.50010286e+00  4.42527099e+00  4.43285614e+00  2.50684269e+00  2.50406910e+00  2.50307971e+00 -1.24062950e-05 
 2.14000000e-05  2.50013406e+00  4.42500884e+00  4.43597414e+00  2.50995985e+00  2.50684793e+00  2.50567100e+00 -1.23831856e-05 
 2.64000000e-05  2.50016512e+00  4.42474743e+00  4.43908626e+00  2.51307081e+00  2.50982905e+00  2.50857676e+00 -1.23601178e-05 
 3.14000000e-05  2.50019601e+00  4.42448702e+00  4.44217904e+00  2.51616213e+00  2.51288163e+00  2.51160353e+00 -1.23371985e-05 
 3.64000000e-05  2.50022672e+00  4.42422788e+00  4.44524799e+00  2.51922931e+00  2.51594900e+00  2.51466648e+00 -1.23144618e-05 
 4.14000000e-05  2.50025720e+00  4.42397027e+00  4.44828996e+00  2.52226921e+00  2.51900667e+00  2.51772896e+00 -1.22919311e-05 
 4.64000000e-05  2.50028743e+00  4.42371445e+00  4.45130204e+00  2.52527891e+00  2.52204297e+00  2.52077456e+00 -1.22696279e-05 
 5.14000000e-05  2.50031737e+00  4.42346068e+00  4.45428137e+00  2.52825557e+00  2.52505159e+00  2.52379495e+00 -1.22475733e-05 
 5.64000000e-05  2.50034700e+00  4.42320922e+00  4.45722517e+00  2.53119640e+00  2.52802831e+00  2.52678515e+00 -1.22257875e-05 
 6.14000000e-05  2.50037629e+00  4.42296032e+00  4.46013071e+00  2.53409866e+00  2.53096979e+00  2.52974147e+00 -1.22042908e-05 
 6.64000000e-05  2.50040521e+00  4.42271424e+00  4.46299529e+00  2.53695969e+00  2.53387307e+00  2.53266082e+00 -1.21831027e-05 
 7.14000000e-05  2.50043372e+00  4.42247123e+00  4.46581631e+00  2.53977687e+00  2.53673540e+00  2.53554036e+00 -1.21622424e-05 
 7.64000000e-05  2.50046181e+00  4.42223154e+00  4.46859119e+00  2.54254764e+00  2.53955411e+00  2.53837739e+00 -1.21417286e-05 
 8.14000000e-05  2.50048944e+00  4.42199542e+00  4.47131745e+00  2.54526951e+00  2.54232664e+00  2.54116931e+00 -1.21215795e-05 
 8.64000000e-05  2.50051659e+00  4.42176310e+00  4.47399265e+00  2.54794005e+00  2.54505048e+00  2.54391359e+00 -1.21018128e-05 
 9.14000000e-05  2.50054323e+00  4.42153484e+00  4.47661442e+00  2.55055689e+00  2.54772320e+00  2.54660776e+00 -1.20824457e-05 
 9.64000000e-05  2.50056934e+00  4.42131088e+00  4.47918045e+00  2.55311774e+00  2.55034243e+00  2.54924943e+00 -1.20634950e-05 
 1.01400000e-04  2.50059488e+00  4.42109143e+00  4.48168851e+00  2.55562037e+00  2.55290586e+00  2.55183627e+00 -1.20449768e-05 
 1.06400000e-04  2.50061983e+00  4.42087674e+00  4.48413644e+00  2.55806261e+00  2.55541127e+00  2.55436600e+00 -1.20269068e-05 
 1.11400000e-04  2.50064418e+00  4.42066704e+00  4.48652213e+00  2.56044238e+00  2.55785648e+00  2.55683645e+00 -1.20093001e-05 
 1.16400000e-04  2.50066788e+00  4.42046253e+00  4.48884356e+00  2.56275765e+00  2.56023941e+00  2.55924549e+00 -1.19921714e-05 
 1.21400000e-04  2.50069093e+00  4.42026344e+00  4.49109878e+00  2.56500647e+00  2.56255802e+00  2.56159105e+00 -1.19755347e-05 
 1.26400000e-04  2.50071330e+00  4.42006997e+00  4.49328588e+00  2.56718697e+00  2.56481036e+00  2.56387116e+00 -1.19594036e-05 
 1.31400000e-04  2.50073496e+00  4.41988234e+00  4.49540307e+00  2.56929734e+00  2.56699455e+00  2.56608390e+00 -1.19437911e-05 
 1.36400000e-04  2.50075590e+00  4.41970075e+00  4.49744861e+00  2.57133584e+00  2.56910878e+00  2.56822743e+00 -1.19287096e-05 
 1.41400000e-04  2.50077609e+00  4.41952538e+00  4.49942081e+00  2.57330081e+00  2.57115130e+00  2.57029999e+00 -1.19141711e-05 
 1.46400000e-04  2.50079552e+00  4.41935643e+00  4.50131809e+00  2.57519066e+00  2.57312045e+00  2.57229987e+00 -1.19001870e-05 
 1.51400000e-04  2.50081416e+00  4.41919407e+00  4.50313892e+00  2.57700388e+00  2.57501464e+00  2.57422544e+00 -1.18867682e-05 
 1.56400000e-04  2.50083199e+00  4.41903848e+00  4.50488184e+00  2.57873902e+00  2.57683234e+00  2.57607517e+00 -1.18739249e-05 
 1.61400000e-04  2.50084901e+00  4.41888983e+00  4.50654549e+00  2.58039471e+00  2.57857211e+00  2.57784756e+00 -1.18616670e-05 
 1.66400000e-04  2.50086519e+00  4.41874827e+00  4.50812854e+00  2.58196965e+00  2.58023256e+00  2.57954121e+00 -1.18500038e-05 
 1.71400000e-04  2.50088051e+00  4.41861397e+00  4.50962977e+00  2.58346260e+00  2.58181239e+00  2.58115479e+00 -1.18389441e-05 
 1.76400000e-04  2.50089497e+00  4.41848707e+00  4.51104801e+00  2.58487243e+00  2.58331038e+00  2.58268703e+00 -1.18284960e-05 
 1.81400000e-04  2.50090854e+00  4.41836769e+00  4.51238217e+00  2.58619803e+00  2.58472535e+00  2.58413674e+00 -1.18186673e-05 
 1.86400000e-04  2.50092121e+00  4.41825599e+00  4.51363122e+00  2.58743840e+00  2.58605621e+00  2.58550280e+00 -1.18094652e-05 
 1.91400000e-04  2.50093298e+00  4.41815206e+00  4.51479421e+00  2.58859259e+00  2.58730196e+00  2.58678416e+00 -1.18008964e-05 
