 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  4.54980776e+00  4.54980776e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -2.15498295e-05 
 5.00000000e-08  2.50000031e+00  4.54980771e+00  4.54980777e+00  2.50000001e+00  2.50000000e+00  2.50000000e+00 -2.15498298e-05 
 1.00000000e-07  2.50000063e+00  4.54980762e+00  4.54980779e+00  2.50000003e+00  2.50000000e+00  2.50000000e+00 -2.15498305e-05 
 2.00000000e-07  2.50000126e+00  4.54980735e+00  4.54980787e+00  2.50000011e+00  2.50000000e+00  2.50000000e+00 -2.15498323e-05 
 4.00000000e-07  2.50000251e+00  4.54980628e+00  4.54980843e+00  2.50000066e+00  2.50000002e+00  2.50000000e+00 -2.15498373e-05 
 8.00000000e-07  2.50000503e+00  4.54980230e+00  4.54981232e+00  2.50000456e+00  2.50000030e+00  2.50000002e+00 -2.15498381e-05 
 1.60000000e-06  2.50001005e+00  4.54978836e+00  4.54983804e+00  2.50003028e+00  2.50000363e+00  2.50000043e+00 -2.15497197e-05 
 3.20000000e-06  2.50002010e+00  4.54974457e+00  4.54998410e+00  2.50017634e+00  2.50003635e+00  2.50000788e+00 -2.15486895e-05 
 6.40000000e-06  2.50004020e+00  4.54962680e+00  4.55063358e+00  2.50082579e+00  2.50027435e+00  2.50010226e+00 -2.15433282e-05 
 1.14000000e-05  2.50007157e+00  4.54941883e+00  4.55222658e+00  2.50241869e+00  2.50113664e+00  2.50061348e+00 -2.15293562e-05 
 1.64000000e-05  2.50010286e+00  4.54920732e+00  4.55408115e+00  2.50427304e+00  2.50245402e+00  2.50161505e+00 -2.15127785e-05 
 2.14000000e-05  2.50013406e+00  4.54899650e+00  4.55596390e+00  2.50615544e+00  2.50402621e+00  2.50299222e+00 -2.14959092e-05 
 2.64000000e-05  2.50016512e+00  4.54878634e+00  4.55783880e+00  2.50802986e+00  2.50573225e+00  2.50459138e+00 -2.14791124e-05 
 3.14000000e-05  2.50019601e+00  4.54857707e+00  4.55970216e+00  2.50989263e+00  2.50750801e+00  2.50631066e+00 -2.14624231e-05 
 3.64000000e-05  2.50022672e+00  4.54836889e+00  4.56155196e+00  2.51174171e+00  2.50931665e+00  2.50809174e+00 -2.14458596e-05 
 4.14000000e-05  2.50025720e+00  4.54816203e+00  4.56338641e+00  2.51357531e+00  2.51113690e+00  2.50990109e+00 -2.14294379e-05 
 4.64000000e-05  2.50028743e+00  4.54795668e+00  4.56520374e+00  2.51539167e+00  2.51295609e+00  2.51171923e+00 -2.14131736e-05 
 5.14000000e-05  2.50031737e+00  4.54775305e+00  4.56700222e+00  2.51718907e+00  2.51476636e+00  2.51353448e+00 -2.13970822e-05 
 5.64000000e-05  2.50034700e+00  4.54755134e+00  4.56878015e+00  2.51896580e+00  2.51656259e+00  2.51533956e+00 -2.13811788e-05 
 6.14000000e-05  2.50037629e+00  4.54735177e+00  4.57053586e+00  2.52072018e+00  2.51834115e+00  2.51712965e+00 -2.13654782e-05 
 6.64000000e-05  2.50040521e+00  4.54715452e+00  4.57226768e+00  2.52245056e+00  2.52009932e+00  2.51890133e+00 -2.13499951e-05 
 7.14000000e-05  2.50043372e+00  4.54695981e+00  4.57397401e+00  2.52415534e+00  2.52183484e+00  2.52065197e+00 -2.13347436e-05 
 7.64000000e-05  2.50046181e+00  4.54676783e+00  4.57565327e+00  2.52583294e+00  2.52354576e+00  2.52237937e+00 -2.13197378e-05 
 8.14000000e-05  2.50048944e+00  4.54657877e+00  4.57730391e+00  2.52748179e+00  2.52523030e+00  2.52408163e+00 -2.13049914e-05 
 8.64000000e-05  2.50051659e+00  4.54639283e+00  4.57892441e+00  2.52910041e+00  2.52688681e+00  2.52575699e+00 -2.12905176e-05 
 9.14000000e-05  2.50054323e+00  4.54621019e+00  4.58051329e+00  2.53068730e+00  2.52851370e+00  2.52740383e+00 -2.12763294e-05 
 9.64000000e-05  2.50056934e+00  4.54603105e+00  4.58206912e+00  2.53224103e+00  2.53010946e+00  2.52902057e+00 -2.12624396e-05 
 1.01400000e-04  2.50059488e+00  4.54585559e+00  4.58359048e+00  2.53376019e+00  2.53167261e+00  2.53060571e+00 -2.12488603e-05 
 1.06400000e-04  2.50061983e+00  4.54568399e+00  4.58507602e+00  2.53524343e+00  2.53320173e+00  2.53215779e+00 -2.12356036e-05 
 1.11400000e-04  2.50064418e+00  4.54551643e+00  4.58652441e+00  2.53668942e+00  2.53469545e+00  2.53367542e+00 -2.12226810e-05 
 1.16400000e-04  2.50066788e+00  4.54535307e+00  4.58793437e+00  2.53809689e+00  2.53615242e+00  2.53515721e+00 -2.12101038e-05 
 1.21400000e-04  2.50069093e+00  4.54519409e+00  4.58930464e+00  2.53946458e+00  2.53757135e+00  2.53660185e+00 -2.11978827e-05 
 1.26400000e-04  2.50071330e+00  4.54503966e+00  4.59063404e+00  2.54079130e+00  2.53895098e+00  2.53800805e+00 -2.11860283e-05 
 1.31400000e-04  2.50073496e+00  4.54488993e+00  4.59192139e+00  2.54207589e+00  2.54029010e+00  2.53937457e+00 -2.11745507e-05 
 1.36400000e-04  2.50075590e+00  4.54474506e+00  4.59316558e+00  2.54331723e+00  2.54158754e+00  2.54070020e+00 -2.11634595e-05 
 1.41400000e-04  2.50077609e+00  4.54460520e+00  4.59436554e+00  2.54451426e+00  2.54284216e+00  2.54198380e+00 -2.11527640e-05 
 1.46400000e-04  2.50079552e+00  4.54447049e+00  4.59552023e+00  2.54566595e+00  2.54405289e+00  2.54322424e+00 -2.11424733e-05 
 1.51400000e-04  2.50081416e+00  4.54434108e+00  4.59662867e+00  2.54677130e+00  2.54521867e+00  2.54442046e+00 -2.11325958e-05 
 1.56400000e-04  2.50083199e+00  4.54421711e+00  4.59768991e+00  2.54782939e+00  2.54633852e+00  2.54557142e+00 -2.11231396e-05 
 1.61400000e-04  2.50084901e+00  4.54409869e+00  4.59870305e+00  2.54883931e+00  2.54741147e+00  2.54667614e+00 -2.11141127e-05 
 1.66400000e-04  2.50086519e+00  4.54398596e+00  4.59966725e+00  2.54980022e+00  2.54843661e+00  2.54773368e+00 -2.11055222e-05 
 1.71400000e-04  2.50088051e+00  4.54387904e+00  4.60058168e+00  2.55071130e+00  2.54941309e+00  2.54874315e+00 -2.10973752e-05 
 1.76400000e-04  2.50089497e+00  4.54377805e+00  4.60144578e+00  2.55157199e+00  2.55034013e+00  2.54970371e+00 -2.10896762e-05 
 1.81400000e-04  2.50090854e+00  4.54368307e+00  4.60225860e+00  2.55238135e+00  2.55121697e+00  2.55061459e+00 -2.10824338e-05 
 1.86400000e-04  2.50092121e+00  4.54359421e+00  4.60301928e+00  2.55313851e+00  2.55204274e+00  2.55147499e+00 -2.10756559e-05 
 1.91400000e-04  2.50093298e+00  4.54351157e+00  4.60372743e+00  2.55384309e+00  2.55281676e+00  2.55228411e+00 -2.10693451e-05 
 1.96400000e-04  2.50094382e+00  4.54343523e+00  4.60438245e+00  2.55449450e+00  2.55353844e+00  2.55304130e+00 -2.10635068e-05 
 2.01400000e-04  2.50095374e+00  4.54336528e+00  4.60498380e+00  2.55509220e+00  2.55420718e+00  2.55374597e+00 -2.10581454e-05 
 2.06400000e-04  2.50096271e+00  4.54330179e+00  4.60553099e+00  2.55563570e+00  2.55482245e+00  2.55439753e+00 -2.10532654e-05 
 2.11400000e-04  2.50097073e+00  4.54324483e+00  4.60602357e+00  2.55612456e+00  2.55538373e+00  2.55499546e+00 -2.10488704e-05 
 2.16400000e-04  2.50097780e+00  4.54319445e+00  4.60646115e+00  2.55655837e+00  2.55589058e+00  2.55553927e+00 -2.10449640e-05 
 2.21400000e-04  2.50098390e+00  4.54315072e+00  4.60684335e+00  2.55693679e+00  2.55634258e+00  2.55602851e+00 -2.10415492e-05 
 2.26400000e-04  2.50098903e+00  4.54311367e+00  4.60716988e+00  2.55725951e+00  2.55673936e+00  2.55646280e+00 -2.10386286e-05 
 2.31400000e-04  2.50099318e+00  4.54308335e+00  4.60744046e+00  2.55752627e+00  2.55708060e+00  2.55684176e+00 -2.10362045e-05 
 2.36400000e-04  2.50099635e+00  4.54305979e+00  4.60765488e+00  2.55773685e+00  2.55736602e+00  2.55716511e+00 -2.10342789e-05 
 2.41400000e-04  2.50099854e+00  4.54304301e+00  4.60781297e+00  2.55789108e+00  2.55759539e+00  2.55743256e+00 -2.10328532e-05 
 2.46400000e-04  2.50099974e+00  4.54303304e+00  4.60791459e+00  2.55798884e+00  2.55776853e+00  2.55764392e+00 -2.10319285e-05 
 2.51400000e-04  2.50099996e+00  4.54302988e+00  4.60795966e+00  2.55803004e+00  2.55788530e+00  2.55779900e+00 -2.10315056e-05 
 2.56400000e-04  2.50099919e+00  4.54303353e+00  4.60794815e+00  2.55801466e+00  2.55794560e+00  2.55789769e+00 -2.10315848e-05 
 2.61400000e-04  2.50099744e+00  4.54304400e+00  4.60788006e+00  2.55794271e+00  2.55794938e+00  2.55793989e+00 -2.10321661e-05 
 2.66400000e-04  2.50099470e+00  4.54306126e+00  4.60775544e+00  2.55781423e+00  2.55789664e+00  2.55792559e+00 -2.10332490e-05 
 2.71400000e-04  2.50099097e+00  4.54308531e+00  4.60757440e+00  2.55762935e+00  2.55778742e+00  2.55785477e+00 -2.10348327e-05 
 2.76400000e-04  2.50098627e+00  4.54311612e+00  4.60733708e+00  2.55738819e+00  2.55762180e+00  2.55772752e+00 -2.10369161e-05 
 2.81400000e-04  2.50098060e+00  4.54315365e+00  4.60704368e+00  2.55709097e+00  2.55739993e+00  2.55754392e+00 -2.10394975e-05 
 2.86400000e-04  2.50097396e+00  4.54319786e+00  4.60669441e+00  2.55673791e+00  2.55712198e+00  2.55730412e+00 -2.10425750e-05 
 2.91400000e-04  2.50096636e+00  4.54324872e+00  4.60628957e+00  2.55632930e+00  2.55678816e+00  2.55700831e+00 -2.10461462e-05 
 2.96400000e-04  2.50095780e+00  4.54330615e+00  4.60582949e+00  2.55586548e+00  2.55639876e+00  2.55665675e+00 -2.10502084e-05 
 3.01400000e-04  2.50094830e+00  4.54337011e+00  4.60531453e+00  2.55534682e+00  2.55595409e+00  2.55624970e+00 -2.10547583e-05 
 3.06400000e-04  2.50093786e+00  4.54344053e+00  4.60474512e+00  2.55477374e+00  2.55545451e+00  2.55578750e+00 -2.10597925e-05 
 3.11400000e-04  2.50092650e+00  4.54351732e+00  4.60412172e+00  2.55414670e+00  2.55490042e+00  2.55527052e+00 -2.10653071e-05 
 3.16400000e-04  2.50091423e+00  4.54360041e+00  4.60344469e+00  2.55346609e+00  2.55429223e+00  2.55469917e+00 -2.10712992e-05 
 3.21400000e-04  2.50090105e+00  4.54368971e+00  4.60271473e+00  2.55273258e+00  2.55363042e+00  2.55407388e+00 -2.10777627e-05 
 3.26400000e-04  2.50088698e+00  4.54378513e+00  4.60193256e+00  2.55194693e+00  2.55291563e+00  2.55339519e+00 -2.10846911e-05 
 3.31400000e-04  2.50087204e+00  4.54388657e+00  4.60109871e+00  2.55110964e+00  2.55214844e+00  2.55266370e+00 -2.10920803e-05 
 3.36400000e-04  2.50085623e+00  4.54399392e+00  4.60021386e+00  2.55022141e+00  2.55132947e+00  2.55188002e+00 -2.10999244e-05 
 3.41400000e-04  2.50083958e+00  4.54410707e+00  4.59927876e+00  2.54928299e+00  2.55045938e+00  2.55104477e+00 -2.11082170e-05 
 3.46400000e-04  2.50082210e+00  4.54422589e+00  4.59829419e+00  2.54829517e+00  2.54953892e+00  2.55015865e+00 -2.11169514e-05 
 3.51400000e-04  2.50080382e+00  4.54435027e+00  4.59726098e+00  2.54725877e+00  2.54856884e+00  2.54922240e+00 -2.11261205e-05 
 3.56400000e-04  2.50078473e+00  4.54448007e+00  4.59618000e+00  2.54617468e+00  2.54754995e+00  2.54823680e+00 -2.11357169e-05 
 3.61400000e-04  2.50076488e+00  4.54461516e+00  4.59505216e+00  2.54504380e+00  2.54648313e+00  2.54720269e+00 -2.11457327e-05 
 3.66400000e-04  2.50074426e+00  4.54475539e+00  4.59387844e+00  2.54386712e+00  2.54536928e+00  2.54612092e+00 -2.11561596e-05 
 3.71400000e-04  2.50072292e+00  4.54490063e+00  4.59265983e+00  2.54264563e+00  2.54420934e+00  2.54499243e+00 -2.11669889e-05 
 3.76400000e-04  2.50070086e+00  4.54505071e+00  4.59139739e+00  2.54138038e+00  2.54300430e+00  2.54381818e+00 -2.11782115e-05 
 3.81400000e-04  2.50067811e+00  4.54520548e+00  4.59009221e+00  2.54007249e+00  2.54175521e+00  2.54259918e+00 -2.11898181e-05 
 3.86400000e-04  2.50065469e+00  4.54536479e+00  4.58874542e+00  2.53872307e+00  2.54046315e+00  2.54133647e+00 -2.12017987e-05 
 3.91400000e-04  2.50063062e+00  4.54552846e+00  4.58735821e+00  2.53733333e+00  2.53912924e+00  2.54003115e+00 -2.12141432e-05 
 3.96400000e-04  2.50060593e+00  4.54569633e+00  4.58593179e+00  2.53590447e+00  2.53775465e+00  2.53868437e+00 -2.12268409e-05 
 4.01400000e-04  2.50058065e+00  4.54586823e+00  4.58446744e+00  2.53443777e+00  2.53634058e+00  2.53729729e+00 -2.12398808e-05 
 4.06400000e-04  2.50055479e+00  4.54604397e+00  4.58296644e+00  2.53293453e+00  2.53488829e+00  2.53587114e+00 -2.12532516e-05 
 4.11400000e-04  2.50052838e+00  4.54622337e+00  4.58143015e+00  2.53139609e+00  2.53339907e+00  2.53440719e+00 -2.12669415e-05 
 4.16400000e-04  2.50050145e+00  4.54640626e+00  4.57985995e+00  2.52982385e+00  2.53187425e+00  2.53290674e+00 -2.12809385e-05 
 4.21400000e-04  2.50047403e+00  4.54659244e+00  4.57825727e+00  2.52821923e+00  2.53031520e+00  2.53137114e+00 -2.12952301e-05 
 4.26400000e-04  2.50044614e+00  4.54678173e+00  4.57662355e+00  2.52658369e+00  2.52872334e+00  2.52980176e+00 -2.13098035e-05 
 4.31400000e-04  2.50041780e+00  4.54697393e+00  4.57496030e+00  2.52491872e+00  2.52710010e+00  2.52820003e+00 -2.13246455e-05 
 4.36400000e-04  2.50038906e+00  4.54716884e+00  4.57326905e+00  2.52322587e+00  2.52544698e+00  2.52656741e+00 -2.13397427e-05 
 4.41400000e-04  2.50035993e+00  4.54736627e+00  4.57155136e+00  2.52150669e+00  2.52376549e+00  2.52490539e+00 -2.13550813e-05 
 4.46400000e-04  2.50033045e+00  4.54756601e+00  4.56980884e+00  2.51976279e+00  2.52205719e+00  2.52321551e+00 -2.13706471e-05 
 4.51400000e-04  2.50030064e+00  4.54776787e+00  4.56804312e+00  2.51799581e+00  2.52032367e+00  2.52149934e+00 -2.13864257e-05 
 4.56400000e-04  2.50027053e+00  4.54797164e+00  4.56625586e+00  2.51620741e+00  2.51856655e+00  2.51975846e+00 -2.14024025e-05 
 4.61400000e-04  2.50024016e+00  4.54817712e+00  4.56444875e+00  2.51439928e+00  2.51678748e+00  2.51799452e+00 -2.14185623e-05 
 4.66400000e-04  2.50020955e+00  4.54838409e+00  4.56262352e+00  2.51257315e+00  2.51498814e+00  2.51620917e+00 -2.14348899e-05 
 4.71400000e-04  2.50017873e+00  4.54859236e+00  4.56078190e+00  2.51073076e+00  2.51317026e+00  2.51440411e+00 -2.14513698e-05 
 4.76400000e-04  2.50014774e+00  4.54880170e+00  4.55892569e+00  2.50887389e+00  2.51133556e+00  2.51258106e+00 -2.14679861e-05 
 4.81400000e-04  2.50011660e+00  4.54901193e+00  4.55705666e+00  2.50700433e+00  2.50948580e+00  2.51074175e+00 -2.14847230e-05 
 4.86400000e-04  2.50008535e+00  4.54922281e+00  4.55517664e+00  2.50512391e+00  2.50762278e+00  2.50888797e+00 -2.15015641e-05 
 4.91400000e-04  2.50005401e+00  4.54943416e+00  4.55328747e+00  2.50323446e+00  2.50574830e+00  2.50702150e+00 -2.15184931e-05 
 4.96400000e-04  2.50002262e+00  4.54964575e+00  4.55139100e+00  2.50133783e+00  2.50386419e+00  2.50514417e+00 -2.15354932e-05 
 5.01400000e-04  2.49999120e+00  4.54985737e+00  4.54948910e+00  2.49943591e+00  2.50197230e+00  2.50325779e+00 -2.15525478e-05 
 5.06400000e-04  2.49995980e+00  4.55006882e+00  4.54758366e+00  2.49753057e+00  2.50007450e+00  2.50136424e+00 -2.15696399e-05 
 5.11400000e-04  2.49992843e+00  4.55027990e+00  4.54567658e+00  2.49562372e+00  2.49817267e+00  2.49946538e+00 -2.15867524e-05 
 5.16400000e-04  2.49989714e+00  4.55049038e+00  4.54376977e+00  2.49371727e+00  2.49626869e+00  2.49756309e+00 -2.16038682e-05 
 5.21400000e-04  2.49986594e+00  4.55070007e+00  4.54186515e+00  2.49181313e+00  2.49436447e+00  2.49565927e+00 -2.16209700e-05 
 5.26400000e-04  2.49983488e+00  4.55090876e+00  4.53996463e+00  2.48991322e+00  2.49246193e+00  2.49375582e+00 -2.16380405e-05 
 5.31400000e-04  2.49980399e+00  4.55111625e+00  4.53807016e+00  2.48801948e+00  2.49056297e+00  2.49185466e+00 -2.16550622e-05 
 5.36400000e-04  2.49977328e+00  4.55132234e+00  4.53618365e+00  2.48613384e+00  2.48866954e+00  2.48995771e+00 -2.16720177e-05 
 5.41400000e-04  2.49974280e+00  4.55152682e+00  4.53430704e+00  2.48425822e+00  2.48678354e+00  2.48806689e+00 -2.16888896e-05 
 5.46400000e-04  2.49971257e+00  4.55172950e+00  4.53244226e+00  2.48239454e+00  2.48490692e+00  2.48618413e+00 -2.17056604e-05 
 5.51400000e-04  2.49968263e+00  4.55193018e+00  4.53059122e+00  2.48054474e+00  2.48304158e+00  2.48431135e+00 -2.17223128e-05 
 5.56400000e-04  2.49965300e+00  4.55212867e+00  4.52875584e+00  2.47871072e+00  2.48118946e+00  2.48245048e+00 -2.17388292e-05 
