 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  4.53648204e+00  4.53648204e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -2.37654244e-05 
 5.00000000e-08  2.50000031e+00  4.53648200e+00  4.53648205e+00  2.50000001e+00  2.50000000e+00  2.50000000e+00 -2.37654246e-05 
 1.00000000e-07  2.50000063e+00  4.53648190e+00  4.53648207e+00  2.50000003e+00  2.50000000e+00  2.50000000e+00 -2.37654252e-05 
 2.00000000e-07  2.50000126e+00  4.53648162e+00  4.53648216e+00  2.50000012e+00  2.50000001e+00  2.50000000e+00 -2.37654267e-05 
 4.00000000e-07  2.50000251e+00  4.53648053e+00  4.53648275e+00  2.50000070e+00  2.50000005e+00  2.50000000e+00 -2.37654309e-05 
 8.00000000e-07  2.50000503e+00  4.53647656e+00  4.53648672e+00  2.50000468e+00  2.50000061e+00  2.50000008e+00 -2.37654307e-05 
 1.60000000e-06  2.50001005e+00  4.53646322e+00  4.53651143e+00  2.50002939e+00  2.50000637e+00  2.50000144e+00 -2.37653353e-05 
 3.20000000e-06  2.50002010e+00  4.53642383e+00  4.53663850e+00  2.50015646e+00  2.50005339e+00  2.50002040e+00 -2.37645981e-05 
 6.40000000e-06  2.50004020e+00  4.53632572e+00  4.53712908e+00  2.50064700e+00  2.50032567e+00  2.50018953e+00 -2.37612951e-05 
 1.14000000e-05  2.50007157e+00  4.53616212e+00  4.53817207e+00  2.50168988e+00  2.50111919e+00  2.50083941e+00 -2.37538906e-05 
 1.64000000e-05  2.50010286e+00  4.53599868e+00  4.53927979e+00  2.50279738e+00  2.50213943e+00  2.50180270e+00 -2.37459390e-05 
 2.14000000e-05  2.50013406e+00  4.53583573e+00  4.54037824e+00  2.50389549e+00  2.50322030e+00  2.50287241e+00 -2.37380614e-05 
 2.64000000e-05  2.50016512e+00  4.53567339e+00  4.54147193e+00  2.50498874e+00  2.50431168e+00  2.50396214e+00 -2.37302187e-05 
 3.14000000e-05  2.50019601e+00  4.53551183e+00  4.54255941e+00  2.50607566e+00  2.50540111e+00  2.50505269e+00 -2.37224218e-05 
 3.64000000e-05  2.50022672e+00  4.53535122e+00  4.54363963e+00  2.50715522e+00  2.50648476e+00  2.50613836e+00 -2.37146780e-05 
 4.14000000e-05  2.50025720e+00  4.53519170e+00  4.54471154e+00  2.50822636e+00  2.50756086e+00  2.50721696e+00 -2.37069950e-05 
 4.64000000e-05  2.50028743e+00  4.53503345e+00  4.54577409e+00  2.50928804e+00  2.50862820e+00  2.50828717e+00 -2.36993802e-05 
 5.14000000e-05  2.50031737e+00  4.53487662e+00  4.54682625e+00  2.51033922e+00  2.50968570e+00  2.50934788e+00 -2.36918409e-05 
 5.64000000e-05  2.50034700e+00  4.53472136e+00  4.54786700e+00  2.51137888e+00  2.51073232e+00  2.51039804e+00 -2.36843845e-05 
 6.14000000e-05  2.50037629e+00  4.53456783e+00  4.54889534e+00  2.51240603e+00  2.51176705e+00  2.51143663e+00 -2.36770181e-05 
 6.64000000e-05  2.50040521e+00  4.53441618e+00  4.54991026e+00  2.51341966e+00  2.51278888e+00  2.51246265e+00 -2.36697488e-05 
 7.14000000e-05  2.50043372e+00  4.53426657e+00  4.55091079e+00  2.51441880e+00  2.51379684e+00  2.51347510e+00 -2.36625835e-05 
 7.64000000e-05  2.50046181e+00  4.53411914e+00  4.55189598e+00  2.51540250e+00  2.51478994e+00  2.51447301e+00 -2.36555291e-05 
 8.14000000e-05  2.50048944e+00  4.53397404e+00  4.55286487e+00  2.51636980e+00  2.51576723e+00  2.51545542e+00 -2.36485924e-05 
 8.64000000e-05  2.50051659e+00  4.53383141e+00  4.55381653e+00  2.51731978e+00  2.51672779e+00  2.51642138e+00 -2.36417798e-05 
 9.14000000e-05  2.50054323e+00  4.53369141e+00  4.55475006e+00  2.51825153e+00  2.51767068e+00  2.51736998e+00 -2.36350979e-05 
 9.64000000e-05  2.50056934e+00  4.53355416e+00  4.55566457e+00  2.51916417e+00  2.51859501e+00  2.51830030e+00 -2.36285530e-05 
 1.01400000e-04  2.50059488e+00  4.53341981e+00  4.55655919e+00  2.52005682e+00  2.51949990e+00  2.51921146e+00 -2.36221512e-05 
 1.06400000e-04  2.50061983e+00  4.53328850e+00  4.55743306e+00  2.52092864e+00  2.52038448e+00  2.52010259e+00 -2.36158985e-05 
 1.11400000e-04  2.50064418e+00  4.53316034e+00  4.55828535e+00  2.52177880e+00  2.52124793e+00  2.52097285e+00 -2.36098009e-05 
 1.16400000e-04  2.50066788e+00  4.53303548e+00  4.55911527e+00  2.52260650e+00  2.52208941e+00  2.52182141e+00 -2.36038640e-05 
 1.21400000e-04  2.50069093e+00  4.53291404e+00  4.55992203e+00  2.52341096e+00  2.52290814e+00  2.52264747e+00 -2.35980933e-05 
 1.26400000e-04  2.50071330e+00  4.53279614e+00  4.56070487e+00  2.52419142e+00  2.52370334e+00  2.52345024e+00 -2.35924943e-05 
 1.31400000e-04  2.50073496e+00  4.53268190e+00  4.56146305e+00  2.52494714e+00  2.52447427e+00  2.52422898e+00 -2.35870721e-05 
 1.36400000e-04  2.50075590e+00  4.53257144e+00  4.56219597e+00  2.52567753e+00  2.52522025e+00  2.52498298e+00 -2.35818307e-05 
 1.41400000e-04  2.50077609e+00  4.53246487e+00  4.56290279e+00  2.52638175e+00  2.52594056e+00  2.52571155e+00 -2.35767763e-05 
 1.46400000e-04  2.50079552e+00  4.53236229e+00  4.56358279e+00  2.52705908e+00  2.52663443e+00  2.52641392e+00 -2.35719143e-05 
 1.51400000e-04  2.50081416e+00  4.53226380e+00  4.56423547e+00  2.52770901e+00  2.52730125e+00  2.52708943e+00 -2.35672479e-05 
 1.56400000e-04  2.50083199e+00  4.53216951e+00  4.56486018e+00  2.52833092e+00  2.52794042e+00  2.52773749e+00 -2.35627816e-05 
 1.61400000e-04  2.50084901e+00  4.53207952e+00  4.56545634e+00  2.52892422e+00  2.52855136e+00  2.52835749e+00 -2.35585194e-05 
 1.66400000e-04  2.50086519e+00  4.53199391e+00  4.56602341e+00  2.52948837e+00  2.52913348e+00  2.52894887e+00 -2.35544654e-05 
 1.71400000e-04  2.50088051e+00  4.53191277e+00  4.56656086e+00  2.53002284e+00  2.52968626e+00  2.52951107e+00 -2.35506232e-05 
 1.76400000e-04  2.50089497e+00  4.53183619e+00  4.56706818e+00  2.53052714e+00  2.53020918e+00  2.53004357e+00 -2.35469962e-05 
 1.81400000e-04  2.50090854e+00  4.53176423e+00  4.56754492e+00  2.53100080e+00  2.53070175e+00  2.53054588e+00 -2.35435879e-05 
 1.86400000e-04  2.50092121e+00  4.53169699e+00  4.56799062e+00  2.53144338e+00  2.53116352e+00  2.53101753e+00 -2.35404012e-05 
 1.91400000e-04  2.50093298e+00  4.53163451e+00  4.56840489e+00  2.53185448e+00  2.53159406e+00  2.53145809e+00 -2.35374391e-05 
 1.96400000e-04  2.50094382e+00  4.53157687e+00  4.56878732e+00  2.53223371e+00  2.53199298e+00  2.53186715e+00 -2.35347042e-05 
 2.01400000e-04  2.50095374e+00  4.53152412e+00  4.56913758e+00  2.53258073e+00  2.53235991e+00  2.53224434e+00 -2.35321991e-05 
 2.06400000e-04  2.50096271e+00  4.53147633e+00  4.56945535e+00  2.53289522e+00  2.53269451e+00  2.53258930e+00 -2.35299260e-05 
 2.11400000e-04  2.50097073e+00  4.53143353e+00  4.56974032e+00  2.53317689e+00  2.53299647e+00  2.53290173e+00 -2.35278869e-05 
 2.16400000e-04  2.50097780e+00  4.53139577e+00  4.56999223e+00  2.53342547e+00  2.53326552e+00  2.53318132e+00 -2.35260837e-05 
 2.21400000e-04  2.50098390e+00  4.53136309e+00  4.57021087e+00  2.53364075e+00  2.53350141e+00  2.53342784e+00 -2.35245179e-05 
 2.26400000e-04  2.50098903e+00  4.53133552e+00  4.57039601e+00  2.53382253e+00  2.53370392e+00  2.53364104e+00 -2.35231911e-05 
 2.31400000e-04  2.50099318e+00  4.53131309e+00  4.57054751e+00  2.53397063e+00  2.53387287e+00  2.53382074e+00 -2.35221044e-05 
 2.36400000e-04  2.50099635e+00  4.53129582e+00  4.57066521e+00  2.53408493e+00  2.53400810e+00  2.53396677e+00 -2.35212588e-05 
 2.41400000e-04  2.50099854e+00  4.53128374e+00  4.57074900e+00  2.53416531e+00  2.53410949e+00  2.53407899e+00 -2.35206550e-05 
 2.46400000e-04  2.50099974e+00  4.53127684e+00  4.57079882e+00  2.53421171e+00  2.53417694e+00  2.53415731e+00 -2.35202936e-05 
 2.51400000e-04  2.50099996e+00  4.53127515e+00  4.57081462e+00  2.53422408e+00  2.53421040e+00  2.53420165e+00 -2.35201749e-05 
 2.56400000e-04  2.50099919e+00  4.53127866e+00  4.57079637e+00  2.53420242e+00  2.53420983e+00  2.53421198e+00 -2.35202991e-05 
 2.61400000e-04  2.50099744e+00  4.53128736e+00  4.57074410e+00  2.53414673e+00  2.53417524e+00  2.53418827e+00 -2.35206659e-05 
 2.66400000e-04  2.50099470e+00  4.53130126e+00  4.57065786e+00  2.53405708e+00  2.53410666e+00  2.53413056e+00 -2.35212751e-05 
 2.71400000e-04  2.50099097e+00  4.53132033e+00  4.57053772e+00  2.53393355e+00  2.53400414e+00  2.53403890e+00 -2.35221262e-05 
 2.76400000e-04  2.50098627e+00  4.53134456e+00  4.57038380e+00  2.53377624e+00  2.53386779e+00  2.53391337e+00 -2.35232183e-05 
 2.81400000e-04  2.50098060e+00  4.53137391e+00  4.57019623e+00  2.53358530e+00  2.53369773e+00  2.53375409e+00 -2.35245505e-05 
 2.86400000e-04  2.50097396e+00  4.53140837e+00  4.56997519e+00  2.53336091e+00  2.53349411e+00  2.53356120e+00 -2.35261217e-05 
 2.91400000e-04  2.50096636e+00  4.53144789e+00  4.56972088e+00  2.53310328e+00  2.53325712e+00  2.53333488e+00 -2.35279303e-05 
 2.96400000e-04  2.50095780e+00  4.53149244e+00  4.56943354e+00  2.53281264e+00  2.53298699e+00  2.53307534e+00 -2.35299748e-05 
 3.01400000e-04  2.50094830e+00  4.53154197e+00  4.56911342e+00  2.53248925e+00  2.53268395e+00  2.53278281e+00 -2.35322533e-05 
 3.06400000e-04  2.50093786e+00  4.53159643e+00  4.56876082e+00  2.53213343e+00  2.53234828e+00  2.53245757e+00 -2.35347637e-05 
 3.11400000e-04  2.50092650e+00  4.53165576e+00  4.56837607e+00  2.53174548e+00  2.53198031e+00  2.53209992e+00 -2.35375039e-05 
 3.16400000e-04  2.50091423e+00  4.53171991e+00  4.56795952e+00  2.53132578e+00  2.53158035e+00  2.53171018e+00 -2.35404713e-05 
 3.21400000e-04  2.50090105e+00  4.53178880e+00  4.56751155e+00  2.53087470e+00  2.53114879e+00  2.53128871e+00 -2.35436633e-05 
 3.26400000e-04  2.50088698e+00  4.53186238e+00  4.56703258e+00  2.53039267e+00  2.53068603e+00  2.53083591e+00 -2.35470769e-05 
 3.31400000e-04  2.50087204e+00  4.53194056e+00  4.56652306e+00  2.52988013e+00  2.53019248e+00  2.53035218e+00 -2.35507090e-05 
 3.36400000e-04  2.50085623e+00  4.53202326e+00  4.56598344e+00  2.52933755e+00  2.52966861e+00  2.52983799e+00 -2.35545564e-05 
 3.41400000e-04  2.50083958e+00  4.53211041e+00  4.56541424e+00  2.52876544e+00  2.52911490e+00  2.52929380e+00 -2.35586155e-05 
 3.46400000e-04  2.50082210e+00  4.53220191e+00  4.56481598e+00  2.52816434e+00  2.52853186e+00  2.52872012e+00 -2.35628827e-05 
 3.51400000e-04  2.50080382e+00  4.53229767e+00  4.56418922e+00  2.52753479e+00  2.52792004e+00  2.52811748e+00 -2.35673540e-05 
 3.56400000e-04  2.50078473e+00  4.53239759e+00  4.56353454e+00  2.52687739e+00  2.52728001e+00  2.52748644e+00 -2.35720253e-05 
 3.61400000e-04  2.50076488e+00  4.53250157e+00  4.56285255e+00  2.52619274e+00  2.52661237e+00  2.52682760e+00 -2.35768924e-05 
 3.66400000e-04  2.50074426e+00  4.53260950e+00  4.56214377e+00  2.52548139e+00  2.52591767e+00  2.52614153e+00 -2.35819517e-05 
 3.71400000e-04  2.50072292e+00  4.53272129e+00  4.56140902e+00  2.52474412e+00  2.52519660e+00  2.52542885e+00 -2.35871975e-05 
 3.76400000e-04  2.50070086e+00  4.53283681e+00  4.56064904e+00  2.52398171e+00  2.52444991e+00  2.52469032e+00 -2.35926241e-05 
 3.81400000e-04  2.50067811e+00  4.53295595e+00  4.55986443e+00  2.52319474e+00  2.52367828e+00  2.52392663e+00 -2.35982277e-05 
 3.86400000e-04  2.50065469e+00  4.53307859e+00  4.55905596e+00  2.52238399e+00  2.52288240e+00  2.52313847e+00 -2.36040027e-05 
 3.91400000e-04  2.50063062e+00  4.53320461e+00  4.55822439e+00  2.52155022e+00  2.52206304e+00  2.52232658e+00 -2.36099439e-05 
 3.96400000e-04  2.50060593e+00  4.53333387e+00  4.55737050e+00  2.52069422e+00  2.52122096e+00  2.52149173e+00 -2.36160457e-05 
 4.01400000e-04  2.50058065e+00  4.53346625e+00  4.55649510e+00  2.51981679e+00  2.52035696e+00  2.52063469e+00 -2.36223023e-05 
 4.06400000e-04  2.50055479e+00  4.53360161e+00  4.55559902e+00  2.51891878e+00  2.51947185e+00  2.51975629e+00 -2.36287080e-05 
 4.11400000e-04  2.50052838e+00  4.53373983e+00  4.55468311e+00  2.51800102e+00  2.51856649e+00  2.51885736e+00 -2.36352566e-05 
 4.16400000e-04  2.50050145e+00  4.53388075e+00  4.55374825e+00  2.51706441e+00  2.51764172e+00  2.51793875e+00 -2.36419420e-05 
 4.21400000e-04  2.50047403e+00  4.53402424e+00  4.55279533e+00  2.51610983e+00  2.51669843e+00  2.51700134e+00 -2.36487579e-05 
 4.26400000e-04  2.50044614e+00  4.53417016e+00  4.55182525e+00  2.51513819e+00  2.51573753e+00  2.51604602e+00 -2.36556979e-05 
 4.31400000e-04  2.50041780e+00  4.53431836e+00  4.55083896e+00  2.51415043e+00  2.51475993e+00  2.51507371e+00 -2.36627552e-05 
 4.36400000e-04  2.50038906e+00  4.53446868e+00  4.54983739e+00  2.51314750e+00  2.51376657e+00  2.51408534e+00 -2.36699232e-05 
 4.41400000e-04  2.50035993e+00  4.53462099e+00  4.54882151e+00  2.51213035e+00  2.51275841e+00  2.51308186e+00 -2.36771950e-05 
 4.46400000e-04  2.50033045e+00  4.53477513e+00  4.54779230e+00  2.51109999e+00  2.51173641e+00  2.51206424e+00 -2.36845637e-05 
 4.51400000e-04  2.50030064e+00  4.53493094e+00  4.54675076e+00  2.51005739e+00  2.51070157e+00  2.51103345e+00 -2.36920222e-05 
 4.56400000e-04  2.50027053e+00  4.53508827e+00  4.54569790e+00  2.50900357e+00  2.50965489e+00  2.50999050e+00 -2.36995632e-05 
 4.61400000e-04  2.50024016e+00  4.53524696e+00  4.54463473e+00  2.50793955e+00  2.50859737e+00  2.50893639e+00 -2.37071796e-05 
 4.66400000e-04  2.50020955e+00  4.53540686e+00  4.54356229e+00  2.50686638e+00  2.50753006e+00  2.50787215e+00 -2.37148638e-05 
