 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+01  1.61110676e-04  3.12080511e-06 
 1.02920053e+01  1.57665502e-04  2.98871423e-06 
 1.05925373e+01  1.54167289e-04  2.86225515e-06 
 1.09018449e+01  1.50625829e-04  2.74118548e-06 
 1.12201845e+01  1.47050659e-04  2.62527350e-06 
 1.15478198e+01  1.43451022e-04  2.51429766e-06 
 1.18850223e+01  1.39835821e-04  2.40804615e-06 
 1.22320712e+01  1.36213595e-04  2.30631639e-06 
 1.25892541e+01  1.32592479e-04  2.20891467e-06 
 1.29568670e+01  1.28980189e-04  2.11565573e-06 
 1.33352143e+01  1.25383996e-04  2.02636236e-06 
 1.37246096e+01  1.21810718e-04  1.94086505e-06 
 1.41253754e+01  1.18266709e-04  1.85900166e-06 
 1.45378439e+01  1.14757853e-04  1.78061705e-06 
 1.49623566e+01  1.11289565e-04  1.70556282e-06 
 1.53992653e+01  1.07866792e-04  1.63369696e-06 
 1.58489319e+01  1.04494022e-04  1.56488362e-06 
 1.63117291e+01  1.01175290e-04  1.49899278e-06 
 1.67880402e+01  9.79141942e-05  1.43590002e-06 
 1.72782598e+01  9.47139065e-05  1.37548629e-06 
 1.77827941e+01  9.15771909e-05  1.31763765e-06 
 1.83020611e+01  8.85064201e-05  1.26224505e-06 
 1.88364909e+01  8.55035951e-05  1.20920412e-06 
 1.93865264e+01  8.25703645e-05  1.15841496e-06 
 1.99526231e+01  7.97080453e-05  1.10978197e-06 
 2.05352503e+01  7.69176435e-05  1.06321361e-06 
 2.11348904e+01  7.41998754e-05  1.01862227e-06 
 2.17520403e+01  7.15551880e-05  9.75924109e-07 
 2.23872114e+01  6.89837803e-05  9.35038829e-07 
 2.30409298e+01  6.64856228e-05  8.95889583e-07 
 2.37137371e+01  6.40604778e-05  8.58402798e-07 
 2.44061907e+01  6.17079183e-05  8.22508038e-07 
 2.51188643e+01  5.94273461e-05  7.88137872e-07 
 2.58523484e+01  5.72180095e-05  7.55227739e-07 
 2.66072506e+01  5.50790200e-05  7.23715831e-07 
 2.73841963e+01  5.30093679e-05  6.93542967e-07 
 2.81838293e+01  5.10079374e-05  6.64652487e-07 
 2.90068120e+01  4.90735202e-05  6.36990142e-07 
 2.98538262e+01  4.72048287e-05  6.10503987e-07 
 3.07255737e+01  4.54005081e-05  5.85144286e-07 
 3.16227766e+01  4.36591476e-05  5.60863416e-07 
