 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  4.46016824e+00  4.46016824e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -2.50431858e-05 
 5.00000000e-08  2.50000031e+00  4.46016820e+00  4.46016825e+00  2.50000001e+00  2.50000000e+00  2.50000000e+00 -2.50431861e-05 
 1.00000000e-07  2.50000063e+00  4.46016810e+00  4.46016827e+00  2.50000003e+00  2.50000000e+00  2.50000000e+00 -2.50431867e-05 
 2.00000000e-07  2.50000126e+00  4.46016783e+00  4.46016835e+00  2.50000011e+00  2.50000000e+00  2.50000000e+00 -2.50431882e-05 
 4.00000000e-07  2.50000251e+00  4.46016675e+00  4.46016892e+00  2.50000067e+00  2.50000004e+00  2.50000000e+00 -2.50431924e-05 
 8.00000000e-07  2.50000503e+00  4.46016270e+00  4.46017292e+00  2.50000468e+00  2.50000044e+00  2.50000004e+00 -2.50431927e-05 
 1.60000000e-06  2.50001005e+00  4.46014832e+00  4.46019996e+00  2.50003171e+00  2.50000518e+00  2.50000086e+00 -2.50430865e-05 
 3.20000000e-06  2.50002010e+00  4.46010203e+00  4.46035996e+00  2.50019172e+00  2.50005119e+00  2.50001496e+00 -2.50421306e-05 
 6.40000000e-06  2.50004020e+00  4.45997349e+00  4.46111707e+00  2.50094878e+00  2.50038693e+00  2.50018243e+00 -2.50368399e-05 
 1.14000000e-05  2.50007157e+00  4.45973996e+00  4.46310613e+00  2.50293765e+00  2.50162321e+00  2.50103935e+00 -2.50220546e-05 
 1.64000000e-05  2.50010286e+00  4.45949940e+00  4.46554772e+00  2.50537883e+00  2.50353512e+00  2.50264333e+00 -2.50035130e-05 
 2.14000000e-05  2.50013406e+00  4.45925927e+00  4.46808836e+00  2.50791880e+00  2.50581252e+00  2.50475842e+00 -2.49841326e-05 
 2.64000000e-05  2.50016512e+00  4.45901985e+00  4.47063418e+00  2.51046370e+00  2.50824867e+00  2.50712527e+00 -2.49647023e-05 
 3.14000000e-05  2.50019601e+00  4.45878140e+00  4.47316715e+00  2.51299550e+00  2.51074331e+00  2.50959477e+00 -2.49453722e-05 
 3.64000000e-05  2.50022672e+00  4.45854415e+00  4.47568217e+00  2.51550910e+00  2.51325153e+00  2.51209753e+00 -2.49261833e-05 
 4.14000000e-05  2.50025720e+00  4.45830835e+00  4.47817636e+00  2.51800161e+00  2.51575315e+00  2.51460254e+00 -2.49071578e-05 
 4.64000000e-05  2.50028743e+00  4.45807422e+00  4.48064726e+00  2.52047059e+00  2.51823845e+00  2.51709552e+00 -2.48883144e-05 
 5.14000000e-05  2.50031737e+00  4.45784200e+00  4.48309251e+00  2.52291366e+00  2.52070205e+00  2.51956919e+00 -2.48696711e-05 
 5.64000000e-05  2.50034700e+00  4.45761194e+00  4.48550978e+00  2.52532853e+00  2.52314038e+00  2.52201922e+00 -2.48512454e-05 
 6.14000000e-05  2.50037629e+00  4.45738425e+00  4.48789682e+00  2.52771291e+00  2.52555065e+00  2.52444245e+00 -2.48330545e-05 
 6.64000000e-05  2.50040521e+00  4.45715918e+00  4.49025139e+00  2.53006459e+00  2.52793038e+00  2.52683627e+00 -2.48151151e-05 
