 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+01  1.04044904e-04  4.22840161e-06 
 1.02920053e+01  1.02299323e-04  4.04836194e-06 
 1.05925373e+01  1.00494198e-04  3.87610067e-06 
 1.09018449e+01  9.86350344e-05  3.71127336e-06 
 1.12201845e+01  9.67273972e-05  3.55355166e-06 
 1.15478198e+01  9.47768731e-05  3.40262246e-06 
 1.18850223e+01  9.27890361e-05  3.25818709e-06 
 1.22320712e+01  9.07694145e-05  3.11996064e-06 
 1.25892541e+01  8.87234586e-05  2.98767122e-06 
 1.29568670e+01  8.66565115e-05  2.86105936e-06 
 1.33352143e+01  8.45737816e-05  2.73987740e-06 
 1.37246096e+01  8.24803183e-05  2.62388887e-06 
 1.41253754e+01  8.03809896e-05  2.51286796e-06 
 1.45378439e+01  7.82804630e-05  2.40659906e-06 
 1.49623566e+01  7.61831891e-05  2.30487618e-06 
 1.53992653e+01  7.40933881e-05  2.20750256e-06 
 1.58489319e+01  7.20150387e-05  2.11429022e-06 
 1.63117291e+01  6.99518704e-05  2.02505950e-06 
 1.67880402e+01  6.79073577e-05  1.93963875e-06 
 1.72782598e+01  6.58847168e-05  1.85786386e-06 
 1.77827941e+01  6.38869055e-05  1.77957801e-06 
 1.83020611e+01  6.19166237e-05  1.70463125e-06 
 1.88364909e+01  5.99763174e-05  1.63288022e-06 
 1.93865264e+01  5.80681829e-05  1.56418786e-06 
 1.99526231e+01  5.61941736e-05  1.49842310e-06 
 2.05352503e+01  5.43560077e-05  1.43546058e-06 
 2.11348904e+01  5.25551768e-05  1.37518041e-06 
 2.17520403e+01  5.07929556e-05  1.31746794e-06 
 2.23872114e+01  4.90704127e-05  1.26221348e-06 
 2.30409298e+01  4.73884208e-05  1.20931210e-06 
 2.37137371e+01  4.57476688e-05  1.15866342e-06 
 2.44061907e+01  4.41486726e-05  1.11017141e-06 
 2.51188643e+01  4.25917874e-05  1.06374417e-06 
 2.58523484e+01  4.10772188e-05  1.01929380e-06 
 2.66072506e+01  3.96050346e-05  9.76736156e-07 
 2.73841963e+01  3.81751758e-05  9.35990735e-07 
 2.81838293e+01  3.67874679e-05  8.96980492e-07 
 2.90068120e+01  3.54416313e-05  8.59631696e-07 
 2.98538262e+01  3.41372916e-05  8.23873780e-07 
 3.07255737e+01  3.28739893e-05  7.89639204e-07 
 3.16227766e+01  3.16511894e-05  7.56863322e-07 
 3.25461783e+01  3.04682897e-05  7.25484259e-07 
 3.34965439e+01  2.93246297e-05  6.95442786e-07 
 3.44746607e+01  2.82194978e-05  6.66682206e-07 
 3.54813389e+01  2.71521390e-05  6.39148245e-07 
 3.65174127e+01  2.61217614e-05  6.12788947e-07 
 3.75837404e+01  2.51275426e-05  5.87554572e-07 
 3.86812055e+01  2.41686356e-05  5.63397500e-07 
 3.98107171e+01  2.32441736e-05  5.40272143e-07 
 4.09732110e+01  2.23532755e-05  5.18134851e-07 
 4.21696503e+01  2.14950496e-05  4.96943833e-07 
 4.34010264e+01  2.06685985e-05  4.76659076e-07 
 4.46683592e+01  1.98730217e-05  4.57242265e-07 
 4.59726989e+01  1.91074197e-05  4.38656716e-07 
 4.73151259e+01  1.83708962e-05  4.20867299e-07 
 4.86967525e+01  1.76625614e-05  4.03840375e-07 
 5.01187234e+01  1.69815335e-05  3.87543732e-07 
 5.15822165e+01  1.63269414e-05  3.71946521e-07 
 5.30884444e+01  1.56979259e-05  3.57019199e-07 
 5.46386550e+01  1.50936416e-05  3.42733473e-07 
 5.62341325e+01  1.45132579e-05  3.29062246e-07 
 5.78761988e+01  1.39559602e-05  3.15979564e-07 
 5.95662144e+01  1.34209510e-05  3.03460569e-07 
 6.13055792e+01  1.29074503e-05  2.91481450e-07 
 6.30957344e+01  1.24146963e-05  2.80019399e-07 
 6.49381632e+01  1.19419460e-05  2.69052568e-07 
 6.68343918e+01  1.14884754e-05  2.58560024e-07 
 6.87859912e+01  1.10535797e-05  2.48521717e-07 
 7.07945784e+01  1.06365736e-05  2.38918433e-07 
 7.28618175e+01  1.02367912e-05  2.29731765e-07 
 7.49894209e+01  9.85358580e-06  2.20944075e-07 
 7.71791516e+01  9.48633029e-06  2.12538459e-07 
 7.94328235e+01  9.13441646e-06  2.04498720e-07 
 8.17523038e+01  8.79725509e-06  1.96809332e-07 
 8.41395142e+01  8.47427558e-06  1.89455417e-07 
 8.65964323e+01  8.16492570e-06  1.82422712e-07 
 8.91250938e+01  7.86867123e-06  1.75697542e-07 
 9.17275935e+01  7.58499562e-06  1.69266800e-07 
 9.44060876e+01  7.31339962e-06  1.63117917e-07 
 9.71627952e+01  7.05340086e-06  1.57238842e-07 
 1.00000000e+02  6.80453347e-06  1.51618017e-07 
