 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  4.51331838e+00  4.51331838e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -2.41532647e-05 
 5.00000000e-08  2.50000031e+00  4.51331832e+00  4.51331839e+00  2.50000001e+00  2.50000000e+00  2.50000000e+00 -2.41532650e-05 
 1.00000000e-07  2.50000063e+00  4.51331821e+00  4.51331842e+00  2.50000004e+00  2.50000000e+00  2.50000000e+00 -2.41532656e-05 
 2.00000000e-07  2.50000126e+00  4.51331789e+00  4.51331853e+00  2.50000015e+00  2.50000001e+00  2.50000000e+00 -2.41532673e-05 
 4.00000000e-07  2.50000251e+00  4.51331665e+00  4.51331929e+00  2.50000092e+00  2.50000007e+00  2.50000000e+00 -2.41532712e-05 
 8.00000000e-07  2.50000503e+00  4.51331212e+00  4.51332448e+00  2.50000611e+00  2.50000079e+00  2.50000010e+00 -2.41532655e-05 
 1.60000000e-06  2.50001005e+00  4.51329696e+00  4.51335665e+00  2.50003827e+00  2.50000830e+00  2.50000188e+00 -2.41531227e-05 
 3.20000000e-06  2.50002010e+00  4.51325240e+00  4.51352148e+00  2.50020309e+00  2.50006935e+00  2.50002651e+00 -2.41521114e-05 
 6.40000000e-06  2.50004020e+00  4.51314194e+00  4.51415460e+00  2.50083618e+00  2.50042124e+00  2.50024530e+00 -2.41477118e-05 
 1.14000000e-05  2.50007157e+00  4.51295833e+00  4.51549504e+00  2.50217648e+00  2.50144265e+00  2.50108268e+00 -2.41379699e-05 
 1.64000000e-05  2.50010286e+00  4.51277499e+00  4.51691557e+00  2.50359671e+00  2.50275251e+00  2.50232036e+00 -2.41275503e-05 
 2.14000000e-05  2.50013406e+00  4.51259215e+00  4.51832356e+00  2.50500427e+00  2.50413861e+00  2.50369256e+00 -2.41172322e-05 
 2.64000000e-05  2.50016512e+00  4.51240999e+00  4.51972521e+00  2.50640536e+00  2.50553757e+00  2.50508955e+00 -2.41069617e-05 
 3.14000000e-05  2.50019601e+00  4.51222870e+00  4.52111849e+00  2.50779792e+00  2.50693361e+00  2.50648716e+00 -2.40967546e-05 
