 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  4.99168786e+00  4.99168786e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.21433024e-05 
 5.00000000e-08  2.50000031e+00  4.99168786e+00  4.99168786e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.21433024e-05 
 1.00000000e-07  2.50000063e+00  4.99168785e+00  4.99168786e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.21433024e-05 
 2.00000000e-07  2.50000126e+00  4.99168784e+00  4.99168786e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.21433024e-05 
 4.00000000e-07  2.50000251e+00  4.99168778e+00  4.99168786e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.21433026e-05 
 8.00000000e-07  2.50000503e+00  4.99168758e+00  4.99168787e+00  2.50000001e+00  2.50000000e+00  2.50000000e+00 -1.21433035e-05 
 1.60000000e-06  2.50001005e+00  4.99168690e+00  4.99168794e+00  2.50000008e+00  2.50000001e+00  2.50000000e+00 -1.21433070e-05 
 3.20000000e-06  2.50002010e+00  4.99168491e+00  4.99168825e+00  2.50000039e+00  2.50000011e+00  2.50000003e+00 -1.21433170e-05 
 6.40000000e-06  2.50004020e+00  4.99168003e+00  4.99168939e+00  2.50000153e+00  2.50000065e+00  2.50000032e+00 -1.21433395e-05 
 1.14000000e-05  2.50007157e+00  4.99167197e+00  4.99169169e+00  2.50000383e+00  2.50000223e+00  2.50000149e+00 -1.21433743e-05 
 1.64000000e-05  2.50010286e+00  4.99166392e+00  4.99169406e+00  2.50000620e+00  2.50000429e+00  2.50000333e+00 -1.21434084e-05 
 2.14000000e-05  2.50013406e+00  4.99165589e+00  4.99169642e+00  2.50000856e+00  2.50000652e+00  2.50000549e+00 -1.21434426e-05 
 2.64000000e-05  2.50016512e+00  4.99164788e+00  4.99169877e+00  2.50001091e+00  2.50000883e+00  2.50000777e+00 -1.21434767e-05 
 3.14000000e-05  2.50019601e+00  4.99163990e+00  4.99170111e+00  2.50001325e+00  2.50001115e+00  2.50001008e+00 -1.21435107e-05 
 3.64000000e-05  2.50022672e+00  4.99163196e+00  4.99170344e+00  2.50001558e+00  2.50001348e+00  2.50001241e+00 -1.21435445e-05 
 4.14000000e-05  2.50025720e+00  4.99162407e+00  4.99170576e+00  2.50001790e+00  2.50001581e+00  2.50001474e+00 -1.21435781e-05 
 4.64000000e-05  2.50028743e+00  4.99161624e+00  4.99170806e+00  2.50002019e+00  2.50001812e+00  2.50001705e+00 -1.21436115e-05 
 5.14000000e-05  2.50031737e+00  4.99160847e+00  4.99171034e+00  2.50002247e+00  2.50002041e+00  2.50001936e+00 -1.21436446e-05 
 5.64000000e-05  2.50034700e+00  4.99160077e+00  4.99171260e+00  2.50002473e+00  2.50002269e+00  2.50002164e+00 -1.21436774e-05 
 6.14000000e-05  2.50037629e+00  4.99159315e+00  4.99171484e+00  2.50002697e+00  2.50002494e+00  2.50002391e+00 -1.21437099e-05 
 6.64000000e-05  2.50040521e+00  4.99158561e+00  4.99171705e+00  2.50002918e+00  2.50002717e+00  2.50002615e+00 -1.21437420e-05 
 7.14000000e-05  2.50043372e+00  4.99157818e+00  4.99171923e+00  2.50003136e+00  2.50002938e+00  2.50002837e+00 -1.21437738e-05 
 7.64000000e-05  2.50046181e+00  4.99157084e+00  4.99172139e+00  2.50003351e+00  2.50003156e+00  2.50003056e+00 -1.21438050e-05 
 8.14000000e-05  2.50048944e+00  4.99156361e+00  4.99172351e+00  2.50003563e+00  2.50003370e+00  2.50003272e+00 -1.21438359e-05 
 8.64000000e-05  2.50051659e+00  4.99155651e+00  4.99172559e+00  2.50003771e+00  2.50003582e+00  2.50003485e+00 -1.21438662e-05 
 9.14000000e-05  2.50054323e+00  4.99154952e+00  4.99172764e+00  2.50003976e+00  2.50003790e+00  2.50003694e+00 -1.21438960e-05 
 9.64000000e-05  2.50056934e+00  4.99154267e+00  4.99172966e+00  2.50004177e+00  2.50003994e+00  2.50003900e+00 -1.21439252e-05 
 1.01400000e-04  2.50059488e+00  4.99153596e+00  4.99173163e+00  2.50004374e+00  2.50004194e+00  2.50004102e+00 -1.21439539e-05 
 1.06400000e-04  2.50061983e+00  4.99152939e+00  4.99173355e+00  2.50004566e+00  2.50004391e+00  2.50004300e+00 -1.21439819e-05 
 1.11400000e-04  2.50064418e+00  4.99152298e+00  4.99173544e+00  2.50004754e+00  2.50004582e+00  2.50004494e+00 -1.21440093e-05 
 1.16400000e-04  2.50066788e+00  4.99151673e+00  4.99173727e+00  2.50004938e+00  2.50004770e+00  2.50004684e+00 -1.21440360e-05 
 1.21400000e-04  2.50069093e+00  4.99151064e+00  4.99173906e+00  2.50005116e+00  2.50004953e+00  2.50004869e+00 -1.21440620e-05 
 1.26400000e-04  2.50071330e+00  4.99150473e+00  4.99174080e+00  2.50005289e+00  2.50005130e+00  2.50005049e+00 -1.21440872e-05 
 1.31400000e-04  2.50073496e+00  4.99149900e+00  4.99174249e+00  2.50005458e+00  2.50005303e+00  2.50005224e+00 -1.21441117e-05 
 1.36400000e-04  2.50075590e+00  4.99149345e+00  4.99174412e+00  2.50005620e+00  2.50005471e+00  2.50005394e+00 -1.21441354e-05 
 1.41400000e-04  2.50077609e+00  4.99148809e+00  4.99174569e+00  2.50005777e+00  2.50005633e+00  2.50005558e+00 -1.21441583e-05 
 1.46400000e-04  2.50079552e+00  4.99148293e+00  4.99174721e+00  2.50005929e+00  2.50005789e+00  2.50005717e+00 -1.21441804e-05 
 1.51400000e-04  2.50081416e+00  4.99147797e+00  4.99174867e+00  2.50006074e+00  2.50005940e+00  2.50005871e+00 -1.21442015e-05 
 1.56400000e-04  2.50083199e+00  4.99147322e+00  4.99175007e+00  2.50006214e+00  2.50006085e+00  2.50006018e+00 -1.21442218e-05 
 1.61400000e-04  2.50084901e+00  4.99146869e+00  4.99175140e+00  2.50006347e+00  2.50006224e+00  2.50006160e+00 -1.21442412e-05 
 1.66400000e-04  2.50086519e+00  4.99146437e+00  4.99175268e+00  2.50006474e+00  2.50006356e+00  2.50006295e+00 -1.21442596e-05 
