 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+01  3.81135114e-04  5.90310415e-06 
 1.02920053e+01  3.72258673e-04  5.65467809e-06 
 1.05925373e+01  3.63283574e-04  5.41697787e-06 
 1.09018449e+01  3.54238802e-04  5.18953256e-06 
 1.12201845e+01  3.45151822e-04  4.97189290e-06 
 1.15478198e+01  3.36048504e-04  4.76363021e-06 
 1.18850223e+01  3.26953078e-04  4.56433537e-06 
 1.22320712e+01  3.17888107e-04  4.37361783e-06 
 1.25892541e+01  3.08874474e-04  4.19110472e-06 
 1.29568670e+01  2.99931389e-04  4.01644000e-06 
 1.33352143e+01  2.91076412e-04  3.84928359e-06 
 1.37246096e+01  2.82325485e-04  3.68931066e-06 
 1.41253754e+01  2.73692972e-04  3.53621088e-06 
 1.45378439e+01  2.65191718e-04  3.38968770e-06 
 1.49623566e+01  2.56833105e-04  3.24945776e-06 
 1.53992653e+01  2.48627119e-04  3.11525021e-06 
 1.58489319e+01  2.40582417e-04  2.98680615e-06 
 1.63117291e+01  2.32706405e-04  2.86387809e-06 
 1.67880402e+01  2.25005309e-04  2.74622940e-06 
 1.72782598e+01  2.17484254e-04  2.63363381e-06 
 1.77827941e+01  2.10147336e-04  2.52587492e-06 
 1.83020611e+01  2.02997701e-04  2.42274581e-06 
 1.88364909e+01  1.96037615e-04  2.32404851e-06 
 1.93865264e+01  1.89268539e-04  2.22959369e-06 
 1.99526231e+01  1.82691199e-04  2.13920019e-06 
 2.05352503e+01  1.76305647e-04  2.05269472e-06 
 2.11348904e+01  1.70111333e-04  1.96991144e-06 
 2.17520403e+01  1.64107158e-04  1.89069167e-06 
 2.23872114e+01  1.58291537e-04  1.81488356e-06 
 2.30409298e+01  1.52662449e-04  1.74234177e-06 
 2.37137371e+01  1.47217490e-04  1.67292720e-06 
 2.44061907e+01  1.41953920e-04  1.60650667e-06 
 2.51188643e+01  1.36868706e-04  1.54295273e-06 
 2.58523484e+01  1.31958562e-04  1.48214335e-06 
 2.66072506e+01  1.27219987e-04  1.42396166e-06 
 2.73841963e+01  1.22649303e-04  1.36829580e-06 
 2.81838293e+01  1.18242680e-04  1.31503862e-06 
 2.90068120e+01  1.13996169e-04  1.26408752e-06 
 2.98538262e+01  1.09905728e-04  1.21534424e-06 
 3.07255737e+01  1.05967243e-04  1.16871464e-06 
 3.16227766e+01  1.02176555e-04  1.12410855e-06 
 3.25461783e+01  9.85294705e-05  1.08143960e-06 
 3.34965439e+01  9.50217880e-05  1.04062502e-06 
 3.44746607e+01  9.16493067e-05  1.00158552e-06 
 3.54813389e+01  8.84078430e-05  9.64245088e-07 
 3.65174127e+01  8.52932415e-05  9.28530913e-07 
 3.75837404e+01  8.23013864e-05  8.94373190e-07 
 3.86812055e+01  7.94282095e-05  8.61705013e-07 
 3.98107171e+01  7.66696994e-05  8.30462244e-07 
 4.09732110e+01  7.40219072e-05  8.00583395e-07 
 4.21696503e+01  7.14809532e-05  7.72009511e-07 
 4.34010264e+01  6.90430313e-05  7.44684062e-07 
 4.46683592e+01  6.67044136e-05  7.18552840e-07 
 4.59726989e+01  6.44614529e-05  6.93563856e-07 
 4.73151259e+01  6.23105865e-05  6.69667252e-07 
 4.86967525e+01  6.02483375e-05  6.46815206e-07 
 5.01187234e+01  5.82713166e-05  6.24961846e-07 
 5.15822165e+01  5.63762235e-05  6.04063174e-07 
 5.30884444e+01  5.45598473e-05  5.84076982e-07 
 5.46386550e+01  5.28190671e-05  5.64962782e-07 
 5.62341325e+01  5.11508518e-05  5.46681737e-07 
 5.78761988e+01  4.95522603e-05  5.29196592e-07 
 5.95662144e+01  4.80204405e-05  5.12471611e-07 
 6.13055792e+01  4.65526292e-05  4.96472518e-07 
 6.30957344e+01  4.51461509e-05  4.81166441e-07 
 6.49381632e+01  4.37984172e-05  4.66521854e-07 
 6.68343918e+01  4.25069253e-05  4.52508530e-07 
 6.87859912e+01  4.12692570e-05  4.39097488e-07 
 7.07945784e+01  4.00830774e-05  4.26260950e-07 
 7.28618175e+01  3.89461335e-05  4.13972293e-07 
 7.49894209e+01  3.78562529e-05  4.02206008e-07 
 7.71791516e+01  3.68113419e-05  3.90937661e-07 
 7.94328235e+01  3.58093846e-05  3.80143853e-07 
 8.17523038e+01  3.48484407e-05  3.69802182e-07 
 8.41395142e+01  3.39266442e-05  3.59891208e-07 
 8.65964323e+01  3.30422017e-05  3.50390420e-07 
 8.91250938e+01  3.21933908e-05  3.41280203e-07 
 9.17275935e+01  3.13785582e-05  3.32541805e-07 
 9.44060876e+01  3.05961182e-05  3.24157307e-07 
 9.71627952e+01  2.98445508e-05  3.16109593e-07 
 1.00000000e+02  2.91224000e-05  3.08382322e-07 
 1.02920053e+02  2.84282722e-05  3.00959902e-07 
 1.05925373e+02  2.77608342e-05  2.93827458e-07 
 1.09018449e+02  2.71188116e-05  2.86970809e-07 
 1.12201845e+02  2.65009869e-05  2.80376444e-07 
 1.15478198e+02  2.59061978e-05  2.74031493e-07 
 1.18850223e+02  2.53333352e-05  2.67923703e-07 
 1.22320712e+02  2.47813419e-05  2.62041419e-07 
 1.25892541e+02  2.42492104e-05  2.56373553e-07 
 1.29568670e+02  2.37359813e-05  2.50909569e-07 
 1.33352143e+02  2.32407415e-05  2.45639454e-07 
 1.37246096e+02  2.27626225e-05  2.40553701e-07 
 1.41253754e+02  2.23007988e-05  2.35643286e-07 
 1.45378439e+02  2.18544859e-05  2.30899648e-07 
 1.49623566e+02  2.14229391e-05  2.26314668e-07 
 1.53992653e+02  2.10054515e-05  2.21880648e-07 
 1.58489319e+02  2.06013524e-05  2.17590297e-07 
 1.63117291e+02  2.02100058e-05  2.13436707e-07 
 1.67880402e+02  1.98308091e-05  2.09413338e-07 
 1.72782598e+02  1.94631913e-05  2.05514000e-07 
