 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00 -3.31711235e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00 -3.31711238e-05 
 2.00000000e-07  2.50000126e+00  3.82990743e+00  2.50000000e+00 -3.31711246e-05 
 4.00000000e-07  2.50000251e+00  3.82990740e+00  2.49999997e+00 -3.31711279e-05 
 8.00000000e-07  2.50000503e+00  3.82990712e+00  2.49999969e+00 -3.31711388e-05 
 1.60000000e-06  2.50001005e+00  3.82990342e+00  2.49999599e+00 -3.31711748e-05 
 3.20000000e-06  2.50002010e+00  3.82986253e+00  2.49995513e+00 -3.31713927e-05 
 6.40000000e-06  2.50004020e+00  3.82951856e+00  2.49961140e+00 -3.31733498e-05 
 1.14000000e-05  2.50007157e+00  3.82811917e+00  2.49821301e+00 -3.31823479e-05 
 1.64000000e-05  2.50010286e+00  3.82585093e+00  2.49594648e+00 -3.31979565e-05 
 2.14000000e-05  2.50013406e+00  3.82312710e+00  2.49322483e+00 -3.32172824e-05 
 2.64000000e-05  2.50016512e+00  3.82023890e+00  2.49033910e+00 -3.32379956e-05 
 3.14000000e-05  2.50019601e+00  3.81730610e+00  2.48740900e+00 -3.32591003e-05 
 3.64000000e-05  2.50022672e+00  3.81436964e+00  2.48447543e+00 -3.32802556e-05 
 4.14000000e-05  2.50025720e+00  3.81144416e+00  2.48155302e+00 -3.33013416e-05 
 4.64000000e-05  2.50028743e+00  3.80853612e+00  2.47864825e+00 -3.33223072e-05 
 5.14000000e-05  2.50031737e+00  3.80564951e+00  2.47576508e+00 -3.33431226e-05 
 5.64000000e-05  2.50034700e+00  3.80278752e+00  2.47290671e+00 -3.33637640e-05 
 6.14000000e-05  2.50037629e+00  3.79995310e+00  2.47007607e+00 -3.33842103e-05 
 6.64000000e-05  2.50040521e+00  3.79714909e+00  2.46727602e+00 -3.34044407e-05 
 7.14000000e-05  2.50043372e+00  3.79437829e+00  2.46450934e+00 -3.34244349e-05 
 7.64000000e-05  2.50046181e+00  3.79164347e+00  2.46177879e+00 -3.34441731e-05 
 8.14000000e-05  2.50048944e+00  3.78894735e+00  2.45908710e+00 -3.34636355e-05 
 8.64000000e-05  2.50051659e+00  3.78629261e+00  2.45643695e+00 -3.34828026e-05 
 9.14000000e-05  2.50054323e+00  3.78368191e+00  2.45383097e+00 -3.35016553e-05 
 9.64000000e-05  2.50056934e+00  3.78111784e+00  2.45127178e+00 -3.35201747e-05 
 1.01400000e-04  2.50059488e+00  3.77860296e+00  2.44876191e+00 -3.35383424e-05 
 1.06400000e-04  2.50061983e+00  3.77613979e+00  2.44630387e+00 -3.35561400e-05 
 1.11400000e-04  2.50064418e+00  3.77373079e+00  2.44390013e+00 -3.35735499e-05 
 1.16400000e-04  2.50066788e+00  3.77137835e+00  2.44155308e+00 -3.35905544e-05 
 1.21400000e-04  2.50069093e+00  3.76908484e+00  2.43926506e+00 -3.36071367e-05 
 1.26400000e-04  2.50071330e+00  3.76685253e+00  2.43703837e+00 -3.36232800e-05 
 1.31400000e-04  2.50073496e+00  3.76468368e+00  2.43487522e+00 -3.36389682e-05 
 1.36400000e-04  2.50075590e+00  3.76258044e+00  2.43277779e+00 -3.36541854e-05 
 1.41400000e-04  2.50077609e+00  3.76054492e+00  2.43074817e+00 -3.36689165e-05 
 1.46400000e-04  2.50079552e+00  3.75857915e+00  2.42878840e+00 -3.36831466e-05 
 1.51400000e-04  2.50081416e+00  3.75668511e+00  2.42690043e+00 -3.36968614e-05 
 1.56400000e-04  2.50083199e+00  3.75486470e+00  2.42508615e+00 -3.37100471e-05 
 1.61400000e-04  2.50084901e+00  3.75311973e+00  2.42334739e+00 -3.37226904e-05 
 1.66400000e-04  2.50086519e+00  3.75145195e+00  2.42168589e+00 -3.37347787e-05 
 1.71400000e-04  2.50088051e+00  3.74986303e+00  2.42010330e+00 -3.37462998e-05 
 1.76400000e-04  2.50089497e+00  3.74835458e+00  2.41860122e+00 -3.37572421e-05 
 1.81400000e-04  2.50090854e+00  3.74692809e+00  2.41718116e+00 -3.37675945e-05 
 1.86400000e-04  2.50092121e+00  3.74558500e+00  2.41584452e+00 -3.37773466e-05 
 1.91400000e-04  2.50093298e+00  3.74432666e+00  2.41459267e+00 -3.37864887e-05 
 1.96400000e-04  2.50094382e+00  3.74315432e+00  2.41342684e+00 -3.37950114e-05 
 2.01400000e-04  2.50095374e+00  3.74206917e+00  2.41234822e+00 -3.38029063e-05 
 2.06400000e-04  2.50096271e+00  3.74107229e+00  2.41135788e+00 -3.38101653e-05 
 2.11400000e-04  2.50097073e+00  3.74016469e+00  2.41045681e+00 -3.38167812e-05 
 2.16400000e-04  2.50097780e+00  3.73934726e+00  2.40964593e+00 -3.38227473e-05 
 2.21400000e-04  2.50098390e+00  3.73862084e+00  2.40892603e+00 -3.38280575e-05 
 2.26400000e-04  2.50098903e+00  3.73798616e+00  2.40829786e+00 -3.38327066e-05 
 2.31400000e-04  2.50099318e+00  3.73744384e+00  2.40776203e+00 -3.38366897e-05 
 2.36400000e-04  2.50099635e+00  3.73699443e+00  2.40731908e+00 -3.38400030e-05 
 2.41400000e-04  2.50099854e+00  3.73663839e+00  2.40696946e+00 -3.38426431e-05 
 2.46400000e-04  2.50099974e+00  3.73637606e+00  2.40671352e+00 -3.38446073e-05 
 2.51400000e-04  2.50099996e+00  3.73620772e+00  2.40655151e+00 -3.38458937e-05 
 2.56400000e-04  2.50099919e+00  3.73613353e+00  2.40648359e+00 -3.38465009e-05 
 2.61400000e-04  2.50099744e+00  3.73615356e+00  2.40650984e+00 -3.38464284e-05 
 2.66400000e-04  2.50099470e+00  3.73626780e+00  2.40663023e+00 -3.38456762e-05 
 2.71400000e-04  2.50099097e+00  3.73647613e+00  2.40684463e+00 -3.38442451e-05 
 2.76400000e-04  2.50098627e+00  3.73677834e+00  2.40715284e+00 -3.38421366e-05 
 2.81400000e-04  2.50098060e+00  3.73717412e+00  2.40755452e+00 -3.38393528e-05 
 2.86400000e-04  2.50097396e+00  3.73766308e+00  2.40804930e+00 -3.38358965e-05 
 2.91400000e-04  2.50096636e+00  3.73824472e+00  2.40863666e+00 -3.38317712e-05 
 2.96400000e-04  2.50095780e+00  3.73891846e+00  2.40931602e+00 -3.38269811e-05 
 3.01400000e-04  2.50094830e+00  3.73968362e+00  2.41008669e+00 -3.38215310e-05 
 3.06400000e-04  2.50093786e+00  3.74053944e+00  2.41094790e+00 -3.38154264e-05 
 3.11400000e-04  2.50092650e+00  3.74148505e+00  2.41189878e+00 -3.38086736e-05 
 3.16400000e-04  2.50091423e+00  3.74251951e+00  2.41293838e+00 -3.38012792e-05 
 3.21400000e-04  2.50090105e+00  3.74364177e+00  2.41406565e+00 -3.37932509e-05 
 3.26400000e-04  2.50088698e+00  3.74485071e+00  2.41527947e+00 -3.37845966e-05 
 3.31400000e-04  2.50087204e+00  3.74614511e+00  2.41657861e+00 -3.37753252e-05 
 3.36400000e-04  2.50085623e+00  3.74752367e+00  2.41796177e+00 -3.37654459e-05 
 3.41400000e-04  2.50083958e+00  3.74898502e+00  2.41942756e+00 -3.37549688e-05 
 3.46400000e-04  2.50082210e+00  3.75052769e+00  2.42097452e+00 -3.37439043e-05 
 3.51400000e-04  2.50080382e+00  3.75215012e+00  2.42260108e+00 -3.37322637e-05 
 3.56400000e-04  2.50078473e+00  3.75385069e+00  2.42430562e+00 -3.37200587e-05 
 3.61400000e-04  2.50076488e+00  3.75562770e+00  2.42608642e+00 -3.37073016e-05 
 3.66400000e-04  2.50074426e+00  3.75747936e+00  2.42794172e+00 -3.36940051e-05 
 3.71400000e-04  2.50072292e+00  3.75940382e+00  2.42986963e+00 -3.36801828e-05 
 3.76400000e-04  2.50070086e+00  3.76139916e+00  2.43186824e+00 -3.36658484e-05 
 3.81400000e-04  2.50067811e+00  3.76346336e+00  2.43393554e+00 -3.36510165e-05 
 3.86400000e-04  2.50065469e+00  3.76559437e+00  2.43606946e+00 -3.36357019e-05 
 3.91400000e-04  2.50063062e+00  3.76779006e+00  2.43826787e+00 -3.36199200e-05 
 3.96400000e-04  2.50060593e+00  3.77004822e+00  2.44052857e+00 -3.36036867e-05 
 4.01400000e-04  2.50058065e+00  3.77236660e+00  2.44284929e+00 -3.35870182e-05 
 4.06400000e-04  2.50055479e+00  3.77474288e+00  2.44522771e+00 -3.35699314e-05 
 4.11400000e-04  2.50052838e+00  3.77717469e+00  2.44766147e+00 -3.35524432e-05 
 4.16400000e-04  2.50050145e+00  3.77965959e+00  2.45014811e+00 -3.35345713e-05 
 4.21400000e-04  2.50047403e+00  3.78219510e+00  2.45268518e+00 -3.35163336e-05 
 4.26400000e-04  2.50044614e+00  3.78477870e+00  2.45527012e+00 -3.34977482e-05 
 4.31400000e-04  2.50041780e+00  3.78740780e+00  2.45790037e+00 -3.34788339e-05 
 4.36400000e-04  2.50038906e+00  3.79007979e+00  2.46057329e+00 -3.34596095e-05 
 4.41400000e-04  2.50035993e+00  3.79279200e+00  2.46328622e+00 -3.34400943e-05 
 4.46400000e-04  2.50033045e+00  3.79554172e+00  2.46603647e+00 -3.34203077e-05 
 4.51400000e-04  2.50030064e+00  3.79832623e+00  2.46882129e+00 -3.34002695e-05 
 4.56400000e-04  2.50027053e+00  3.80114274e+00  2.47163791e+00 -3.33799996e-05 
 4.61400000e-04  2.50024016e+00  3.80398845e+00  2.47448352e+00 -3.33595184e-05 
 4.66400000e-04  2.50020955e+00  3.80686054e+00  2.47735530e+00 -3.33388461e-05 
 4.71400000e-04  2.50017873e+00  3.80975616e+00  2.48025040e+00 -3.33180035e-05 
 4.76400000e-04  2.50014774e+00  3.81267242e+00  2.48316594e+00 -3.32970111e-05 
 4.81400000e-04  2.50011660e+00  3.81560643e+00  2.48609902e+00 -3.32758899e-05 
 4.86400000e-04  2.50008535e+00  3.81855528e+00  2.48904673e+00 -3.32546609e-05 
 4.91400000e-04  2.50005401e+00  3.82151604e+00  2.49200616e+00 -3.32333450e-05 
 4.96400000e-04  2.50002262e+00  3.82448579e+00  2.49497436e+00 -3.32119636e-05 
 5.01400000e-04  2.49999120e+00  3.82746159e+00  2.49794841e+00 -3.31905377e-05 
 5.06400000e-04  2.49995980e+00  3.83044048e+00  2.50092535e+00 -3.31690885e-05 
 5.11400000e-04  2.49992843e+00  3.83341952e+00  2.50390225e+00 -3.31476373e-05 
 5.16400000e-04  2.49989714e+00  3.83639577e+00  2.50687616e+00 -3.31262053e-05 
 5.21400000e-04  2.49986594e+00  3.83936630e+00  2.50984414e+00 -3.31048137e-05 
 5.26400000e-04  2.49983488e+00  3.84232815e+00  2.51280328e+00 -3.30834834e-05 
 5.31400000e-04  2.49980399e+00  3.84527843e+00  2.51575063e+00 -3.30622357e-05 
 5.36400000e-04  2.49977328e+00  3.84821422e+00  2.51868332e+00 -3.30410914e-05 
 5.41400000e-04  2.49974280e+00  3.85113262e+00  2.52159844e+00 -3.30200712e-05 
 5.46400000e-04  2.49971257e+00  3.85403077e+00  2.52449312e+00 -3.29991960e-05 
 5.51400000e-04  2.49968263e+00  3.85690582e+00  2.52736453e+00 -3.29784861e-05 
 5.56400000e-04  2.49965300e+00  3.85975495e+00  2.53020984e+00 -3.29579619e-05 
 5.61400000e-04  2.49962371e+00  3.86257534e+00  2.53302625e+00 -3.29376435e-05 
 5.66400000e-04  2.49959479e+00  3.86536425e+00  2.53581101e+00 -3.29175508e-05 
 5.71400000e-04  2.49956628e+00  3.86811893e+00  2.53856137e+00 -3.28977035e-05 
 5.76400000e-04  2.49953819e+00  3.87083669e+00  2.54127466e+00 -3.28781209e-05 
 5.81400000e-04  2.49951056e+00  3.87351487e+00  2.54394822e+00 -3.28588222e-05 
 5.86400000e-04  2.49948341e+00  3.87615084e+00  2.54657942e+00 -3.28398262e-05 
 5.91400000e-04  2.49945677e+00  3.87874203e+00  2.54916569e+00 -3.28211515e-05 
 5.96400000e-04  2.49943066e+00  3.88128592e+00  2.55170452e+00 -3.28028161e-05 
 6.01400000e-04  2.49940512e+00  3.88378001e+00  2.55419343e+00 -3.27848380e-05 
 6.06400000e-04  2.49938017e+00  3.88622188e+00  2.55662998e+00 -3.27672346e-05 
 6.11400000e-04  2.49935582e+00  3.88860915e+00  2.55901180e+00 -3.27500230e-05 
 6.16400000e-04  2.49933212e+00  3.89093949e+00  2.56133658e+00 -3.27332199e-05 
 6.21400000e-04  2.49930907e+00  3.89321064e+00  2.56360206e+00 -3.27168416e-05 
 6.26400000e-04  2.49928670e+00  3.89542038e+00  2.56580602e+00 -3.27009039e-05 
 6.31400000e-04  2.49926504e+00  3.89756658e+00  2.56794633e+00 -3.26854223e-05 
