 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00 -3.31711235e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00 -3.31711238e-05 
 2.00000000e-07  2.50000126e+00  3.82990743e+00  2.50000000e+00 -3.31711246e-05 
 4.00000000e-07  2.50000251e+00  3.82990740e+00  2.49999997e+00 -3.31711279e-05 
 8.00000000e-07  2.50000503e+00  3.82990712e+00  2.49999969e+00 -3.31711388e-05 
 1.60000000e-06  2.50001005e+00  3.82990342e+00  2.49999600e+00 -3.31711748e-05 
 3.20000000e-06  2.50002010e+00  3.82986251e+00  2.49995518e+00 -3.31713928e-05 
 6.40000000e-06  2.50004020e+00  3.82951845e+00  2.49961188e+00 -3.31733506e-05 
 1.14000000e-05  2.50007157e+00  3.82811875e+00  2.49821538e+00 -3.31823511e-05 
 1.64000000e-05  2.50010286e+00  3.82585012e+00  2.49595218e+00 -3.31979627e-05 
 2.14000000e-05  2.50013406e+00  3.82312594e+00  2.49323493e+00 -3.32172911e-05 
 2.64000000e-05  2.50016512e+00  3.82023744e+00  2.49035431e+00 -3.32380063e-05 
 3.14000000e-05  2.50019601e+00  3.81730438e+00  2.48742984e+00 -3.32591125e-05 
 3.64000000e-05  2.50022672e+00  3.81436767e+00  2.48450234e+00 -3.32802693e-05 
 4.14000000e-05  2.50025720e+00  3.81144194e+00  2.48158642e+00 -3.33013567e-05 
 4.64000000e-05  2.50028743e+00  3.80853365e+00  2.47868853e+00 -3.33223238e-05 
 5.14000000e-05  2.50031737e+00  3.80564678e+00  2.47581261e+00 -3.33431406e-05 
 5.64000000e-05  2.50034700e+00  3.80278452e+00  2.47296187e+00 -3.33637835e-05 
 6.14000000e-05  2.50037629e+00  3.79994982e+00  2.47013923e+00 -3.33842312e-05 
 6.64000000e-05  2.50040521e+00  3.79714554e+00  2.46734754e+00 -3.34044631e-05 
 7.14000000e-05  2.50043372e+00  3.79437445e+00  2.46458956e+00 -3.34244589e-05 
 7.64000000e-05  2.50046181e+00  3.79163934e+00  2.46186806e+00 -3.34441986e-05 
 8.14000000e-05  2.50048944e+00  3.78894292e+00  2.45918575e+00 -3.34636625e-05 
 8.64000000e-05  2.50051659e+00  3.78628788e+00  2.45654529e+00 -3.34828312e-05 
 9.14000000e-05  2.50054323e+00  3.78367687e+00  2.45394932e+00 -3.35016854e-05 
 9.64000000e-05  2.50056934e+00  3.78111248e+00  2.45140043e+00 -3.35202065e-05 
 1.01400000e-04  2.50059488e+00  3.77859729e+00  2.44890116e+00 -3.35383757e-05 
 1.06400000e-04  2.50061983e+00  3.77613380e+00  2.44645401e+00 -3.35561750e-05 
 1.11400000e-04  2.50064418e+00  3.77372446e+00  2.44406141e+00 -3.35735864e-05 
 1.16400000e-04  2.50066788e+00  3.77137170e+00  2.44172577e+00 -3.35905926e-05 
 1.21400000e-04  2.50069093e+00  3.76907785e+00  2.43944940e+00 -3.36071765e-05 
 1.26400000e-04  2.50071330e+00  3.76684521e+00  2.43723459e+00 -3.36233214e-05 
 1.31400000e-04  2.50073496e+00  3.76467601e+00  2.43508356e+00 -3.36390112e-05 
 1.36400000e-04  2.50075590e+00  3.76257243e+00  2.43299845e+00 -3.36542301e-05 
 1.41400000e-04  2.50077609e+00  3.76053657e+00  2.43098134e+00 -3.36689628e-05 
 1.46400000e-04  2.50079552e+00  3.75857046e+00  2.42903427e+00 -3.36831945e-05 
 1.51400000e-04  2.50081416e+00  3.75667607e+00  2.42715917e+00 -3.36969109e-05 
 1.56400000e-04  2.50083199e+00  3.75485531e+00  2.42535793e+00 -3.37100982e-05 
 1.61400000e-04  2.50084901e+00  3.75310999e+00  2.42363235e+00 -3.37227431e-05 
 1.66400000e-04  2.50086519e+00  3.75144186e+00  2.42198415e+00 -3.37348330e-05 
 1.71400000e-04  2.50088051e+00  3.74985260e+00  2.42041499e+00 -3.37463556e-05 
 1.76400000e-04  2.50089497e+00  3.74834379e+00  2.41892644e+00 -3.37572994e-05 
 1.81400000e-04  2.50090854e+00  3.74691696e+00  2.41752000e+00 -3.37676534e-05 
 1.86400000e-04  2.50092121e+00  3.74557352e+00  2.41619707e+00 -3.37774070e-05 
 1.91400000e-04  2.50093298e+00  3.74431484e+00  2.41495898e+00 -3.37865506e-05 
 1.96400000e-04  2.50094382e+00  3.74314216e+00  2.41380697e+00 -3.37950748e-05 
 2.01400000e-04  2.50095374e+00  3.74205667e+00  2.41274220e+00 -3.38029711e-05 
 2.06400000e-04  2.50096271e+00  3.74105945e+00  2.41176573e+00 -3.38102316e-05 
 2.11400000e-04  2.50097073e+00  3.74015151e+00  2.41087854e+00 -3.38168489e-05 
 2.16400000e-04  2.50097780e+00  3.73933376e+00  2.41008153e+00 -3.38228163e-05 
 2.21400000e-04  2.50098390e+00  3.73860701e+00  2.40937549e+00 -3.38281279e-05 
 2.26400000e-04  2.50098903e+00  3.73797200e+00  2.40876114e+00 -3.38327782e-05 
 2.31400000e-04  2.50099318e+00  3.73742936e+00  2.40823908e+00 -3.38367627e-05 
 2.36400000e-04  2.50099635e+00  3.73697964e+00  2.40780984e+00 -3.38400772e-05 
 2.41400000e-04  2.50099854e+00  3.73662329e+00  2.40747385e+00 -3.38427185e-05 
 2.46400000e-04  2.50099974e+00  3.73636066e+00  2.40723145e+00 -3.38446839e-05 
 2.51400000e-04  2.50099996e+00  3.73619202e+00  2.40708288e+00 -3.38459714e-05 
 2.56400000e-04  2.50099919e+00  3.73611753e+00  2.40702829e+00 -3.38465798e-05 
 2.61400000e-04  2.50099744e+00  3.73613728e+00  2.40706773e+00 -3.38465083e-05 
 2.66400000e-04  2.50099470e+00  3.73625124e+00  2.40720116e+00 -3.38457572e-05 
 2.71400000e-04  2.50099097e+00  3.73645929e+00  2.40742845e+00 -3.38443271e-05 
 2.76400000e-04  2.50098627e+00  3.73676123e+00  2.40774937e+00 -3.38422195e-05 
 2.81400000e-04  2.50098060e+00  3.73715675e+00  2.40816359e+00 -3.38394366e-05 
 2.86400000e-04  2.50097396e+00  3.73764546e+00  2.40867070e+00 -3.38359812e-05 
 2.91400000e-04  2.50096636e+00  3.73822685e+00  2.40927019e+00 -3.38318567e-05 
 2.96400000e-04  2.50095780e+00  3.73890036e+00  2.40996146e+00 -3.38270674e-05 
 3.01400000e-04  2.50094830e+00  3.73966529e+00  2.41074380e+00 -3.38216180e-05 
 3.06400000e-04  2.50093786e+00  3.74052089e+00  2.41161644e+00 -3.38155142e-05 
 3.11400000e-04  2.50092650e+00  3.74146629e+00  2.41257850e+00 -3.38087620e-05 
 3.16400000e-04  2.50091423e+00  3.74250055e+00  2.41362900e+00 -3.38013682e-05 
 3.21400000e-04  2.50090105e+00  3.74362261e+00  2.41476691e+00 -3.37933404e-05 
 3.26400000e-04  2.50088698e+00  3.74483137e+00  2.41599106e+00 -3.37846866e-05 
 3.31400000e-04  2.50087204e+00  3.74612560e+00  2.41730024e+00 -3.37754156e-05 
 3.36400000e-04  2.50085623e+00  3.74750400e+00  2.41869313e+00 -3.37655368e-05 
 3.41400000e-04  2.50083958e+00  3.74896519e+00  2.42016832e+00 -3.37550600e-05 
 3.46400000e-04  2.50082210e+00  3.75050771e+00  2.42172435e+00 -3.37439958e-05 
 3.51400000e-04  2.50080382e+00  3.75213001e+00  2.42335965e+00 -3.37323555e-05 
 3.56400000e-04  2.50078473e+00  3.75383046e+00  2.42507258e+00 -3.37201506e-05 
 3.61400000e-04  2.50076488e+00  3.75560735e+00  2.42686142e+00 -3.37073936e-05 
 3.66400000e-04  2.50074426e+00  3.75745891e+00  2.42872438e+00 -3.36940973e-05 
 3.71400000e-04  2.50072292e+00  3.75938328e+00  2.43065959e+00 -3.36802750e-05 
 3.76400000e-04  2.50070086e+00  3.76137853e+00  2.43266511e+00 -3.36659406e-05 
 3.81400000e-04  2.50067811e+00  3.76344267e+00  2.43473894e+00 -3.36511087e-05 
 3.86400000e-04  2.50065469e+00  3.76557362e+00  2.43687900e+00 -3.36357939e-05 
 3.91400000e-04  2.50063062e+00  3.76776926e+00  2.43908314e+00 -3.36200119e-05 
 3.96400000e-04  2.50060593e+00  3.77002738e+00  2.44134916e+00 -3.36037784e-05 
 4.01400000e-04  2.50058065e+00  3.77234573e+00  2.44367480e+00 -3.35871096e-05 
 4.06400000e-04  2.50055479e+00  3.77472200e+00  2.44605772e+00 -3.35700224e-05 
 4.11400000e-04  2.50052838e+00  3.77715380e+00  2.44849556e+00 -3.35525339e-05 
 4.16400000e-04  2.50050145e+00  3.77963871e+00  2.45098586e+00 -3.35346616e-05 
 4.21400000e-04  2.50047403e+00  3.78217424e+00  2.45352615e+00 -3.35164233e-05 
 4.26400000e-04  2.50044614e+00  3.78475787e+00  2.45611388e+00 -3.34978375e-05 
 4.31400000e-04  2.50041780e+00  3.78738701e+00  2.45874648e+00 -3.34789226e-05 
 4.36400000e-04  2.50038906e+00  3.79005905e+00  2.46142132e+00 -3.34596976e-05 
 4.41400000e-04  2.50035993e+00  3.79277132e+00  2.46413573e+00 -3.34401817e-05 
 4.46400000e-04  2.50033045e+00  3.79552112e+00  2.46688701e+00 -3.34203944e-05 
 4.51400000e-04  2.50030064e+00  3.79830570e+00  2.46967242e+00 -3.34003554e-05 
 4.56400000e-04  2.50027053e+00  3.80112231e+00  2.47248919e+00 -3.33800848e-05 
 4.61400000e-04  2.50024016e+00  3.80396813e+00  2.47533451e+00 -3.33596027e-05 
 4.66400000e-04  2.50020955e+00  3.80684034e+00  2.47820555e+00 -3.33389295e-05 
 4.71400000e-04  2.50017873e+00  3.80973608e+00  2.48109946e+00 -3.33180859e-05 
 4.76400000e-04  2.50014774e+00  3.81265248e+00  2.48401337e+00 -3.32970926e-05 
 4.81400000e-04  2.50011660e+00  3.81558663e+00  2.48694438e+00 -3.32759703e-05 
 4.86400000e-04  2.50008535e+00  3.81853564e+00  2.48988959e+00 -3.32547402e-05 
 4.91400000e-04  2.50005401e+00  3.82149658e+00  2.49284607e+00 -3.32334233e-05 
 4.96400000e-04  2.50002262e+00  3.82446650e+00  2.49581090e+00 -3.32120407e-05 
 5.01400000e-04  2.49999120e+00  3.82744248e+00  2.49878113e+00 -3.31906136e-05 
 5.06400000e-04  2.49995980e+00  3.83042157e+00  2.50175384e+00 -3.31691632e-05 
 5.11400000e-04  2.49992843e+00  3.83340082e+00  2.50472607e+00 -3.31477108e-05 
 5.16400000e-04  2.49989714e+00  3.83637729e+00  2.50769490e+00 -3.31262775e-05 
 5.21400000e-04  2.49986594e+00  3.83934803e+00  2.51065739e+00 -3.31048845e-05 
 5.26400000e-04  2.49983488e+00  3.84231012e+00  2.51361062e+00 -3.30835530e-05 
 5.31400000e-04  2.49980399e+00  3.84526064e+00  2.51655167e+00 -3.30623039e-05 
 5.36400000e-04  2.49977328e+00  3.84819668e+00  2.51947765e+00 -3.30411581e-05 
 5.41400000e-04  2.49974280e+00  3.85111534e+00  2.52238567e+00 -3.30201366e-05 
 5.46400000e-04  2.49971257e+00  3.85401376e+00  2.52527287e+00 -3.29992598e-05 
 5.51400000e-04  2.49968263e+00  3.85688908e+00  2.52813642e+00 -3.29785485e-05 
 5.56400000e-04  2.49965300e+00  3.85973848e+00  2.53097350e+00 -3.29580228e-05 
 5.61400000e-04  2.49962371e+00  3.86255916e+00  2.53378132e+00 -3.29377028e-05 
 5.66400000e-04  2.49959479e+00  3.86534836e+00  2.53655713e+00 -3.29176086e-05 
 5.71400000e-04  2.49956628e+00  3.86810335e+00  2.53929821e+00 -3.28977597e-05 
 5.76400000e-04  2.49953819e+00  3.87082141e+00  2.54200187e+00 -3.28781756e-05 
 5.81400000e-04  2.49951056e+00  3.87349990e+00  2.54466547e+00 -3.28588753e-05 
 5.86400000e-04  2.49948341e+00  3.87613619e+00  2.54728640e+00 -3.28398777e-05 
 5.91400000e-04  2.49945677e+00  3.87872770e+00  2.54986210e+00 -3.28212013e-05 
 5.96400000e-04  2.49943066e+00  3.88127191e+00  2.55239006e+00 -3.28028643e-05 
 6.01400000e-04  2.49940512e+00  3.88376634e+00  2.55486780e+00 -3.27848846e-05 
 6.06400000e-04  2.49938017e+00  3.88620854e+00  2.55729291e+00 -3.27672795e-05 
 6.11400000e-04  2.49935582e+00  3.88859615e+00  2.55966303e+00 -3.27500663e-05 
 6.16400000e-04  2.49933212e+00  3.89092683e+00  2.56197586e+00 -3.27332615e-05 
 6.21400000e-04  2.49930907e+00  3.89319833e+00  2.56422913e+00 -3.27168815e-05 
 6.26400000e-04  2.49928670e+00  3.89540842e+00  2.56642066e+00 -3.27009422e-05 
 6.31400000e-04  2.49926504e+00  3.89755497e+00  2.56854833e+00 -3.26854589e-05 
