 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+01  4.08976974e-04  5.90310404e-06 
 1.02920053e+01  3.98468420e-04  5.65467798e-06 
 1.05925373e+01  3.87952960e-04  5.41697777e-06 
 1.09018449e+01  3.77455809e-04  5.18953246e-06 
 1.12201845e+01  3.67000608e-04  4.97189281e-06 
 1.15478198e+01  3.56609386e-04  4.76363012e-06 
 1.18850223e+01  3.46302545e-04  4.56433528e-06 
 1.22320712e+01  3.36098855e-04  4.37361774e-06 
 1.25892541e+01  3.26015466e-04  4.19110464e-06 
 1.29568670e+01  3.16067939e-04  4.01643992e-06 
 1.33352143e+01  3.06270273e-04  3.84928351e-06 
 1.37246096e+01  2.96634960e-04  3.68931059e-06 
 1.41253754e+01  2.87173033e-04  3.53621081e-06 
 1.45378439e+01  2.77894129e-04  3.38968763e-06 
 1.49623566e+01  2.68806554e-04  3.24945769e-06 
 1.53992653e+01  2.59917351e-04  3.11525014e-06 
 1.58489319e+01  2.51232375e-04  2.98680609e-06 
 1.63117291e+01  2.42756363e-04  2.86387803e-06 
 1.67880402e+01  2.34493012e-04  2.74622934e-06 
 1.72782598e+01  2.26445049e-04  2.63363375e-06 
 1.77827941e+01  2.18614308e-04  2.52587487e-06 
 1.83020611e+01  2.11001799e-04  2.42274575e-06 
 1.88364909e+01  2.03607780e-04  2.32404846e-06 
 1.93865264e+01  1.96431822e-04  2.22959364e-06 
 1.99526231e+01  1.89472875e-04  2.13920014e-06 
 2.05352503e+01  1.82729330e-04  2.05269467e-06 
 2.11348904e+01  1.76199079e-04  1.96991139e-06 
 2.17520403e+01  1.69879565e-04  1.89069163e-06 
 2.23872114e+01  1.63767843e-04  1.81488352e-06 
 2.30409298e+01  1.57860619e-04  1.74234173e-06 
 2.37137371e+01  1.52154302e-04  1.67292715e-06 
 2.44061907e+01  1.46645046e-04  1.60650663e-06 
 2.51188643e+01  1.41328785e-04  1.54295269e-06 
 2.58523484e+01  1.36201272e-04  1.48214331e-06 
 2.66072506e+01  1.31258113e-04  1.42396162e-06 
 2.73841963e+01  1.26494792e-04  1.36829576e-06 
 2.81838293e+01  1.21906707e-04  1.31503858e-06 
 2.90068120e+01  1.17489186e-04  1.26408749e-06 
 2.98538262e+01  1.13237513e-04  1.21534421e-06 
 3.07255737e+01  1.09146953e-04  1.16871461e-06 
 3.16227766e+01  1.05212761e-04  1.12410852e-06 
 3.25461783e+01  1.01430204e-04  1.08143957e-06 
 3.34965439e+01  9.77945768e-05  1.04062499e-06 
 3.44746607e+01  9.43012085e-05  1.00158549e-06 
 3.54813389e+01  9.09454789e-05  9.64245058e-07 
 3.65174127e+01  8.77228258e-05  9.28530884e-07 
 3.75837404e+01  8.46287539e-05  8.94373161e-07 
 3.86812055e+01  8.16588418e-05  8.61704985e-07 
 3.98107171e+01  7.88087482e-05  8.30462217e-07 
 4.09732110e+01  7.60742168e-05  8.00583369e-07 
 4.21696503e+01  7.34510809e-05  7.72009486e-07 
 4.34010264e+01  7.09352662e-05  7.44684037e-07 
 4.46683592e+01  6.85227943e-05  7.18552815e-07 
 4.59726989e+01  6.62097839e-05  6.93563833e-07 
 4.73151259e+01  6.39924532e-05  6.69667229e-07 
 4.86967525e+01  6.18671200e-05  6.46815184e-07 
 5.01187234e+01  5.98302031e-05  6.24961825e-07 
 5.15822165e+01  5.78782221e-05  6.04063153e-07 
 5.30884444e+01  5.60077972e-05  5.84076961e-07 
 5.46386550e+01  5.42156491e-05  5.64962762e-07 
 5.62341325e+01  5.24985978e-05  5.46681718e-07 
 5.78761988e+01  5.08535623e-05  5.29196573e-07 
 5.95662144e+01  4.92775593e-05  5.12471592e-07 
 6.13055792e+01  4.77677018e-05  4.96472500e-07 
