 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00 -3.31711235e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00 -3.31711238e-05 
 2.00000000e-07  2.50000126e+00  3.82990743e+00  2.50000000e+00 -3.31711246e-05 
 4.00000000e-07  2.50000251e+00  3.82990741e+00  2.49999998e+00 -3.31711279e-05 
 8.00000000e-07  2.50000503e+00  3.82990720e+00  2.49999977e+00 -3.31711381e-05 
 1.60000000e-06  2.50001005e+00  3.82990444e+00  2.49999702e+00 -3.31711662e-05 
 3.20000000e-06  2.50002010e+00  3.82987321e+00  2.49996587e+00 -3.31713026e-05 
 6.40000000e-06  2.50004020e+00  3.82959984e+00  2.49969319e+00 -3.31726640e-05 
 1.14000000e-05  2.50007157e+00  3.82842874e+00  2.49852510e+00 -3.31797362e-05 
 1.64000000e-05  2.50010286e+00  3.82643084e+00  2.49653243e+00 -3.31930641e-05 
 2.14000000e-05  2.50013406e+00  3.82391494e+00  2.49402327e+00 -3.32106358e-05 
 2.64000000e-05  2.50016512e+00  3.82115021e+00  2.49126617e+00 -3.32303070e-05 
 3.14000000e-05  2.50019601e+00  3.81828029e+00  2.48840443e+00 -3.32508808e-05 
 3.64000000e-05  2.50022672e+00  3.81537206e+00  2.48550475e+00 -3.32717974e-05 
 4.14000000e-05  2.50025720e+00  3.81245669e+00  2.48259824e+00 -3.32927975e-05 
 4.64000000e-05  2.50028743e+00  3.80954955e+00  2.47970022e+00 -3.33137551e-05 
 5.14000000e-05  2.50031737e+00  3.80665898e+00  2.47681904e+00 -3.33346031e-05 
 5.64000000e-05  2.50034700e+00  3.80379029e+00  2.47395995e+00 -3.33553006e-05 
 6.14000000e-05  2.50037629e+00  3.80094737e+00  2.47112686e+00 -3.33758178e-05 
 6.64000000e-05  2.50040521e+00  3.79813353e+00  2.46832305e+00 -3.33961306e-05 
 7.14000000e-05  2.50043372e+00  3.79535175e+00  2.46555152e+00 -3.34162168e-05 
 7.64000000e-05  2.50046181e+00  3.79260492e+00  2.46281511e+00 -3.34360557e-05 
 8.14000000e-05  2.50048944e+00  3.78989579e+00  2.46011658e+00 -3.34556271e-05 
 8.64000000e-05  2.50051659e+00  3.78722709e+00  2.45745864e+00 -3.34749114e-05 
 9.14000000e-05  2.50054323e+00  3.78460148e+00  2.45484396e+00 -3.34938892e-05 
 9.64000000e-05  2.50056934e+00  3.78202159e+00  2.45227513e+00 -3.35125415e-05 
 1.01400000e-04  2.50059488e+00  3.77948998e+00  2.44975472e+00 -3.35308497e-05 
 1.06400000e-04  2.50061983e+00  3.77700920e+00  2.44728526e+00 -3.35487953e-05 
 1.11400000e-04  2.50064418e+00  3.77458170e+00  2.44486920e+00 -3.35663605e-05 
 1.16400000e-04  2.50066788e+00  3.77220993e+00  2.44250895e+00 -3.35835276e-05 
 1.21400000e-04  2.50069093e+00  3.76989624e+00  2.44020688e+00 -3.36002794e-05 
 1.26400000e-04  2.50071330e+00  3.76764295e+00  2.43796529e+00 -3.36165991e-05 
 1.31400000e-04  2.50073496e+00  3.76545232e+00  2.43578642e+00 -3.36324703e-05 
 1.36400000e-04  2.50075590e+00  3.76332653e+00  2.43367244e+00 -3.36478772e-05 
 1.41400000e-04  2.50077609e+00  3.76126771e+00  2.43162548e+00 -3.36628042e-05 
 1.46400000e-04  2.50079552e+00  3.75927793e+00  2.42964757e+00 -3.36772363e-05 
 1.51400000e-04  2.50081416e+00  3.75735917e+00  2.42774071e+00 -3.36911590e-05 
 1.56400000e-04  2.50083199e+00  3.75551335e+00  2.42590680e+00 -3.37045584e-05 
 1.61400000e-04  2.50084901e+00  3.75374233e+00  2.42414767e+00 -3.37174210e-05 
 1.66400000e-04  2.50086519e+00  3.75204787e+00  2.42246509e+00 -3.37297337e-05 
 1.71400000e-04  2.50088051e+00  3.75043168e+00  2.42086074e+00 -3.37414843e-05 
 1.76400000e-04  2.50089497e+00  3.74889537e+00  2.41933624e+00 -3.37526609e-05 
 1.81400000e-04  2.50090854e+00  3.74744049e+00  2.41789310e+00 -3.37632523e-05 
 1.86400000e-04  2.50092121e+00  3.74606850e+00  2.41653279e+00 -3.37732478e-05 
 1.91400000e-04  2.50093298e+00  3.74478076e+00  2.41525665e+00 -3.37826373e-05 
 1.96400000e-04  2.50094382e+00  3.74357857e+00  2.41406597e+00 -3.37914113e-05 
 2.01400000e-04  2.50095374e+00  3.74246314e+00  2.41296195e+00 -3.37995611e-05 
 2.06400000e-04  2.50096271e+00  3.74143559e+00  2.41194569e+00 -3.38070784e-05 
 2.11400000e-04  2.50097073e+00  3.74049694e+00  2.41101821e+00 -3.38139557e-05 
 2.16400000e-04  2.50097780e+00  3.73964814e+00  2.41018045e+00 -3.38201860e-05 
 2.21400000e-04  2.50098390e+00  3.73889004e+00  2.40943323e+00 -3.38257631e-05 
 2.26400000e-04  2.50098903e+00  3.73822339e+00  2.40877732e+00 -3.38306812e-05 
 2.31400000e-04  2.50099318e+00  3.73764888e+00  2.40821336e+00 -3.38349356e-05 
 2.36400000e-04  2.50099635e+00  3.73716707e+00  2.40774193e+00 -3.38385218e-05 
 2.41400000e-04  2.50099854e+00  3.73677845e+00  2.40736350e+00 -3.38414363e-05 
 2.46400000e-04  2.50099974e+00  3.73648340e+00  2.40707845e+00 -3.38436761e-05 
 2.51400000e-04  2.50099996e+00  3.73628223e+00  2.40688706e+00 -3.38452391e-05 
 2.56400000e-04  2.50099919e+00  3.73617513e+00  2.40678952e+00 -3.38461236e-05 
 2.61400000e-04  2.50099744e+00  3.73616222e+00  2.40678593e+00 -3.38463287e-05 
 2.66400000e-04  2.50099470e+00  3.73624349e+00  2.40687630e+00 -3.38458542e-05 
 2.71400000e-04  2.50099097e+00  3.73641888e+00  2.40706053e+00 -3.38447007e-05 
 2.76400000e-04  2.50098627e+00  3.73668820e+00  2.40733844e+00 -3.38428693e-05 
 2.81400000e-04  2.50098060e+00  3.73705119e+00  2.40770975e+00 -3.38403619e-05 
 2.86400000e-04  2.50097396e+00  3.73750747e+00  2.40817407e+00 -3.38371810e-05 
 2.91400000e-04  2.50096636e+00  3.73805659e+00  2.40873096e+00 -3.38333298e-05 
 2.96400000e-04  2.50095780e+00  3.73869800e+00  2.40937984e+00 -3.38288122e-05 
 3.01400000e-04  2.50094830e+00  3.73943105e+00  2.41012006e+00 -3.38236329e-05 
 3.06400000e-04  2.50093786e+00  3.74025501e+00  2.41095089e+00 -3.38177969e-05 
 3.11400000e-04  2.50092650e+00  3.74116904e+00  2.41187148e+00 -3.38113103e-05 
 3.16400000e-04  2.50091423e+00  3.74217223e+00  2.41288091e+00 -3.38041796e-05 
 3.21400000e-04  2.50090105e+00  3.74326358e+00  2.41397817e+00 -3.37964119e-05 
 3.26400000e-04  2.50088698e+00  3.74444198e+00  2.41516215e+00 -3.37880152e-05 
 3.31400000e-04  2.50087204e+00  3.74570625e+00  2.41643166e+00 -3.37789979e-05 
 3.36400000e-04  2.50085623e+00  3.74705512e+00  2.41778544e+00 -3.37693690e-05 
 3.41400000e-04  2.50083958e+00  3.74848724e+00  2.41922212e+00 -3.37591384e-05 
 3.46400000e-04  2.50082210e+00  3.75000118e+00  2.42074027e+00 -3.37483163e-05 
 3.51400000e-04  2.50080382e+00  3.75159541e+00  2.42233834e+00 -3.37369136e-05 
 3.56400000e-04  2.50078473e+00  3.75326833e+00  2.42401476e+00 -3.37249419e-05 
 3.61400000e-04  2.50076488e+00  3.75501827e+00  2.42576783e+00 -3.37124131e-05 
 3.66400000e-04  2.50074426e+00  3.75684347e+00  2.42759579e+00 -3.36993400e-05 
 3.71400000e-04  2.50072292e+00  3.75874211e+00  2.42949682e+00 -3.36857355e-05 
 3.76400000e-04  2.50070086e+00  3.76071228e+00  2.43146902e+00 -3.36716136e-05 
 3.81400000e-04  2.50067811e+00  3.76275201e+00  2.43351039e+00 -3.36569883e-05 
 3.86400000e-04  2.50065469e+00  3.76485925e+00  2.43561891e+00 -3.36418743e-05 
 3.91400000e-04  2.50063062e+00  3.76703190e+00  2.43779245e+00 -3.36262869e-05 
 3.96400000e-04  2.50060593e+00  3.76926779e+00  2.44002885e+00 -3.36102417e-05 
 4.01400000e-04  2.50058065e+00  3.77156467e+00  2.44232587e+00 -3.35937548e-05 
 4.06400000e-04  2.50055479e+00  3.77392025e+00  2.44468122e+00 -3.35768428e-05 
 4.11400000e-04  2.50052838e+00  3.77633217e+00  2.44709252e+00 -3.35595226e-05 
 4.16400000e-04  2.50050145e+00  3.77879803e+00  2.44955739e+00 -3.35418116e-05 
 4.21400000e-04  2.50047403e+00  3.78131536e+00  2.45207335e+00 -3.35237275e-05 
 4.26400000e-04  2.50044614e+00  3.78388165e+00  2.45463789e+00 -3.35052884e-05 
 4.31400000e-04  2.50041780e+00  3.78649435e+00  2.45724846e+00 -3.34865129e-05 
 4.36400000e-04  2.50038906e+00  3.78915083e+00  2.45990245e+00 -3.34674196e-05 
 4.41400000e-04  2.50035993e+00  3.79184845e+00  2.46259722e+00 -3.34480277e-05 
 4.46400000e-04  2.50033045e+00  3.79458454e+00  2.46533007e+00 -3.34283566e-05 
 4.51400000e-04  2.50030064e+00  3.79735635e+00  2.46809829e+00 -3.34084258e-05 
 4.56400000e-04  2.50027053e+00  3.80016113e+00  2.47089912e+00 -3.33882553e-05 
 4.61400000e-04  2.50024016e+00  3.80299609e+00  2.47372978e+00 -3.33678652e-05 
 4.66400000e-04  2.50020955e+00  3.80585842e+00  2.47658744e+00 -3.33472757e-05 
 4.71400000e-04  2.50017873e+00  3.80874525e+00  2.47946927e+00 -3.33265075e-05 
 4.76400000e-04  2.50014774e+00  3.81165374e+00  2.48237241e+00 -3.33055812e-05 
 4.81400000e-04  2.50011660e+00  3.81458099e+00  2.48529397e+00 -3.32845175e-05 
 4.86400000e-04  2.50008535e+00  3.81752409e+00  2.48823105e+00 -3.32633374e-05 
 4.91400000e-04  2.50005401e+00  3.82048013e+00  2.49118075e+00 -3.32420620e-05 
 4.96400000e-04  2.50002262e+00  3.82344618e+00  2.49414013e+00 -3.32207122e-05 
 5.01400000e-04  2.49999120e+00  3.82641930e+00  2.49710627e+00 -3.31993094e-05 
 5.06400000e-04  2.49995980e+00  3.82939655e+00  2.50007623e+00 -3.31778746e-05 
 5.11400000e-04  2.49992843e+00  3.83237497e+00  2.50304708e+00 -3.31564292e-05 
 5.16400000e-04  2.49989714e+00  3.83535164e+00  2.50601587e+00 -3.31349942e-05 
 5.21400000e-04  2.49986594e+00  3.83832361e+00  2.50897968e+00 -3.31135909e-05 
 5.26400000e-04  2.49983488e+00  3.84128794e+00  2.51193558e+00 -3.30922404e-05 
 5.31400000e-04  2.49980399e+00  3.84424172e+00  2.51488065e+00 -3.30709637e-05 
 5.36400000e-04  2.49977328e+00  3.84718202e+00  2.51781199e+00 -3.30497818e-05 
 5.41400000e-04  2.49974280e+00  3.85010596e+00  2.52072671e+00 -3.30287156e-05 
 5.46400000e-04  2.49971257e+00  3.85301065e+00  2.52362195e+00 -3.30077858e-05 
 5.51400000e-04  2.49968263e+00  3.85589325e+00  2.52649486e+00 -3.29870129e-05 
 5.56400000e-04  2.49965300e+00  3.85875091e+00  2.52934261e+00 -3.29664173e-05 
 5.61400000e-04  2.49962371e+00  3.86158083e+00  2.53216240e+00 -3.29460192e-05 
 5.66400000e-04  2.49959479e+00  3.86438023e+00  2.53495148e+00 -3.29258385e-05 
 5.71400000e-04  2.49956628e+00  3.86714637e+00  2.53770709e+00 -3.29058952e-05 
 5.76400000e-04  2.49953819e+00  3.86987654e+00  2.54042656e+00 -3.28862086e-05 
 5.81400000e-04  2.49951056e+00  3.87256806e+00  2.54310720e+00 -3.28667979e-05 
 5.86400000e-04  2.49948341e+00  3.87521831e+00  2.54574641e+00 -3.28476821e-05 
 5.91400000e-04  2.49945677e+00  3.87782468e+00  2.54834159e+00 -3.28288799e-05 
 5.96400000e-04  2.49943066e+00  3.88038465e+00  2.55089022e+00 -3.28104096e-05 
 6.01400000e-04  2.49940512e+00  3.88289570e+00  2.55338981e+00 -3.27922891e-05 
 6.06400000e-04  2.49938017e+00  3.88535538e+00  2.55583791e+00 -3.27745360e-05 
 6.11400000e-04  2.49935582e+00  3.88776131e+00  2.55823215e+00 -3.27571677e-05 
 6.16400000e-04  2.49933212e+00  3.89011113e+00  2.56057019e+00 -3.27402009e-05 
 6.21400000e-04  2.49930907e+00  3.89240257e+00  2.56284976e+00 -3.27236520e-05 
 6.26400000e-04  2.49928670e+00  3.89463339e+00  2.56506863e+00 -3.27075372e-05 
 6.31400000e-04  2.49926504e+00  3.89680142e+00  2.56722466e+00 -3.26918720e-05 
