 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+01  3.81466600e-04  5.90310416e-06 
 1.02920053e+01  3.72584042e-04  5.65467810e-06 
 1.05925373e+01  3.63602588e-04  5.41697788e-06 
 1.09018449e+01  3.54551258e-04  5.18953257e-06 
 1.12201845e+01  3.45457547e-04  4.97189291e-06 
 1.15478198e+01  3.36347355e-04  4.76363022e-06 
 1.18850223e+01  3.27244943e-04  4.56433537e-06 
 1.22320712e+01  3.18172899e-04  4.37361783e-06 
 1.25892541e+01  3.09152131e-04  4.19110473e-06 
 1.29568670e+01  3.00201875e-04  4.01644000e-06 
 1.33352143e+01  2.91339713e-04  3.84928360e-06 
 1.37246096e+01  2.82581607e-04  3.68931067e-06 
 1.41253754e+01  2.73941941e-04  3.53621089e-06 
 1.45378439e+01  2.65433578e-04  3.38968771e-06 
 1.49623566e+01  2.57067915e-04  3.24945777e-06 
 1.53992653e+01  2.48854953e-04  3.11525021e-06 
 1.58489319e+01  2.40803362e-04  2.98680616e-06 
 1.63117291e+01  2.32920559e-04  2.86387810e-06 
 1.67880402e+01  2.25212783e-04  2.74622941e-06 
 1.72782598e+01  2.17685164e-04  2.63363382e-06 
 1.77827941e+01  2.10341809e-04  2.52587493e-06 
 1.83020611e+01  2.03185868e-04  2.42274582e-06 
 1.88364909e+01  1.96219615e-04  2.32404852e-06 
 1.93865264e+01  1.89444515e-04  2.22959370e-06 
 1.99526231e+01  1.82861297e-04  2.13920020e-06 
 2.05352503e+01  1.76470018e-04  2.05269473e-06 
 2.11348904e+01  1.70270126e-04  1.96991145e-06 
 2.17520403e+01  1.64260528e-04  1.89069169e-06 
 2.23872114e+01  1.58439636e-04  1.81488358e-06 
 2.30409298e+01  1.52805432e-04  1.74234179e-06 
 2.37137371e+01  1.47355511e-04  1.67292721e-06 
 2.44061907e+01  1.42087131e-04  1.60650669e-06 
 2.51188643e+01  1.36997259e-04  1.54295275e-06 
 2.58523484e+01  1.32082607e-04  1.48214336e-06 
 2.66072506e+01  1.27339673e-04  1.42396167e-06 
 2.73841963e+01  1.22764775e-04  1.36829581e-06 
 2.81838293e+01  1.18354081e-04  1.31503864e-06 
 2.90068120e+01  1.14103641e-04  1.26408754e-06 
 2.98538262e+01  1.10009408e-04  1.21534426e-06 
 3.07255737e+01  1.06067268e-04  1.16871466e-06 
 3.16227766e+01  1.02273055e-04  1.12410857e-06 
 3.25461783e+01  9.86225754e-05  1.08143962e-06 
 3.34965439e+01  9.51116229e-05  1.04062504e-06 
 3.44746607e+01  9.17359938e-05  1.00158554e-06 
 3.54813389e+01  8.84915009e-05  9.64245108e-07 
 3.65174127e+01  8.53739858e-05  9.28530934e-07 
 3.75837404e+01  8.23793288e-05  8.94373211e-07 
 3.86812055e+01  7.95034587e-05  8.61705035e-07 
 3.98107171e+01  7.67423603e-05  8.30462267e-07 
 4.09732110e+01  7.40920816e-05  8.00583419e-07 
 4.21696503e+01  7.15487395e-05  7.72009536e-07 
 4.34010264e+01  6.91085246e-05  7.44684088e-07 
