 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711236e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711240e-05 
 2.00000000e-07  2.50000126e+00  3.82990742e+00  2.49999999e+00  2.50000000e+00 -3.31711251e-05 
 4.00000000e-07  2.50000251e+00  3.82990735e+00  2.49999992e+00  2.50000000e+00 -3.31711294e-05 
 8.00000000e-07  2.50000503e+00  3.82990648e+00  2.49999905e+00  2.49999997e+00 -3.31711443e-05 
 1.60000000e-06  2.50001005e+00  3.82989629e+00  2.49998886e+00  2.49999930e+00 -3.31712149e-05 
 3.20000000e-06  2.50002010e+00  3.82980003e+00  2.49989262e+00  2.49998697e+00 -3.31717732e-05 
 6.40000000e-06  2.50004020e+00  3.82916092e+00  2.49925369e+00  2.49982933e+00 -3.31758040e-05 
 1.14000000e-05  2.50007157e+00  3.82714245e+00  2.49723625e+00  2.49897752e+00 -3.31895153e-05 
 1.64000000e-05  2.50010286e+00  3.82447364e+00  2.49456951e+00  2.49732449e+00 -3.32083450e-05 
 2.14000000e-05  2.50013406e+00  3.82163853e+00  2.49173732e+00  2.49508198e+00 -3.32285990e-05 
 2.64000000e-05  2.50016512e+00  3.81875479e+00  2.48885712e+00  2.49250953e+00 -3.32492784e-05 
 3.14000000e-05  2.50019601e+00  3.81584645e+00  2.48595278e+00  2.48976513e+00 -3.32701823e-05 
 3.64000000e-05  2.50022672e+00  3.81293320e+00  2.48304392e+00  2.48693353e+00 -3.32911486e-05 
 4.14000000e-05  2.50025720e+00  3.81002689e+00  2.48014232e+00  2.48406234e+00 -3.33120809e-05 
 4.64000000e-05  2.50028743e+00  3.80713521e+00  2.47725565e+00  2.48117882e+00 -3.33329178e-05 
 5.14000000e-05  2.50031737e+00  3.80426368e+00  2.47438942e+00  2.47829909e+00 -3.33536163e-05 
 5.64000000e-05  2.50034700e+00  3.80141657e+00  2.47154788e+00  2.47543326e+00 -3.33741437e-05 
 6.14000000e-05  2.50037629e+00  3.79859750e+00  2.46873464e+00  2.47258810e+00 -3.33944731e-05 
 6.64000000e-05  2.50040521e+00  3.79580970e+00  2.46595292e+00  2.46976857e+00 -3.34145806e-05 
 7.14000000e-05  2.50043372e+00  3.79305617e+00  2.46320573e+00  2.46697866e+00 -3.34344441e-05 
 7.64000000e-05  2.50046181e+00  3.79033978e+00  2.46049591e+00  2.46422175e+00 -3.34540429e-05 
 8.14000000e-05  2.50048944e+00  3.78766330e+00  2.45782624e+00  2.46150096e+00 -3.34733567e-05 
 8.64000000e-05  2.50051659e+00  3.78502944e+00  2.45519941e+00  2.45881916e+00 -3.34923659e-05 
 9.14000000e-05  2.50054323e+00  3.78244085e+00  2.45261806e+00  2.45617915e+00 -3.35110514e-05 
 9.64000000e-05  2.50056934e+00  3.77990011e+00  2.45008479e+00  2.45358360e+00 -3.35293944e-05 
 1.01400000e-04  2.50059488e+00  3.77740978e+00  2.44760211e+00  2.45103513e+00 -3.35473764e-05 
 1.06400000e-04  2.50061983e+00  3.77497233e+00  2.44517253e+00  2.44853631e+00 -3.35649794e-05 
 1.11400000e-04  2.50064418e+00  3.77259021e+00  2.44279845e+00  2.44608963e+00 -3.35821858e-05 
 1.16400000e-04  2.50066788e+00  3.77026579e+00  2.44048226e+00  2.44369755e+00 -3.35989784e-05 
 1.21400000e-04  2.50069093e+00  3.76800140e+00  2.43822627e+00  2.44136245e+00 -3.36153401e-05 
 1.26400000e-04  2.50071330e+00  3.76579930e+00  2.43603274e+00  2.43908667e+00 -3.36312548e-05 
 1.31400000e-04  2.50073496e+00  3.76366170e+00  2.43390386e+00  2.43687249e+00 -3.36467063e-05 
 1.36400000e-04  2.50075590e+00  3.76159074e+00  2.43184176e+00  2.43472213e+00 -3.36616791e-05 
 1.41400000e-04  2.50077609e+00  3.75958848e+00  2.42984850e+00  2.43263772e+00 -3.36761583e-05 
 1.46400000e-04  2.50079552e+00  3.75765694e+00  2.42792608e+00  2.43062136e+00 -3.36901292e-05 
