 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711235e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711238e-05 
 2.00000000e-07  2.50000126e+00  3.82990742e+00  2.50000000e+00  2.50000000e+00 -3.31711247e-05 
 4.00000000e-07  2.50000251e+00  3.82990740e+00  2.49999997e+00  2.50000000e+00 -3.31711280e-05 
 8.00000000e-07  2.50000503e+00  3.82990705e+00  2.49999962e+00  2.49999990e+00 -3.31711393e-05 
 1.60000000e-06  2.50001005e+00  3.82990280e+00  2.49999537e+00  2.49999812e+00 -3.31711801e-05 
 3.20000000e-06  2.50002010e+00  3.82985837e+00  2.49995097e+00  2.49997115e+00 -3.31714278e-05 
 6.40000000e-06  2.50004020e+00  3.82950201e+00  2.49959490e+00  2.49969296e+00 -3.31734894e-05 
 1.14000000e-05  2.50007157e+00  3.82809007e+00  2.49818434e+00  2.49842985e+00 -3.31825932e-05 
 1.64000000e-05  2.50010286e+00  3.82582608e+00  2.49592281e+00  2.49626589e+00 -3.31981659e-05 
 2.14000000e-05  2.50013406e+00  3.82311284e+00  2.49321278e+00  2.49359593e+00 -3.32174024e-05 
 2.64000000e-05  2.50016512e+00  3.82023225e+00  2.49033588e+00  2.49073178e+00 -3.32380513e-05 
 3.14000000e-05  2.50019601e+00  3.81730332e+00  2.48741098e+00  2.48780984e+00 -3.32591233e-05 
 3.64000000e-05  2.50022672e+00  3.81436856e+00  2.48448055e+00  2.48487890e+00 -3.32802641e-05 
 4.14000000e-05  2.50025720e+00  3.81144377e+00  2.48156039e+00  2.48195684e+00 -3.33013440e-05 
 4.64000000e-05  2.50028743e+00  3.80853602e+00  2.47865754e+00  2.47905137e+00 -3.33223071e-05 
 5.14000000e-05  2.50031737e+00  3.80564954e+00  2.47577621e+00  2.47616694e+00 -3.33431212e-05 
 5.64000000e-05  2.50034700e+00  3.80278761e+00  2.47291971e+00  2.47330691e+00 -3.33637620e-05 
 6.14000000e-05  2.50037629e+00  3.79995323e+00  2.47009101e+00  2.47047429e+00 -3.33842077e-05 
 6.64000000e-05  2.50040521e+00  3.79714925e+00  2.46729296e+00  2.46767193e+00 -3.34044376e-05 
 7.14000000e-05  2.50043372e+00  3.79437848e+00  2.46452837e+00  2.46490265e+00 -3.34244315e-05 
 7.64000000e-05  2.50046181e+00  3.79164368e+00  2.46179999e+00  2.46216921e+00 -3.34441692e-05 
 8.14000000e-05  2.50048944e+00  3.78894757e+00  2.45911053e+00  2.45947432e+00 -3.34636312e-05 
 8.64000000e-05  2.50051659e+00  3.78629285e+00  2.45646269e+00  2.45682069e+00 -3.34827980e-05 
 9.14000000e-05  2.50054323e+00  3.78368216e+00  2.45385909e+00  2.45421094e+00 -3.35016503e-05 
 9.64000000e-05  2.50056934e+00  3.78111810e+00  2.45130234e+00  2.45164769e+00 -3.35201694e-05 
 1.01400000e-04  2.50059488e+00  3.77860324e+00  2.44879498e+00  2.44913349e+00 -3.35383368e-05 
 1.06400000e-04  2.50061983e+00  3.77614007e+00  2.44633952e+00  2.44667085e+00 -3.35561341e-05 
 1.11400000e-04  2.50064418e+00  3.77373107e+00  2.44393841e+00  2.44426223e+00 -3.35735437e-05 
 1.16400000e-04  2.50066788e+00  3.77137863e+00  2.44159405e+00  2.44191003e+00 -3.35905480e-05 
 1.21400000e-04  2.50069093e+00  3.76908512e+00  2.43930878e+00  2.43961661e+00 -3.36071300e-05 
 1.26400000e-04  2.50071330e+00  3.76685281e+00  2.43708489e+00  2.43738426e+00 -3.36232731e-05 
 1.31400000e-04  2.50073496e+00  3.76468395e+00  2.43492460e+00  2.43521521e+00 -3.36389610e-05 
 1.36400000e-04  2.50075590e+00  3.76258070e+00  2.43283006e+00  2.43311162e+00 -3.36541780e-05 
 1.41400000e-04  2.50077609e+00  3.76054516e+00  2.43080338e+00  2.43107561e+00 -3.36689089e-05 
 1.46400000e-04  2.50079552e+00  3.75857938e+00  2.42884659e+00  2.42910922e+00 -3.36831388e-05 
 1.51400000e-04  2.50081416e+00  3.75668533e+00  2.42696164e+00  2.42721440e+00 -3.36968535e-05 
 1.56400000e-04  2.50083199e+00  3.75486489e+00  2.42515042e+00  2.42539306e+00 -3.37100390e-05 
 1.61400000e-04  2.50084901e+00  3.75311990e+00  2.42341474e+00  2.42364702e+00 -3.37226823e-05 
 1.66400000e-04  2.50086519e+00  3.75145209e+00  2.42175635e+00  2.42197803e+00 -3.37347705e-05 
 1.71400000e-04  2.50088051e+00  3.74986315e+00  2.42017690e+00  2.42038777e+00 -3.37462915e-05 
 1.76400000e-04  2.50089497e+00  3.74835467e+00  2.41867798e+00  2.41887782e+00 -3.37572336e-05 
 1.81400000e-04  2.50090854e+00  3.74692815e+00  2.41726109e+00  2.41744970e+00 -3.37675860e-05 
 1.86400000e-04  2.50092121e+00  3.74558502e+00  2.41592765e+00  2.41610484e+00 -3.37773381e-05 
 1.91400000e-04  2.50093298e+00  3.74432664e+00  2.41467900e+00  2.41484460e+00 -3.37864801e-05 
 1.96400000e-04  2.50094382e+00  3.74315427e+00  2.41351639e+00  2.41367023e+00 -3.37950029e-05 
 2.01400000e-04  2.50095374e+00  3.74206908e+00  2.41244099e+00  2.41258291e+00 -3.38028978e-05 
 2.06400000e-04  2.50096271e+00  3.74107216e+00  2.41145387e+00  2.41158373e+00 -3.38101569e-05 
 2.11400000e-04  2.50097073e+00  3.74016451e+00  2.41055603e+00  2.41067370e+00 -3.38167728e-05 
 2.16400000e-04  2.50097780e+00  3.73934704e+00  2.40974837e+00  2.40985373e+00 -3.38227389e-05 
 2.21400000e-04  2.50098390e+00  3.73862057e+00  2.40903169e+00  2.40912464e+00 -3.38280493e-05 
 2.26400000e-04  2.50098903e+00  3.73798583e+00  2.40840671e+00  2.40848716e+00 -3.38326984e-05 
 2.31400000e-04  2.50099318e+00  3.73744345e+00  2.40787407e+00  2.40794193e+00 -3.38366817e-05 
 2.36400000e-04  2.50099635e+00  3.73699399e+00  2.40743430e+00  2.40748950e+00 -3.38399952e-05 
