 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711235e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711238e-05 
 2.00000000e-07  2.50000126e+00  3.82990742e+00  2.50000000e+00  2.50000000e+00 -3.31711247e-05 
 4.00000000e-07  2.50000251e+00  3.82990740e+00  2.49999997e+00  2.50000000e+00 -3.31711280e-05 
 8.00000000e-07  2.50000503e+00  3.82990706e+00  2.49999963e+00  2.49999998e+00 -3.31711393e-05 
 1.60000000e-06  2.50001005e+00  3.82990302e+00  2.49999560e+00  2.49999954e+00 -3.31711782e-05 
 3.20000000e-06  2.50002010e+00  3.82986367e+00  2.49995630e+00  2.49999146e+00 -3.31713830e-05 
 6.40000000e-06  2.50004020e+00  3.82957637e+00  2.49966960e+00  2.49988714e+00 -3.31728620e-05 
 1.14000000e-05  2.50007157e+00  3.82850860e+00  2.49860527e+00  2.49929923e+00 -3.31790625e-05 
 1.64000000e-05  2.50010286e+00  3.82681269e+00  2.49691646e+00  2.49809286e+00 -3.31898428e-05 
 2.14000000e-05  2.50013406e+00  3.82469680e+00  2.49481095e+00  2.49634477e+00 -3.32040399e-05 
 2.64000000e-05  2.50016512e+00  3.82230722e+00  2.49243417e+00  2.49421004e+00 -3.32205463e-05 
 3.14000000e-05  2.50019601e+00  3.81973734e+00  2.48987882e+00  2.49181548e+00 -3.32385886e-05 
 3.64000000e-05  2.50022672e+00  3.81705084e+00  2.48720809e+00  2.48924959e+00 -3.32576342e-05 
 4.14000000e-05  2.50025720e+00  3.81429161e+00  2.48446553e+00  2.48657332e+00 -3.32773165e-05 
 4.64000000e-05  2.50028743e+00  3.81149029e+00  2.48168155e+00  2.48382883e+00 -3.32973807e-05 
 5.14000000e-05  2.50031737e+00  3.80866851e+00  2.47887761e+00  2.48104554e+00 -3.33176476e-05 
 5.64000000e-05  2.50034700e+00  3.80584185e+00  2.47606917e+00  2.47824429e+00 -3.33379897e-05 
 6.14000000e-05  2.50037629e+00  3.80302174e+00  2.47326758e+00  2.47544009e+00 -3.33583137e-05 
 6.64000000e-05  2.50040521e+00  3.80021682e+00  2.47048140e+00  2.47264398e+00 -3.33785503e-05 
 7.14000000e-05  2.50043372e+00  3.79743381e+00  2.46771733e+00  2.46986433e+00 -3.33986461e-05 
 7.64000000e-05  2.50046181e+00  3.79467817e+00  2.46498077e+00  2.46710768e+00 -3.34185584e-05 
 8.14000000e-05  2.50048944e+00  3.79195443e+00  2.46227622e+00  2.46437933e+00 -3.34382522e-05 
 8.64000000e-05  2.50051659e+00  3.78926654e+00  2.45960760e+00  2.46168374e+00 -3.34576975e-05 
 9.14000000e-05  2.50054323e+00  3.78661799e+00  2.45697837e+00  2.45902474e+00 -3.34768680e-05 
 9.64000000e-05  2.50056934e+00  3.78401198e+00  2.45439173e+00  2.45640579e+00 -3.34957397e-05 
 1.01400000e-04  2.50059488e+00  3.78145150e+00  2.45185061e+00  2.45383002e+00 -3.35142906e-05 
 1.06400000e-04  2.50061983e+00  3.77893934e+00  2.44935781e+00  2.45130037e+00 -3.35325001e-05 
 1.11400000e-04  2.50064418e+00  3.77647819e+00  2.44691599e+00  2.44881961e+00 -3.35503483e-05 
 1.16400000e-04  2.50066788e+00  3.77407063e+00  2.44452770e+00  2.44639037e+00 -3.35678165e-05 
 1.21400000e-04  2.50069093e+00  3.77171913e+00  2.44219540e+00  2.44401520e+00 -3.35848865e-05 
 1.26400000e-04  2.50071330e+00  3.76942610e+00  2.43992149e+00  2.44169654e+00 -3.36015407e-05 
 1.31400000e-04  2.50073496e+00  3.76719387e+00  2.43770825e+00  2.43943676e+00 -3.36177621e-05 
 1.36400000e-04  2.50075590e+00  3.76502469e+00  2.43555795e+00  2.43723816e+00 -3.36335342e-05 
 1.41400000e-04  2.50077609e+00  3.76292076e+00  2.43347273e+00  2.43510295e+00 -3.36488411e-05 
 1.46400000e-04  2.50079552e+00  3.76088418e+00  2.43145470e+00  2.43303329e+00 -3.36636672e-05 
 1.51400000e-04  2.50081416e+00  3.75891700e+00  2.42950589e+00  2.43103125e+00 -3.36779977e-05 
 1.56400000e-04  2.50083199e+00  3.75702120e+00  2.42762824e+00  2.42909886e+00 -3.36918181e-05 
 1.61400000e-04  2.50084901e+00  3.75519868e+00  2.42582366e+00  2.42723805e+00 -3.37051145e-05 
 1.66400000e-04  2.50086519e+00  3.75345126e+00  2.42409393e+00  2.42545068e+00 -3.37178734e-05 
 1.71400000e-04  2.50088051e+00  3.75178070e+00  2.42244080e+00  2.42373854e+00 -3.37300820e-05 
 1.76400000e-04  2.50089497e+00  3.75018867e+00  2.42086593e+00  2.42210337e+00 -3.37417281e-05 
 1.81400000e-04  2.50090854e+00  3.74867677e+00  2.41937089e+00  2.42054678e+00 -3.37528000e-05 
 1.86400000e-04  2.50092121e+00  3.74724652e+00  2.41795719e+00  2.41907035e+00 -3.37632864e-05 
 1.91400000e-04  2.50093298e+00  3.74589934e+00  2.41662623e+00  2.41767556e+00 -3.37731768e-05 
 1.96400000e-04  2.50094382e+00  3.74463660e+00  2.41537936e+00  2.41636379e+00 -3.37824612e-05 
 2.01400000e-04  2.50095374e+00  3.74345955e+00  2.41421783e+00  2.41513638e+00 -3.37911304e-05 
 2.06400000e-04  2.50096271e+00  3.74236937e+00  2.41314280e+00  2.41399455e+00 -3.37991755e-05 
 2.11400000e-04  2.50097073e+00  3.74136717e+00  2.41215534e+00  2.41293944e+00 -3.38065885e-05 
 2.16400000e-04  2.50097780e+00  3.74045394e+00  2.41125646e+00  2.41197211e+00 -3.38133619e-05 
 2.21400000e-04  2.50098390e+00  3.73963060e+00  2.41044704e+00  2.41109353e+00 -3.38194889e-05 
 2.26400000e-04  2.50098903e+00  3.73889798e+00  2.40972791e+00  2.41030459e+00 -3.38249634e-05 
 2.31400000e-04  2.50099318e+00  3.73825682e+00  2.40909978e+00  2.40960608e+00 -3.38297797e-05 
 2.36400000e-04  2.50099635e+00  3.73770774e+00  2.40856329e+00  2.40899869e+00 -3.38339331e-05 
