 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  8.51784214e-04  1.25371062e-05 
 1.02920053e+00  8.23550456e-04  1.20207304e-05 
 1.05925373e+00  7.95982060e-04  1.15265724e-05 
 1.09018449e+00  7.69092492e-04  1.10536758e-05 
 1.12201845e+00  7.42891991e-04  1.06011268e-05 
 1.15478198e+00  7.17387809e-04  1.01680514e-05 
 1.18850223e+00  6.92584439e-04  9.75361421e-06 
 1.22320712e+00  6.68483842e-04  9.35701618e-06 
 1.25892541e+00  6.45085673e-04  8.97749325e-06 
 1.29568670e+00  6.22387487e-04  8.61431459e-06 
 1.33352143e+00  6.00384945e-04  8.26678112e-06 
 1.37246096e+00  5.79072005e-04  7.93422406e-06 
 1.41253754e+00  5.58441110e-04  7.61600358e-06 
 1.45378439e+00  5.38483355e-04  7.31150743e-06 
 1.49623566e+00  5.19188651e-04  7.02014977e-06 
 1.53992653e+00  5.00545878e-04  6.74136990e-06 
 1.58489319e+00  4.82543025e-04  6.47463121e-06 
 1.63117291e+00  4.65167318e-04  6.21942003e-06 
 1.67880402e+00  4.48405344e-04  5.97524466e-06 
 1.72782598e+00  4.32243157e-04  5.74163433e-06 
 1.77827941e+00  4.16666387e-04  5.51813834e-06 
 1.83020611e+00  4.01660324e-04  5.30432510e-06 
 1.88364909e+00  3.87210006e-04  5.09978130e-06 
 1.93865264e+00  3.73300297e-04  4.90411112e-06 
 1.99526231e+00  3.59915950e-04  4.71693544e-06 
 2.05352503e+00  3.47041676e-04  4.53789109e-06 
 2.11348904e+00  3.34662192e-04  4.36663015e-06 
 2.17520403e+00  3.22762273e-04  4.20281930e-06 
 2.23872114e+00  3.11326796e-04  4.04613916e-06 
 2.30409298e+00  3.00340776e-04  3.89628367e-06 
 2.37137371e+00  2.89789402e-04  3.75295950e-06 
 2.44061907e+00  2.79658063e-04  3.61588553e-06 
 2.51188643e+00  2.69932375e-04  3.48479229e-06 
 2.58523484e+00  2.60598203e-04  3.35942143e-06 
 2.66072506e+00  2.51641674e-04  3.23952531e-06 
 2.73841963e+00  2.43049201e-04  3.12486645e-06 
 2.81838293e+00  2.34807485e-04  3.01521716e-06 
 2.90068120e+00  2.26903535e-04  2.91035907e-06 
 2.98538262e+00  2.19324668e-04  2.81008280e-06 
 3.07255737e+00  2.12058519e-04  2.71418750e-06 
 3.16227766e+00  2.05093045e-04  2.62248054e-06 
 3.25461783e+00  1.98416527e-04  2.53477716e-06 
 3.34965439e+00  1.92017570e-04  2.45090013e-06 
 3.44746607e+00  1.85885106e-04  2.37067947e-06 
 3.54813389e+00  1.80008395e-04  2.29395212e-06 
 3.65174127e+00  1.74377015e-04  2.22056166e-06 
 3.75837404e+00  1.68980871e-04  2.15035809e-06 
 3.86812055e+00  1.63810184e-04  2.08319753e-06 
 3.98107171e+00  1.58855489e-04  2.01894199e-06 
 4.09732110e+00  1.54107635e-04  1.95745916e-06 
 4.21696503e+00  1.49557775e-04  1.89862219e-06 
 4.34010264e+00  1.45197366e-04  1.84230944e-06 
 4.46683592e+00  1.41018160e-04  1.78840436e-06 
 4.59726989e+00  1.37012204e-04  1.73679524e-06 
 4.73151259e+00  1.33171828e-04  1.68737504e-06 
 4.86967525e+00  1.29489647e-04  1.64004127e-06 
 5.01187234e+00  1.25958547e-04  1.59469576e-06 
 5.15822165e+00  1.22571686e-04  1.55124455e-06 
 5.30884444e+00  1.19322486e-04  1.50959769e-06 
 5.46386550e+00  1.16204624e-04  1.46966918e-06 
 5.62341325e+00  1.13212031e-04  1.43137675e-06 
 5.78761988e+00  1.10338880e-04  1.39464177e-06 
 5.95662144e+00  1.07579588e-04  1.35938910e-06 
 6.13055792e+00  1.04928800e-04  1.32554698e-06 
 6.30957344e+00  1.02381389e-04  1.29304691e-06 
 6.49381632e+00  9.99324494e-05  1.26182351e-06 
 6.68343918e+00  9.75772881e-05  1.23181444e-06 
 6.87859912e+00  9.53114198e-05  1.20296026e-06 
 7.07945784e+00  9.31305603e-05  1.17520434e-06 
 7.28618175e+00  9.10306201e-05  1.14849274e-06 
 7.49894209e+00  8.90076980e-05  1.12277412e-06 
 7.71791516e+00  8.70580749e-05  1.09799963e-06 
 7.94328235e+00  8.51782073e-05  1.07412282e-06 
 8.17523038e+00  8.33647214e-05  1.05109953e-06 
 8.41395142e+00  8.16144065e-05  1.02888782e-06 
 8.65964323e+00  7.99242091e-05  1.00744786e-06 
 8.91250938e+00  7.82912265e-05  9.86741839e-07 
 9.17275935e+00  7.67127015e-05  9.66733885e-07 
 9.44060876e+00  7.51860156e-05  9.47389987e-07 
 9.71627952e+00  7.37086841e-05  9.28677902e-07 
 1.00000000e+01  7.22783496e-05  9.10567078e-07 
 1.02920053e+01  7.08927771e-05  8.93028579e-07 
 1.05925373e+01  6.95498481e-05  8.76035005e-07 
 1.09018449e+01  6.82475557e-05  8.59560424e-07 
 1.12201845e+01  6.69839991e-05  8.43580296e-07 
 1.15478198e+01  6.57573787e-05  8.28071410e-07 
 1.18850223e+01  6.45659913e-05  8.13011814e-07 
 1.22320712e+01  6.34082254e-05  7.98380755e-07 
 1.25892541e+01  6.22825566e-05  7.84158612e-07 
 1.29568670e+01  6.11875432e-05  7.70326847e-07 
 1.33352143e+01  6.01218219e-05  7.56867937e-07 
 1.37246096e+01  5.90841039e-05  7.43765329e-07 
 1.41253754e+01  5.80731710e-05  7.31003385e-07 
 1.45378439e+01  5.70878717e-05  7.18567330e-07 
 1.49623566e+01  5.61271174e-05  7.06443210e-07 
 1.53992653e+01  5.51898797e-05  6.94617841e-07 
 1.58489319e+01  5.42751864e-05  6.83078769e-07 
 1.63117291e+01  5.33821186e-05  6.71814231e-07 
 1.67880402e+01  5.25098077e-05  6.60813110e-07 
 1.72782598e+01  5.16574329e-05  6.50064905e-07 
 1.77827941e+01  5.08242178e-05  6.39559691e-07 
 1.83020611e+01  5.00094286e-05  6.29288085e-07 
 1.88364909e+01  4.92123710e-05  6.19241219e-07 
 1.93865264e+01  4.84323885e-05  6.09410706e-07 
 1.99526231e+01  4.76688595e-05  5.99788612e-07 
 2.05352503e+01  4.69211961e-05  5.90367434e-07 
