 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+01  7.22783496e-05  9.10567078e-07 
 1.02920053e+01  7.08927771e-05  8.93028579e-07 
 1.05925373e+01  6.95498481e-05  8.76035005e-07 
 1.09018449e+01  6.82475557e-05  8.59560424e-07 
 1.12201845e+01  6.69839991e-05  8.43580296e-07 
 1.15478198e+01  6.57573787e-05  8.28071410e-07 
 1.18850223e+01  6.45659913e-05  8.13011814e-07 
 1.22320712e+01  6.34082254e-05  7.98380755e-07 
 1.25892541e+01  6.22825566e-05  7.84158612e-07 
 1.29568670e+01  6.11875432e-05  7.70326847e-07 
 1.33352143e+01  6.01218219e-05  7.56867937e-07 
 1.37246096e+01  5.90841039e-05  7.43765329e-07 
 1.41253754e+01  5.80731710e-05  7.31003385e-07 
 1.45378439e+01  5.70878717e-05  7.18567330e-07 
 1.49623566e+01  5.61271174e-05  7.06443210e-07 
 1.53992653e+01  5.51898797e-05  6.94617841e-07 
 1.58489319e+01  5.42751864e-05  6.83078769e-07 
 1.63117291e+01  5.33821186e-05  6.71814231e-07 
 1.67880402e+01  5.25098077e-05  6.60813110e-07 
 1.72782598e+01  5.16574329e-05  6.50064905e-07 
 1.77827941e+01  5.08242178e-05  6.39559691e-07 
 1.83020611e+01  5.00094286e-05  6.29288085e-07 
 1.88364909e+01  4.92123710e-05  6.19241219e-07 
 1.93865264e+01  4.84323885e-05  6.09410706e-07 
 1.99526231e+01  4.76688595e-05  5.99788612e-07 
 2.05352503e+01  4.69211961e-05  5.90367434e-07 
 2.11348904e+01  4.61888414e-05  5.81140065e-07 
 2.17520403e+01  4.54712680e-05  5.72099781e-07 
 2.23872114e+01  4.47679761e-05  5.63240210e-07 
 2.30409298e+01  4.40784923e-05  5.54555315e-07 
 2.37137371e+01  4.34023672e-05  5.46039375e-07 
 2.44061907e+01  4.27391747e-05  5.37686961e-07 
 2.51188643e+01  4.20885104e-05  5.29492923e-07 
 2.58523484e+01  4.14499902e-05  5.21452371e-07 
 2.66072506e+01  4.08232489e-05  5.13560662e-07 
 2.73841963e+01  4.02079397e-05  5.05813380e-07 
 2.81838293e+01  3.96037324e-05  4.98206328e-07 
 2.90068120e+01  3.90103128e-05  4.90735510e-07 
 2.98538262e+01  3.84273816e-05  4.83397123e-07 
 3.07255737e+01  3.78546536e-05  4.76187543e-07 
 3.16227766e+01  3.72918567e-05  4.69103313e-07 
 3.25461783e+01  3.67387313e-05  4.62141137e-07 
 3.34965439e+01  3.61950295e-05  4.55297868e-07 
 3.44746607e+01  3.56605143e-05  4.48570497e-07 
 3.54813389e+01  3.51349592e-05  4.41956150e-07 
 3.65174127e+01  3.46181472e-05  4.35452075e-07 
 3.75837404e+01  3.41098706e-05  4.29055637e-07 
 3.86812055e+01  3.36099303e-05  4.22764313e-07 
 3.98107171e+01  3.31181353e-05  4.16575682e-07 
 4.09732110e+01  3.26343022e-05  4.10487420e-07 
 4.21696503e+01  3.21582550e-05  4.04497296e-07 
 4.34010264e+01  3.16898244e-05  3.98603165e-07 
 4.46683592e+01  3.12288473e-05  3.92802965e-07 
 4.59726989e+01  3.07751671e-05  3.87094710e-07 
 4.73151259e+01  3.03286324e-05  3.81476488e-07 
 4.86967525e+01  2.98890977e-05  3.75946453e-07 
 5.01187234e+01  2.94564222e-05  3.70502827e-07 
 5.15822165e+01  2.90304702e-05  3.65143892e-07 
 5.30884444e+01  2.86111104e-05  3.59867989e-07 
 5.46386550e+01  2.81982159e-05  3.54673513e-07 
 5.62341325e+01  2.77916638e-05  3.49558912e-07 
 5.78761988e+01  2.73913353e-05  3.44522682e-07 
 5.95662144e+01  2.69971150e-05  3.39563368e-07 
 6.13055792e+01  2.66088912e-05  3.34679556e-07 
 6.30957344e+01  2.62265555e-05  3.29869878e-07 
 6.49381632e+01  2.58500024e-05  3.25133004e-07 
 6.68343918e+01  2.54791298e-05  3.20467641e-07 
 6.87859912e+01  2.51138381e-05  3.15872536e-07 
 7.07945784e+01  2.47540307e-05  3.11346466e-07 
 7.28618175e+01  2.43996134e-05  3.06888243e-07 
 7.49894209e+01  2.40504945e-05  3.02496712e-07 
 7.71791516e+01  2.37065846e-05  2.98170745e-07 
 7.94328235e+01  2.33677968e-05  2.93909245e-07 
 8.17523038e+01  2.30340461e-05  2.89711139e-07 
 8.41395142e+01  2.27052497e-05  2.85575384e-07 
 8.65964323e+01  2.23813266e-05  2.81500960e-07 
 8.91250938e+01  2.20621980e-05  2.77486872e-07 
 9.17275935e+01  2.17477865e-05  2.73532146e-07 
 9.44060876e+01  2.14380169e-05  2.69635832e-07 
 9.71627952e+01  2.11328154e-05  2.65797000e-07 
 1.00000000e+02  2.08321097e-05  2.62014741e-07 
 1.02920053e+02  2.05358293e-05  2.58288167e-07 
 1.05925373e+02  2.02439051e-05  2.54616405e-07 
 1.09018449e+02  1.99562694e-05  2.50998605e-07 
 1.12201845e+02  1.96728559e-05  2.47433930e-07 
 1.15478198e+02  1.93935997e-05  2.43921563e-07 
 1.18850223e+02  1.91184370e-05  2.40460702e-07 
 1.22320712e+02  1.88473056e-05  2.37050561e-07 
 1.25892541e+02  1.85801441e-05  2.33690370e-07 
 1.29568670e+02  1.83168926e-05  2.30379372e-07 
 1.33352143e+02  1.80574921e-05  2.27116827e-07 
 1.37246096e+02  1.78018848e-05  2.23902007e-07 
 1.41253754e+02  1.75500140e-05  2.20734197e-07 
 1.45378439e+02  1.73018240e-05  2.17612697e-07 
 1.49623566e+02  1.70572600e-05  2.14536817e-07 
 1.53992653e+02  1.68162684e-05  2.11505882e-07 
 1.58489319e+02  1.65787963e-05  2.08519228e-07 
 1.63117291e+02  1.63447918e-05  2.05576202e-07 
 1.67880402e+02  1.61142041e-05  2.02676162e-07 
 1.72782598e+02  1.58869831e-05  1.99818480e-07 
 1.77827941e+02  1.56630794e-05  1.97002536e-07 
 1.83020611e+02  1.54424447e-05  1.94227720e-07 
 1.88364909e+02  1.52250314e-05  1.91493435e-07 
 1.93865264e+02  1.50107927e-05  1.88799091e-07 
 1.99526231e+02  1.47996826e-05  1.86144111e-07 
 2.05352503e+02  1.45916558e-05  1.83527924e-07 
 2.11348904e+02  1.43866678e-05  1.80949972e-07 
 2.17520403e+02  1.41846747e-05  1.78409702e-07 
 2.23872114e+02  1.39856335e-05  1.75906573e-07 
 2.30409298e+02  1.37895017e-05  1.73440053e-07 
 2.37137371e+02  1.35962376e-05  1.71009616e-07 
 2.44061907e+02  1.34058002e-05  1.68614747e-07 
 2.51188643e+02  1.32181489e-05  1.66254936e-07 
 2.58523484e+02  1.30332440e-05  1.63929685e-07 
 2.66072506e+02  1.28510463e-05  1.61638501e-07 
 2.73841963e+02  1.26715173e-05  1.59380900e-07 
 2.81838293e+02  1.24946190e-05  1.57156404e-07 
 2.90068120e+02  1.23203140e-05  1.54964544e-07 
 2.98538262e+02  1.21485656e-05  1.52804859e-07 
 3.07255737e+02  1.19793374e-05  1.50676892e-07 
 3.16227766e+02  1.18125938e-05  1.48580197e-07 
 3.25461783e+02  1.16482996e-05  1.46514332e-07 
 3.34965439e+02  1.14864203e-05  1.44478862e-07 
 3.44746607e+02  1.13269218e-05  1.42473360e-07 
 3.54813389e+02  1.11697704e-05  1.40497404e-07 
 3.65174127e+02  1.10149332e-05  1.38550580e-07 
 3.75837404e+02  1.08623775e-05  1.36632480e-07 
 3.86812055e+02  1.07120714e-05  1.34742700e-07 
 3.98107171e+02  1.05639831e-05  1.32880846e-07 
 4.09732110e+02  1.04180815e-05  1.31046525e-07 
 4.21696503e+02  1.02743361e-05  1.29239355e-07 
 4.34010264e+02  1.01327165e-05  1.27458957e-07 
 4.46683592e+02  9.99319299e-06  1.25704957e-07 
 4.59726989e+02  9.85573630e-06  1.23976988e-07 
 4.73151259e+02  9.72031748e-06  1.22274690e-07 
 4.86967525e+02  9.58690809e-06  1.20597704e-07 
 5.01187234e+02  9.45548005e-06  1.18945681e-07 
 5.15822165e+02  9.32600573e-06  1.17318274e-07 
 5.30884444e+02  9.19845788e-06  1.15715143e-07 
 5.46386550e+02  9.07280967e-06  1.14135952e-07 
 5.62341325e+02  8.94903462e-06  1.12580371e-07 
 5.78761988e+02  8.82710668e-06  1.11048073e-07 
 5.95662144e+02  8.70700013e-06  1.09538739e-07 
 6.13055792e+02  8.58868966e-06  1.08052052e-07 
 6.30957344e+02  8.47215029e-06  1.06587701e-07 
 6.49381632e+02  8.35735742e-06  1.05145378e-07 
 6.68343918e+02  8.24428678e-06  1.03724782e-07 
 6.87859912e+02  8.13291447e-06  1.02325616e-07 
