 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+01  3.33668536e-04  5.78314330e-06 
 1.02920053e+01  3.24853526e-04  5.54008925e-06 
 1.05925373e+01  3.16056559e-04  5.30755108e-06 
 1.09018449e+01  3.07297261e-04  5.08506567e-06 
 1.12201845e+01  2.98593910e-04  4.87219131e-06 
 1.15478198e+01  2.89963423e-04  4.66850668e-06 
 1.18850223e+01  2.81421355e-04  4.47360978e-06 
 1.22320712e+01  2.72981913e-04  4.28711697e-06 
 1.25892541e+01  2.64657971e-04  4.10866208e-06 
 1.29568670e+01  2.56461107e-04  3.93789549e-06 
 1.33352143e+01  2.48401639e-04  3.77448340e-06 
 1.37246096e+01  2.40488672e-04  3.61810701e-06 
 1.41253754e+01  2.32730146e-04  3.46846178e-06 
 1.45378439e+01  2.25132896e-04  3.32525680e-06 
 1.49623566e+01  2.17702703e-04  3.18821410e-06 
 1.53992653e+01  2.10444363e-04  3.05706805e-06 
 1.58489319e+01  2.03361740e-04  2.93156478e-06 
 1.63117291e+01  1.96457834e-04  2.81146162e-06 
 1.67880402e+01  1.89734839e-04  2.69652657e-06 
 1.72782598e+01  1.83194209e-04  2.58653784e-06 
 1.77827941e+01  1.76836713e-04  2.48128332e-06 
 1.83020611e+01  1.70662494e-04  2.38056020e-06 
 1.88364909e+01  1.64671128e-04  2.28417448e-06 
 1.93865264e+01  1.58861675e-04  2.19194062e-06 
 1.99526231e+01  1.53232732e-04  2.10368110e-06 
 2.05352503e+01  1.47782481e-04  2.01922611e-06 
 2.11348904e+01  1.42508737e-04  1.93841317e-06 
 2.17520403e+01  1.37408987e-04  1.86108681e-06 
 2.23872114e+01  1.32480435e-04  1.78709823e-06 
 2.30409298e+01  1.27720040e-04  1.71630503e-06 
 2.37137371e+01  1.23124545e-04  1.64857092e-06 
 2.44061907e+01  1.18690518e-04  1.58376542e-06 
 2.51188643e+01  1.14414374e-04  1.52176362e-06 
 2.58523484e+01  1.10292408e-04  1.46244595e-06 
 2.66072506e+01  1.06320819e-04  1.40569789e-06 
 2.73841963e+01  1.02495728e-04  1.35140980e-06 
 2.81838293e+01  9.88132052e-05  1.29947667e-06 
 2.90068120e+01  9.52692858e-05  1.24979792e-06 
 2.98538262e+01  9.18599855e-05  1.20227721e-06 
 3.07255737e+01  8.85813176e-05  1.15682227e-06 
 3.16227766e+01  8.54293052e-05  1.11334466e-06 
 3.25461783e+01  8.23999934e-05  1.07175969e-06 
 3.34965439e+01  7.94894598e-05  1.03198617e-06 
 3.44746607e+01  7.66938237e-05  9.93946307e-07 
 3.54813389e+01  7.40092539e-05  9.57565547e-07 
 3.65174127e+01  7.14319757e-05  9.22772422e-07 
 3.75837404e+01  6.89582769e-05  8.89498425e-07 
 3.86812055e+01  6.65845128e-05  8.57677879e-07 
 3.98107171e+01  6.43071103e-05  8.27247815e-07 
 4.09732110e+01  6.21225718e-05  7.98147854e-07 
 4.21696503e+01  6.00274773e-05  7.70320096e-07 
 4.34010264e+01  5.80184876e-05  7.43709015e-07 
 4.46683592e+01  5.60923453e-05  7.18261360e-07 
 4.59726989e+01  5.42458765e-05  6.93926054e-07 
 4.73151259e+01  5.24759914e-05  6.70654107e-07 
 4.86967525e+01  5.07796851e-05  6.48398529e-07 
 5.01187234e+01  4.91540376e-05  6.27114246e-07 
 5.15822165e+01  4.75962137e-05  6.06758020e-07 
 5.30884444e+01  4.61034629e-05  5.87288379e-07 
 5.46386550e+01  4.46731185e-05  5.68665544e-07 
 5.62341325e+01  4.33025975e-05  5.50851361e-07 
 5.78761988e+01  4.19893991e-05  5.33809238e-07 
 5.95662144e+01  4.07311042e-05  5.17504083e-07 
 6.13055792e+01  3.95253740e-05  5.01902250e-07 
