 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+01  3.98999455e-04  5.90310401e-06 
 1.02920053e+01  3.88769656e-04  5.65467795e-06 
 1.05925373e+01  3.78530717e-04  5.41697774e-06 
 1.09018449e+01  3.68307407e-04  5.18953244e-06 
 1.12201845e+01  3.58122952e-04  4.97189278e-06 
 1.15478198e+01  3.47998999e-04  4.76363010e-06 
 1.18850223e+01  3.37955601e-04  4.56433526e-06 
 1.22320712e+01  3.28011211e-04  4.37361772e-06 
 1.25892541e+01  3.18182696e-04  4.19110462e-06 
 1.29568670e+01  3.08485361e-04  4.01643990e-06 
 1.33352143e+01  2.98932986e-04  3.84928350e-06 
 1.37246096e+01  2.89537869e-04  3.68931057e-06 
 1.41253754e+01  2.80310879e-04  3.53621079e-06 
 1.45378439e+01  2.71261517e-04  3.38968762e-06 
 1.49623566e+01  2.62397976e-04  3.24945768e-06 
 1.53992653e+01  2.53727214e-04  3.11525013e-06 
 1.58489319e+01  2.45255022e-04  2.98680607e-06 
 1.63117291e+01  2.36986095e-04  2.86387802e-06 
 1.67880402e+01  2.28924106e-04  2.74622933e-06 
 1.72782598e+01  2.21071780e-04  2.63363374e-06 
 1.77827941e+01  2.13430961e-04  2.52587486e-06 
 1.83020611e+01  2.06002688e-04  2.42274574e-06 
 1.88364909e+01  1.98787259e-04  2.32404845e-06 
 1.93865264e+01  1.91784300e-04  2.22959363e-06 
 1.99526231e+01  1.84992828e-04  2.13920013e-06 
 2.05352503e+01  1.78411307e-04  2.05269466e-06 
 2.11348904e+01  1.72037713e-04  1.96991138e-06 
 2.17520403e+01  1.65869583e-04  1.89069162e-06 
 2.23872114e+01  1.59904068e-04  1.81488351e-06 
 2.30409298e+01  1.54137979e-04  1.74234172e-06 
 2.37137371e+01  1.48567835e-04  1.67292714e-06 
 2.44061907e+01  1.43189901e-04  1.60650662e-06 
 2.51188643e+01  1.38000228e-04  1.54295268e-06 
 2.58523484e+01  1.32994688e-04  1.48214330e-06 
 2.66072506e+01  1.28169006e-04  1.42396161e-06 
 2.73841963e+01  1.23518791e-04  1.36829575e-06 
 2.81838293e+01  1.19039559e-04  1.31503857e-06 
 2.90068120e+01  1.14726763e-04  1.26408748e-06 
 2.98538262e+01  1.10575812e-04  1.21534420e-06 
 3.07255737e+01  1.06582088e-04  1.16871460e-06 
 3.16227766e+01  1.02740971e-04  1.12410851e-06 
 3.25461783e+01  9.90478479e-05  1.08143956e-06 
 3.34965439e+01  9.54981302e-05  1.04062498e-06 
 3.44746607e+01  9.20872657e-05  1.00158548e-06 
 3.54813389e+01  8.88107487e-05  9.64245050e-07 
 3.65174127e+01  8.56641304e-05  9.28530875e-07 
 3.75837404e+01  8.26430265e-05  8.94373153e-07 
 3.86812055e+01  7.97431245e-05  8.61704977e-07 
 3.98107171e+01  7.69601894e-05  8.30462209e-07 
 4.09732110e+01  7.42900690e-05  8.00583361e-07 
 4.21696503e+01  7.17286981e-05  7.72009478e-07 
 4.34010264e+01  6.92721015e-05  7.44684030e-07 
 4.46683592e+01  6.69163969e-05  7.18552808e-07 
 4.59726989e+01  6.46577971e-05  6.93563825e-07 
 4.73151259e+01  6.24926114e-05  6.69667222e-07 
 4.86967525e+01  6.04172464e-05  6.46815177e-07 
 5.01187234e+01  5.84282067e-05  6.24961818e-07 
 5.15822165e+01  5.65220956e-05  6.04063146e-07 
 5.30884444e+01  5.46956142e-05  5.84076955e-07 
 5.46386550e+01  5.29455615e-05  5.64962756e-07 
 5.62341325e+01  5.12688336e-05  5.46681712e-07 
 5.78761988e+01  4.96624229e-05  5.29196567e-07 
 5.95662144e+01  4.81234172e-05  5.12471586e-07 
 6.13055792e+01  4.66489980e-05  4.96472494e-07 
 6.30957344e+01  4.52364401e-05  4.81166418e-07 
 6.49381632e+01  4.38831091e-05  4.66521831e-07 
 6.68343918e+01  4.25864609e-05  4.52508508e-07 
 6.87859912e+01  4.13440395e-05  4.39097467e-07 
 7.07945784e+01  4.01534755e-05  4.26260929e-07 
 7.28618175e+01  3.90124845e-05  4.13972273e-07 
 7.49894209e+01  3.79188656e-05  4.02205988e-07 
 7.71791516e+01  3.68704992e-05  3.90937642e-07 
 7.94328235e+01  3.58653453e-05  3.80143835e-07 
 8.17523038e+01  3.49014422e-05  3.69802164e-07 
 8.41395142e+01  3.39769041e-05  3.59891191e-07 
 8.65964323e+01  3.30899196e-05  3.50390404e-07 
 8.91250938e+01  3.22387499e-05  3.41280187e-07 
 9.17275935e+01  3.14217266e-05  3.32541789e-07 
 9.44060876e+01  3.06372504e-05  3.24157292e-07 
 9.71627952e+01  2.98837887e-05  3.16109578e-07 
 1.00000000e+02  2.91598743e-05  3.08382308e-07 
 1.02920053e+02  2.84641029e-05  3.00959888e-07 
 1.05925373e+02  2.77951319e-05  2.93827444e-07 
 1.09018449e+02  2.71516781e-05  2.86970797e-07 
 1.12201845e+02  2.65325160e-05  2.80376432e-07 
 1.15478198e+02  2.59364759e-05  2.74031481e-07 
 1.18850223e+02  2.53624423e-05  2.67923692e-07 
 1.22320712e+02  2.48093516e-05  2.62041408e-07 
 1.25892541e+02  2.42761908e-05  2.56373542e-07 
 1.29568670e+02  2.37619953e-05  2.50909558e-07 
 1.33352143e+02  2.32658472e-05  2.45639444e-07 
 1.37246096e+02  2.27868738e-05  2.40553691e-07 
 1.41253754e+02  2.23242454e-05  2.35643277e-07 
 1.45378439e+02  2.18771742e-05  2.30899639e-07 
 1.49623566e+02  2.14449118e-05  2.26314659e-07 
 1.53992653e+02  2.10267482e-05  2.21880640e-07 
 1.58489319e+02  2.06220100e-05  2.17590289e-07 
 1.63117291e+02  2.02300586e-05  2.13436700e-07 
 1.67880402e+02  1.98502889e-05  2.09413331e-07 
 1.72782598e+02  1.94821276e-05  2.05513993e-07 
 1.77827941e+02  1.91250318e-05  2.01732829e-07 
 1.83020611e+02  1.87784877e-05  1.98064298e-07 
 1.88364909e+02  1.84420089e-05  1.94503162e-07 
 1.93865264e+02  1.81151353e-05  1.91044466e-07 
 1.99526231e+02  1.77974317e-05  1.87683530e-07 
 2.05352503e+02  1.74884865e-05  1.84415929e-07 
 2.11348904e+02  1.71879107e-05  1.81237483e-07 
 2.17520403e+02  1.68953365e-05  1.78144241e-07 
 2.23872114e+02  1.66104163e-05  1.75132473e-07 
 2.30409298e+02  1.63328215e-05  1.72198654e-07 
 2.37137371e+02  1.60622417e-05  1.69339457e-07 
 2.44061907e+02  1.57983835e-05  1.66551737e-07 
 2.51188643e+02  1.55409696e-05  1.63832525e-07 
 2.58523484e+02  1.52897381e-05  1.61179015e-07 
 2.66072506e+02  1.50444414e-05  1.58588559e-07 
 2.73841963e+02  1.48048455e-05  1.56058652e-07 
 2.81838293e+02  1.45707292e-05  1.53586930e-07 
 2.90068120e+02  1.43418834e-05  1.51171158e-07 
 2.98538262e+02  1.41181104e-05  1.48809224e-07 
 3.07255737e+02  1.38992231e-05  1.46499128e-07 
 3.16227766e+02  1.36850447e-05  1.44238984e-07 
 3.25461783e+02  1.34754077e-05  1.42027004e-07 
 3.34965439e+02  1.32701536e-05  1.39861497e-07 
 3.44746607e+02  1.30691325e-05  1.37740864e-07 
 3.54813389e+02  1.28722021e-05  1.35663589e-07 
 3.65174127e+02  1.26792277e-05  1.33628236e-07 
 3.75837404e+02  1.24900817e-05  1.31633445e-07 
 3.86812055e+02  1.23046429e-05  1.29677926e-07 
 3.98107171e+02  1.21227964e-05  1.27760457e-07 
 4.09732110e+02  1.19444330e-05  1.25879875e-07 
 4.21696503e+02  1.17694491e-05  1.24035078e-07 
 4.34010264e+02  1.15977463e-05  1.22225018e-07 
 4.46683592e+02  1.14292306e-05  1.20448699e-07 
 4.59726989e+02  1.12638131e-05  1.18705175e-07 
 4.73151259e+02  1.11014087e-05  1.16993543e-07 
 4.86967525e+02  1.09419367e-05  1.15312946e-07 
 5.01187234e+02  1.07853198e-05  1.13662563e-07 
 5.15822165e+02  1.06314844e-05  1.12041615e-07 
 5.30884444e+02  1.04803604e-05  1.10449357e-07 
 5.46386550e+02  1.03318805e-05  1.08885078e-07 
 5.62341325e+02  1.01859806e-05  1.07348098e-07 
 5.78761988e+02  1.00425993e-05  1.05837766e-07 
 5.95662144e+02  9.90167766e-06  1.04353461e-07 
 6.13055792e+02  9.76315940e-06  1.02894587e-07 
 6.30957344e+02  9.62699046e-06  1.01460572e-07 
 6.49381632e+02  9.49311893e-06  1.00050868e-07 
 6.68343918e+02  9.36149498e-06  9.86649494e-08 
 6.87859912e+02  9.23207069e-06  9.73023112e-08 
 7.07945784e+02  9.10479998e-06  9.59624673e-08 
 7.28618175e+02  8.97963845e-06  9.46449505e-08 
 7.49894209e+02  8.85654335e-06  9.33493106e-08 
 7.71791516e+02  8.73547342e-06  9.20751141e-08 
 7.94328235e+02  8.61638887e-06  9.08219428e-08 
 8.17523038e+02  8.49925125e-06  8.95893933e-08 
 8.41395142e+02  8.38402338e-06  8.83770758e-08 
 8.65964323e+02  8.27066933e-06  8.71846138e-08 
 8.91250938e+02  8.15915428e-06  8.60116431e-08 
 9.17275935e+02  8.04944451e-06  8.48578112e-08 
 9.44060876e+02  7.94150732e-06  8.37227769e-08 
 9.71627952e+02  7.83531098e-06  8.26062093e-08 
 1.00000000e+03  7.73082468e-06  8.15077877e-08 
 1.02920053e+03  7.62801848e-06  8.04272007e-08 
 1.05925373e+03  7.52686326e-06  7.93641461e-08 
 1.09018449e+03  7.42733069e-06  7.83183302e-08 
 1.12201845e+03  7.32939318e-06  7.72894674e-08 
 1.15478198e+03  7.23302382e-06  7.62772801e-08 
 1.18850223e+03  7.13819640e-06  7.52814979e-08 
 1.22320712e+03  7.04488532e-06  7.43018574e-08 
 1.25892541e+03  6.95306559e-06  7.33381020e-08 
 1.29568670e+03  6.86271279e-06  7.23899816e-08 
 1.33352143e+03  6.77380304e-06  7.14572521e-08 
 1.37246096e+03  6.68631296e-06  7.05396754e-08 
 1.41253754e+03  6.60021968e-06  6.96370188e-08 
 1.45378439e+03  6.51550078e-06  6.87490552e-08 
 1.49623566e+03  6.43213430e-06  6.78755625e-08 
 1.53992653e+03  6.35009866e-06  6.70163234e-08 
 1.58489319e+03  6.26937272e-06  6.61711256e-08 
 1.63117291e+03  6.18993568e-06  6.53397612e-08 
 1.67880402e+03  6.11176713e-06  6.45220265e-08 
 1.72782598e+03  6.03484696e-06  6.37177223e-08 
 1.77827941e+03  5.95915542e-06  6.29266531e-08 
 1.83020611e+03  5.88467303e-06  6.21486274e-08 
 1.88364909e+03  5.81138061e-06  6.13834574e-08 
 1.93865264e+03  5.73925925e-06  6.06309590e-08 
 1.99526231e+03  5.66829030e-06  5.98909513e-08 
 2.05352503e+03  5.59845533e-06  5.91632570e-08 
 2.11348904e+03  5.52973614e-06  5.84477019e-08 
 2.17520403e+03  5.46211477e-06  5.77441147e-08 
 2.23872114e+03  5.39557340e-06  5.70523274e-08 
 2.30409298e+03  5.33009444e-06  5.63721748e-08 
 2.37137371e+03  5.26566043e-06  5.57034943e-08 
 2.44061907e+03  5.20225410e-06  5.50461263e-08 
 2.51188643e+03  5.13985829e-06  5.43999137e-08 
