 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00 -3.31711235e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00 -3.31711238e-05 
 2.00000000e-07  2.50000126e+00  3.82990743e+00  2.50000000e+00 -3.31711246e-05 
 4.00000000e-07  2.50000251e+00  3.82990740e+00  2.49999997e+00 -3.31711279e-05 
 8.00000000e-07  2.50000503e+00  3.82990712e+00  2.49999969e+00 -3.31711388e-05 
 1.60000000e-06  2.50001005e+00  3.82990342e+00  2.49999599e+00 -3.31711748e-05 
 3.20000000e-06  2.50002010e+00  3.82986253e+00  2.49995511e+00 -3.31713926e-05 
 6.40000000e-06  2.50004020e+00  3.82951859e+00  2.49961123e+00 -3.31733495e-05 
 1.14000000e-05  2.50007157e+00  3.82811931e+00  2.49821217e+00 -3.31823467e-05 
 1.64000000e-05  2.50010286e+00  3.82585122e+00  2.49594444e+00 -3.31979543e-05 
 2.14000000e-05  2.50013406e+00  3.82312752e+00  2.49322123e+00 -3.32172793e-05 
 2.64000000e-05  2.50016512e+00  3.82023942e+00  2.49033368e+00 -3.32379918e-05 
 3.14000000e-05  2.50019601e+00  3.81730672e+00  2.48740157e+00 -3.32590959e-05 
 3.64000000e-05  2.50022672e+00  3.81437034e+00  2.48446583e+00 -3.32802507e-05 
 4.14000000e-05  2.50025720e+00  3.81144495e+00  2.48154112e+00 -3.33013362e-05 
 4.64000000e-05  2.50028743e+00  3.80853700e+00  2.47863389e+00 -3.33223013e-05 
 5.14000000e-05  2.50031737e+00  3.80565048e+00  2.47574813e+00 -3.33431161e-05 
 5.64000000e-05  2.50034700e+00  3.80278859e+00  2.47288704e+00 -3.33637571e-05 
 6.14000000e-05  2.50037629e+00  3.79995426e+00  2.47005354e+00 -3.33842028e-05 
 6.64000000e-05  2.50040521e+00  3.79715035e+00  2.46725051e+00 -3.34044327e-05 
 7.14000000e-05  2.50043372e+00  3.79437966e+00  2.46448072e+00 -3.34244264e-05 
 7.64000000e-05  2.50046181e+00  3.79164494e+00  2.46174695e+00 -3.34441640e-05 
 8.14000000e-05  2.50048944e+00  3.78894893e+00  2.45905191e+00 -3.34636258e-05 
 8.64000000e-05  2.50051659e+00  3.78629430e+00  2.45639830e+00 -3.34827924e-05 
 9.14000000e-05  2.50054323e+00  3.78368370e+00  2.45378875e+00 -3.35016445e-05 
 9.64000000e-05  2.50056934e+00  3.78111975e+00  2.45122587e+00 -3.35201634e-05 
 1.01400000e-04  2.50059488e+00  3.77860499e+00  2.44871221e+00 -3.35383305e-05 
 1.06400000e-04  2.50061983e+00  3.77614193e+00  2.44625029e+00 -3.35561275e-05 
 1.11400000e-04  2.50064418e+00  3.77373304e+00  2.44384257e+00 -3.35735368e-05 
 1.16400000e-04  2.50066788e+00  3.77138073e+00  2.44149144e+00 -3.35905408e-05 
 1.21400000e-04  2.50069093e+00  3.76908733e+00  2.43919926e+00 -3.36071225e-05 
 1.26400000e-04  2.50071330e+00  3.76685515e+00  2.43696831e+00 -3.36232652e-05 
 1.31400000e-04  2.50073496e+00  3.76468642e+00  2.43480084e+00 -3.36389528e-05 
 1.36400000e-04  2.50075590e+00  3.76258330e+00  2.43269901e+00 -3.36541695e-05 
 1.41400000e-04  2.50077609e+00  3.76054790e+00  2.43066491e+00 -3.36689000e-05 
 1.46400000e-04  2.50079552e+00  3.75858226e+00  2.42870060e+00 -3.36831295e-05 
 1.51400000e-04  2.50081416e+00  3.75668835e+00  2.42680802e+00 -3.36968437e-05 
 1.56400000e-04  2.50083199e+00  3.75486805e+00  2.42498909e+00 -3.37100288e-05 
 1.61400000e-04  2.50084901e+00  3.75312321e+00  2.42324561e+00 -3.37226716e-05 
 1.66400000e-04  2.50086519e+00  3.75145555e+00  2.42157934e+00 -3.37347594e-05 
 1.71400000e-04  2.50088051e+00  3.74986676e+00  2.41999195e+00 -3.37462799e-05 
 1.76400000e-04  2.50089497e+00  3.74835843e+00  2.41848503e+00 -3.37572216e-05 
 1.81400000e-04  2.50090854e+00  3.74693207e+00  2.41706008e+00 -3.37675734e-05 
 1.86400000e-04  2.50092121e+00  3.74558910e+00  2.41571855e+00 -3.37773250e-05 
 1.91400000e-04  2.50093298e+00  3.74433088e+00  2.41446176e+00 -3.37864665e-05 
 1.96400000e-04  2.50094382e+00  3.74315867e+00  2.41329099e+00 -3.37949888e-05 
 2.01400000e-04  2.50095374e+00  3.74207364e+00  2.41220740e+00 -3.38028831e-05 
 2.06400000e-04  2.50096271e+00  3.74107689e+00  2.41121209e+00 -3.38101416e-05 
 2.11400000e-04  2.50097073e+00  3.74016940e+00  2.41030605e+00 -3.38167570e-05 
 2.16400000e-04  2.50097780e+00  3.73935210e+00  2.40949019e+00 -3.38227226e-05 
 2.21400000e-04  2.50098390e+00  3.73862579e+00  2.40876533e+00 -3.38280323e-05 
 2.26400000e-04  2.50098903e+00  3.73799122e+00  2.40813220e+00 -3.38326809e-05 
 2.31400000e-04  2.50099318e+00  3.73744902e+00  2.40759143e+00 -3.38366636e-05 
 2.36400000e-04  2.50099635e+00  3.73699972e+00  2.40714356e+00 -3.38399765e-05 
 2.41400000e-04  2.50099854e+00  3.73664379e+00  2.40678905e+00 -3.38426161e-05 
 2.46400000e-04  2.50099974e+00  3.73638158e+00  2.40652825e+00 -3.38445799e-05 
 2.51400000e-04  2.50099996e+00  3.73621334e+00  2.40636141e+00 -3.38458658e-05 
 2.56400000e-04  2.50099919e+00  3.73613926e+00  2.40628872e+00 -3.38464726e-05 
 2.61400000e-04  2.50099744e+00  3.73615940e+00  2.40631023e+00 -3.38463997e-05 
 2.66400000e-04  2.50099470e+00  3.73627374e+00  2.40642593e+00 -3.38456472e-05 
 2.71400000e-04  2.50099097e+00  3.73648216e+00  2.40663570e+00 -3.38442157e-05 
 2.76400000e-04  2.50098627e+00  3.73678446e+00  2.40693933e+00 -3.38421069e-05 
 2.81400000e-04  2.50098060e+00  3.73718034e+00  2.40733651e+00 -3.38393227e-05 
 2.86400000e-04  2.50097396e+00  3.73766939e+00  2.40782685e+00 -3.38358661e-05 
 2.91400000e-04  2.50096636e+00  3.73825112e+00  2.40840984e+00 -3.38317405e-05 
 2.96400000e-04  2.50095780e+00  3.73892494e+00  2.40908491e+00 -3.38269501e-05 
 3.01400000e-04  2.50094830e+00  3.73969019e+00  2.40985138e+00 -3.38214998e-05 
 3.06400000e-04  2.50093786e+00  3.74054609e+00  2.41070847e+00 -3.38153950e-05 
 3.11400000e-04  2.50092650e+00  3.74149178e+00  2.41165532e+00 -3.38086419e-05 
 3.16400000e-04  2.50091423e+00  3.74252631e+00  2.41269099e+00 -3.38012473e-05 
 3.21400000e-04  2.50090105e+00  3.74364864e+00  2.41381443e+00 -3.37932188e-05 
 3.26400000e-04  2.50088698e+00  3.74485764e+00  2.41502452e+00 -3.37845643e-05 
 3.31400000e-04  2.50087204e+00  3.74615211e+00  2.41632003e+00 -3.37752927e-05 
 3.36400000e-04  2.50085623e+00  3.74753073e+00  2.41769968e+00 -3.37654133e-05 
 3.41400000e-04  2.50083958e+00  3.74899214e+00  2.41916207e+00 -3.37549360e-05 
 3.46400000e-04  2.50082210e+00  3.75053485e+00  2.42070573e+00 -3.37438714e-05 
 3.51400000e-04  2.50080382e+00  3.75215733e+00  2.42232913e+00 -3.37322308e-05 
 3.56400000e-04  2.50078473e+00  3.75385795e+00  2.42403063e+00 -3.37200257e-05 
 3.61400000e-04  2.50076488e+00  3.75563500e+00  2.42580852e+00 -3.37072685e-05 
 3.66400000e-04  2.50074426e+00  3.75748670e+00  2.42766102e+00 -3.36939720e-05 
 3.71400000e-04  2.50072292e+00  3.75941120e+00  2.42958629e+00 -3.36801496e-05 
 3.76400000e-04  2.50070086e+00  3.76140656e+00  2.43158238e+00 -3.36658153e-05 
 3.81400000e-04  2.50067811e+00  3.76347079e+00  2.43364730e+00 -3.36509834e-05 
 3.86400000e-04  2.50065469e+00  3.76560183e+00  2.43577898e+00 -3.36356688e-05 
 3.91400000e-04  2.50063062e+00  3.76779753e+00  2.43797529e+00 -3.36198870e-05 
 3.96400000e-04  2.50060593e+00  3.77005571e+00  2.44023403e+00 -3.36036537e-05 
 4.01400000e-04  2.50058065e+00  3.77237410e+00  2.44255294e+00 -3.35869854e-05 
 4.06400000e-04  2.50055479e+00  3.77475039e+00  2.44492970e+00 -3.35698986e-05 
 4.11400000e-04  2.50052838e+00  3.77718220e+00  2.44736195e+00 -3.35524106e-05 
 4.16400000e-04  2.50050145e+00  3.77966710e+00  2.44984724e+00 -3.35345388e-05 
 4.21400000e-04  2.50047403e+00  3.78220261e+00  2.45238309e+00 -3.35163012e-05 
 4.26400000e-04  2.50044614e+00  3.78478620e+00  2.45496698e+00 -3.34977161e-05 
 4.31400000e-04  2.50041780e+00  3.78741529e+00  2.45759633e+00 -3.34788019e-05 
 4.36400000e-04  2.50038906e+00  3.79008726e+00  2.46026851e+00 -3.34595778e-05 
 4.41400000e-04  2.50035993e+00  3.79279944e+00  2.46298086e+00 -3.34400627e-05 
 4.46400000e-04  2.50033045e+00  3.79554914e+00  2.46573068e+00 -3.34202764e-05 
 4.51400000e-04  2.50030064e+00  3.79833362e+00  2.46851523e+00 -3.34002384e-05 
 4.56400000e-04  2.50027053e+00  3.80115010e+00  2.47133174e+00 -3.33799689e-05 
 4.61400000e-04  2.50024016e+00  3.80399578e+00  2.47417740e+00 -3.33594880e-05 
 4.66400000e-04  2.50020955e+00  3.80686783e+00  2.47704939e+00 -3.33388160e-05 
 4.71400000e-04  2.50017873e+00  3.80976340e+00  2.47994485e+00 -3.33179737e-05 
 4.76400000e-04  2.50014774e+00  3.81267961e+00  2.48286090e+00 -3.32969817e-05 
 4.81400000e-04  2.50011660e+00  3.81561357e+00  2.48579466e+00 -3.32758608e-05 
 4.86400000e-04  2.50008535e+00  3.81856236e+00  2.48874321e+00 -3.32546321e-05 
 4.91400000e-04  2.50005401e+00  3.82152307e+00  2.49170363e+00 -3.32333167e-05 
 4.96400000e-04  2.50002262e+00  3.82449276e+00  2.49467298e+00 -3.32119356e-05 
 5.01400000e-04  2.49999120e+00  3.82746849e+00  2.49764833e+00 -3.31905101e-05 
 5.06400000e-04  2.49995980e+00  3.83044731e+00  2.50062672e+00 -3.31690614e-05 
 5.11400000e-04  2.49992843e+00  3.83342628e+00  2.50360523e+00 -3.31476107e-05 
 5.16400000e-04  2.49989714e+00  3.83640246e+00  2.50658089e+00 -3.31261791e-05 
 5.21400000e-04  2.49986594e+00  3.83937290e+00  2.50955078e+00 -3.31047879e-05 
 5.26400000e-04  2.49983488e+00  3.84233468e+00  2.51251196e+00 -3.30834582e-05 
 5.31400000e-04  2.49980399e+00  3.84528487e+00  2.51546151e+00 -3.30622109e-05 
 5.36400000e-04  2.49977328e+00  3.84822057e+00  2.51839653e+00 -3.30410671e-05 
 5.41400000e-04  2.49974280e+00  3.85113888e+00  2.52131412e+00 -3.30200475e-05 
 5.46400000e-04  2.49971257e+00  3.85403694e+00  2.52421142e+00 -3.29991727e-05 
 5.51400000e-04  2.49968263e+00  3.85691190e+00  2.52708557e+00 -3.29784634e-05 
 5.56400000e-04  2.49965300e+00  3.85976092e+00  2.52993376e+00 -3.29579397e-05 
 5.61400000e-04  2.49962371e+00  3.86258122e+00  2.53275318e+00 -3.29376218e-05 
 5.66400000e-04  2.49959479e+00  3.86537002e+00  2.53554107e+00 -3.29175297e-05 
 5.71400000e-04  2.49956628e+00  3.86812460e+00  2.53829470e+00 -3.28976829e-05 
 5.76400000e-04  2.49953819e+00  3.87084225e+00  2.54101137e+00 -3.28781009e-05 
 5.81400000e-04  2.49951056e+00  3.87352031e+00  2.54368842e+00 -3.28588028e-05 
 5.86400000e-04  2.49948341e+00  3.87615618e+00  2.54632323e+00 -3.28398074e-05 
 5.91400000e-04  2.49945677e+00  3.87874726e+00  2.54891323e+00 -3.28211332e-05 
 5.96400000e-04  2.49943066e+00  3.88129102e+00  2.55145589e+00 -3.28027984e-05 
 6.01400000e-04  2.49940512e+00  3.88378500e+00  2.55394872e+00 -3.27848209e-05 
 6.06400000e-04  2.49938017e+00  3.88622675e+00  2.55638930e+00 -3.27672181e-05 
 6.11400000e-04  2.49935582e+00  3.88861390e+00  2.55877525e+00 -3.27500071e-05 
 6.16400000e-04  2.49933212e+00  3.89094412e+00  2.56110425e+00 -3.27332046e-05 
 6.21400000e-04  2.49930907e+00  3.89321514e+00  2.56337402e+00 -3.27168269e-05 
 6.26400000e-04  2.49928670e+00  3.89542477e+00  2.56558237e+00 -3.27008898e-05 
 6.31400000e-04  2.49926504e+00  3.89757084e+00  2.56772715e+00 -3.26854087e-05 
