 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  4.59418658e+00  4.59418658e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -2.06581662e-05 
 5.00000000e-08  2.50000031e+00  4.59418652e+00  4.59418659e+00  2.50000001e+00  2.50000000e+00  2.50000000e+00 -2.06581666e-05 
 1.00000000e-07  2.50000063e+00  4.59418641e+00  4.59418662e+00  2.50000004e+00  2.50000000e+00  2.50000000e+00 -2.06581674e-05 
 2.00000000e-07  2.50000126e+00  4.59418609e+00  4.59418673e+00  2.50000015e+00  2.50000000e+00  2.50000000e+00 -2.06581694e-05 
 4.00000000e-07  2.50000251e+00  4.59418487e+00  4.59418748e+00  2.50000090e+00  2.50000002e+00  2.50000000e+00 -2.06581741e-05 
 8.00000000e-07  2.50000503e+00  4.59418047e+00  4.59419244e+00  2.50000587e+00  2.50000037e+00  2.50000003e+00 -2.06581683e-05 
 1.60000000e-06  2.50001005e+00  4.59416603e+00  4.59422216e+00  2.50003559e+00  2.50000460e+00  2.50000073e+00 -2.06580145e-05 
 3.20000000e-06  2.50002010e+00  4.59412491e+00  4.59436598e+00  2.50017940e+00  2.50004258e+00  2.50001216e+00 -2.06569797e-05 
 6.40000000e-06  2.50004020e+00  4.59402642e+00  4.59487793e+00  2.50069132e+00  2.50027008e+00  2.50012749e+00 -2.06528106e-05 
 1.14000000e-05  2.50007157e+00  4.59386599e+00  4.59588975e+00  2.50170302e+00  2.50094008e+00  2.50061482e+00 -2.06442230e-05 
 1.64000000e-05  2.50010286e+00  4.59370625e+00  4.59692694e+00  2.50273999e+00  2.50181800e+00  2.50139464e+00 -2.06353722e-05 
 2.14000000e-05  2.50013406e+00  4.59354682e+00  4.59795430e+00  2.50376702e+00  2.50277884e+00  2.50231686e+00 -2.06266174e-05 
 2.64000000e-05  2.50016512e+00  4.59338804e+00  4.59897811e+00  2.50479041e+00  2.50377530e+00  2.50329667e+00 -2.06178919e-05 
 3.14000000e-05  2.50019601e+00  4.59322999e+00  4.59999570e+00  2.50580747e+00  2.50478398e+00  2.50429970e+00 -2.06092218e-05 
 3.64000000e-05  2.50022672e+00  4.59307286e+00  4.60100649e+00  2.50681762e+00  2.50579436e+00  2.50530937e+00 -2.06006111e-05 
 4.14000000e-05  2.50025720e+00  4.59291680e+00  4.60200937e+00  2.50781977e+00  2.50680117e+00  2.50631794e+00 -2.05920693e-05 
 4.64000000e-05  2.50028743e+00  4.59276197e+00  4.60300341e+00  2.50881299e+00  2.50780152e+00  2.50732141e+00 -2.05836043e-05 
 5.14000000e-05  2.50031737e+00  4.59260851e+00  4.60398764e+00  2.50979628e+00  2.50879360e+00  2.50831748e+00 -2.05752245e-05 
 5.64000000e-05  2.50034700e+00  4.59245659e+00  4.60496110e+00  2.51076871e+00  2.50977609e+00  2.50930459e+00 -2.05669379e-05 
 6.14000000e-05  2.50037629e+00  4.59230635e+00  4.60592286e+00  2.51172934e+00  2.51074787e+00  2.51028152e+00 -2.05587523e-05 
 6.64000000e-05  2.50040521e+00  4.59215794e+00  4.60687198e+00  2.51267725e+00  2.51170793e+00  2.51124721e+00 -2.05506757e-05 
 7.14000000e-05  2.50043372e+00  4.59201152e+00  4.60780756e+00  2.51361152e+00  2.51265530e+00  2.51220068e+00 -2.05427157e-05 
 7.64000000e-05  2.50046181e+00  4.59186722e+00  4.60872871e+00  2.51453125e+00  2.51358908e+00  2.51314100e+00 -2.05348799e-05 
 8.14000000e-05  2.50048944e+00  4.59172520e+00  4.60963453e+00  2.51543558e+00  2.51450835e+00  2.51406724e+00 -2.05271757e-05 
 8.64000000e-05  2.50051659e+00  4.59158559e+00  4.61052418e+00  2.51632364e+00  2.51541224e+00  2.51497852e+00 -2.05196103e-05 
 9.14000000e-05  2.50054323e+00  4.59144854e+00  4.61139679e+00  2.51719458e+00  2.51629988e+00  2.51587397e+00 -2.05121910e-05 
 9.64000000e-05  2.50056934e+00  4.59131419e+00  4.61225155e+00  2.51804757e+00  2.51717043e+00  2.51675273e+00 -2.05049246e-05 
 1.01400000e-04  2.50059488e+00  4.59118266e+00  4.61308765e+00  2.51888183e+00  2.51802306e+00  2.51761397e+00 -2.04978179e-05 
 1.06400000e-04  2.50061983e+00  4.59105410e+00  4.61390429e+00  2.51969654e+00  2.51885697e+00  2.51845687e+00 -2.04908775e-05 
 1.11400000e-04  2.50064418e+00  4.59092863e+00  4.61470072e+00  2.52049095e+00  2.51967137e+00  2.51928065e+00 -2.04841100e-05 
 1.16400000e-04  2.50066788e+00  4.59080637e+00  4.61547617e+00  2.52126431e+00  2.52046549e+00  2.52008451e+00 -2.04775216e-05 
 1.21400000e-04  2.50069093e+00  4.59068746e+00  4.61622992e+00  2.52201590e+00  2.52123859e+00  2.52086770e+00 -2.04711183e-05 
 1.26400000e-04  2.50071330e+00  4.59057201e+00  4.61696127e+00  2.52274502e+00  2.52198994e+00  2.52162950e+00 -2.04649060e-05 
 1.31400000e-04  2.50073496e+00  4.59046014e+00  4.61766954e+00  2.52345097e+00  2.52271884e+00  2.52236918e+00 -2.04588905e-05 
 1.36400000e-04  2.50075590e+00  4.59035196e+00  4.61835406e+00  2.52413312e+00  2.52342460e+00  2.52308606e+00 -2.04530773e-05 
 1.41400000e-04  2.50077609e+00  4.59024758e+00  4.61901420e+00  2.52479081e+00  2.52410658e+00  2.52377946e+00 -2.04474717e-05 
 1.46400000e-04  2.50079552e+00  4.59014711e+00  4.61964935e+00  2.52542345e+00  2.52476414e+00  2.52444875e+00 -2.04420787e-05 
 1.51400000e-04  2.50081416e+00  4.59005065e+00  4.62025892e+00  2.52603045e+00  2.52539667e+00  2.52509330e+00 -2.04369033e-05 
 1.56400000e-04  2.50083199e+00  4.58995829e+00  4.62084235e+00  2.52661125e+00  2.52600358e+00  2.52571251e+00 -2.04319502e-05 
 1.61400000e-04  2.50084901e+00  4.58987014e+00  4.62139910e+00  2.52716530e+00  2.52658431e+00  2.52630581e+00 -2.04272238e-05 
 1.66400000e-04  2.50086519e+00  4.58978628e+00  4.62192865e+00  2.52769212e+00  2.52713834e+00  2.52687266e+00 -2.04227284e-05 
 1.71400000e-04  2.50088051e+00  4.58970680e+00  4.62243053e+00  2.52819120e+00  2.52766514e+00  2.52741253e+00 -2.04184681e-05 
 1.76400000e-04  2.50089497e+00  4.58963178e+00  4.62290432e+00  2.52866215e+00  2.52816426e+00  2.52792495e+00 -2.04144460e-05 
 1.81400000e-04  2.50090854e+00  4.58956129e+00  4.62334952e+00  2.52910446e+00  2.52863523e+00  2.52840943e+00 -2.04106666e-05 
 1.86400000e-04  2.50092121e+00  4.58949540e+00  4.62376567e+00  2.52951768e+00  2.52907758e+00  2.52886552e+00 -2.04071338e-05 
 1.91400000e-04  2.50093298e+00  4.58943419e+00  4.62415249e+00  2.52990152e+00  2.52949091e+00  2.52929279e+00 -2.04038498e-05 
 1.96400000e-04  2.50094382e+00  4.58937771e+00  4.62450958e+00  2.53025561e+00  2.52987487e+00  2.52969085e+00 -2.04008177e-05 
 2.01400000e-04  2.50095374e+00  4.58932602e+00  4.62483664e+00  2.53057963e+00  2.53022910e+00  2.53005936e+00 -2.03980403e-05 
 2.06400000e-04  2.50096271e+00  4.58927918e+00  4.62513337e+00  2.53087328e+00  2.53055329e+00  2.53039797e+00 -2.03955199e-05 
 2.11400000e-04  2.50097073e+00  4.58923724e+00  4.62539949e+00  2.53113630e+00  2.53084713e+00  2.53070638e+00 -2.03932589e-05 
 2.16400000e-04  2.50097780e+00  4.58920023e+00  4.62563476e+00  2.53136845e+00  2.53111036e+00  2.53098431e+00 -2.03912592e-05 
 2.21400000e-04  2.50098390e+00  4.58916819e+00  4.62583898e+00  2.53156952e+00  2.53134275e+00  2.53123150e+00 -2.03895227e-05 
 2.26400000e-04  2.50098903e+00  4.58914117e+00  4.62601195e+00  2.53173932e+00  2.53154408e+00  2.53144774e+00 -2.03880508e-05 
 2.31400000e-04  2.50099318e+00  4.58911917e+00  4.62615351e+00  2.53187771e+00  2.53171416e+00  2.53163282e+00 -2.03868448e-05 
 2.36400000e-04  2.50099635e+00  4.58910224e+00  4.62626355e+00  2.53198455e+00  2.53185286e+00  2.53178658e+00 -2.03859058e-05 
 2.41400000e-04  2.50099854e+00  4.58909038e+00  4.62634196e+00  2.53205976e+00  2.53196003e+00  2.53190889e+00 -2.03852347e-05 
 2.46400000e-04  2.50099974e+00  4.58908360e+00  4.62638867e+00  2.53210326e+00  2.53203558e+00  2.53199962e+00 -2.03848320e-05 
 2.51400000e-04  2.50099996e+00  4.58908192e+00  4.62640363e+00  2.53211501e+00  2.53207946e+00  2.53205870e+00 -2.03846981e-05 
 2.56400000e-04  2.50099919e+00  4.58908534e+00  4.62638684e+00  2.53209501e+00  2.53209160e+00  2.53208608e+00 -2.03848332e-05 
 2.61400000e-04  2.50099744e+00  4.58909385e+00  4.62633830e+00  2.53204327e+00  2.53207202e+00  2.53208172e+00 -2.03852370e-05 
 2.66400000e-04  2.50099470e+00  4.58910744e+00  4.62625807e+00  2.53195983e+00  2.53202071e+00  2.53204564e+00 -2.03859092e-05 
 2.71400000e-04  2.50099097e+00  4.58912610e+00  4.62614621e+00  2.53184478e+00  2.53193773e+00  2.53197787e+00 -2.03868494e-05 
 2.76400000e-04  2.50098627e+00  4.58914981e+00  4.62600283e+00  2.53169822e+00  2.53182316e+00  2.53187846e+00 -2.03880565e-05 
 2.81400000e-04  2.50098060e+00  4.58917855e+00  4.62582805e+00  2.53152028e+00  2.53167710e+00  2.53174751e+00 -2.03895297e-05 
 2.86400000e-04  2.50097396e+00  4.58921228e+00  4.62562203e+00  2.53131113e+00  2.53149968e+00  2.53158514e+00 -2.03912674e-05 
 2.91400000e-04  2.50096636e+00  4.58925097e+00  4.62538497e+00  2.53107094e+00  2.53129105e+00  2.53139149e+00 -2.03932684e-05 
 2.96400000e-04  2.50095780e+00  4.58929459e+00  4.62511707e+00  2.53079995e+00  2.53105142e+00  2.53116674e+00 -2.03955307e-05 
 3.01400000e-04  2.50094830e+00  4.58934309e+00  4.62481857e+00  2.53049839e+00  2.53078100e+00  2.53091110e+00 -2.03980523e-05 
 3.06400000e-04  2.50093786e+00  4.58939641e+00  4.62448976e+00  2.53016654e+00  2.53048003e+00  2.53062479e+00 -2.04008311e-05 
 3.11400000e-04  2.50092650e+00  4.58945451e+00  4.62413092e+00  2.52980471e+00  2.53014878e+00  2.53030807e+00 -2.04038646e-05 
 3.16400000e-04  2.50091423e+00  4.58951732e+00  4.62374239e+00  2.52941321e+00  2.52978757e+00  2.52996124e+00 -2.04071501e-05 
 3.21400000e-04  2.50090105e+00  4.58958478e+00  4.62332451e+00  2.52899241e+00  2.52939671e+00  2.52958461e+00 -2.04106845e-05 
 3.26400000e-04  2.50088698e+00  4.58965683e+00  4.62287768e+00  2.52854270e+00  2.52897657e+00  2.52917852e+00 -2.04144649e-05 
 3.31400000e-04  2.50087204e+00  4.58973337e+00  4.62240222e+00  2.52806442e+00  2.52852749e+00  2.52874333e+00 -2.04184886e-05 
 3.36400000e-04  2.50085623e+00  4.58981435e+00  4.62189866e+00  2.52755808e+00  2.52804991e+00  2.52827942e+00 -2.04227510e-05 
 3.41400000e-04  2.50083958e+00  4.58989968e+00  4.62136750e+00  2.52702419e+00  2.52754429e+00  2.52778726e+00 -2.04272479e-05 
