 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  4.44618444e+00  4.44618444e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.30273249e-05 
 5.00000000e-08  2.50000031e+00  4.44618436e+00  4.44618446e+00  2.50000002e+00  2.50000000e+00  2.50000000e+00 -1.30273254e-05 
 1.00000000e-07  2.50000063e+00  4.44618419e+00  4.44618453e+00  2.50000009e+00  2.50000000e+00  2.50000000e+00 -1.30273262e-05 
 2.00000000e-07  2.50000126e+00  4.44618370e+00  4.44618480e+00  2.50000036e+00  2.50000000e+00  2.50000000e+00 -1.30273280e-05 
 4.00000000e-07  2.50000251e+00  4.44618182e+00  4.44618657e+00  2.50000213e+00  2.50000002e+00  2.50000000e+00 -1.30273289e-05 
 8.00000000e-07  2.50000503e+00  4.44617502e+00  4.44619851e+00  2.50001407e+00  2.50000035e+00  2.50000003e+00 -1.30272857e-05 
 1.60000000e-06  2.50001005e+00  4.44615252e+00  4.44627185e+00  2.50008740e+00  2.50000598e+00  2.50000096e+00 -1.30268585e-05 
 3.20000000e-06  2.50002010e+00  4.44608752e+00  4.44664185e+00  2.50045740e+00  2.50007380e+00  2.50002105e+00 -1.30242914e-05 
 6.40000000e-06  2.50004020e+00  4.44592952e+00  4.44803581e+00  2.50185129e+00  2.50058897e+00  2.50027568e+00 -1.30138817e-05 
 1.14000000e-05  2.50007157e+00  4.44566982e+00  4.45093751e+00  2.50475265e+00  2.50235221e+00  2.50152038e+00 -1.29916235e-05 
 1.64000000e-05  2.50010286e+00  4.44541075e+00  4.45398620e+00  2.50780072e+00  2.50484042e+00  2.50368281e+00 -1.29681203e-05 
 2.14000000e-05  2.50013406e+00  4.44515207e+00  4.45700383e+00  2.51081741e+00  2.50762765e+00  2.50634034e+00 -1.29448757e-05 
 2.64000000e-05  2.50016512e+00  4.44489421e+00  4.46000457e+00  2.51381693e+00  2.51053732e+00  2.50919674e+00 -1.29217666e-05 
 3.14000000e-05  2.50019601e+00  4.44463737e+00  4.46298334e+00  2.51679417e+00  2.51348919e+00  2.51213061e+00 -1.28988341e-05 
 3.64000000e-05  2.50022672e+00  4.44438184e+00  4.46593767e+00  2.51974667e+00  2.51644605e+00  2.51508583e+00 -1.28760967e-05 
 4.14000000e-05  2.50025720e+00  4.44412785e+00  4.46886464e+00  2.52267152e+00  2.51939029e+00  2.51803618e+00 -1.28535768e-05 
 4.64000000e-05  2.50028743e+00  4.44387567e+00  4.47176151e+00  2.52556597e+00  2.52231237e+00  2.52096863e+00 -1.28312954e-05 
 5.14000000e-05  2.50031737e+00  4.44362555e+00  4.47462554e+00  2.52842731e+00  2.52520671e+00  2.52387583e+00 -1.28092733e-05 
 5.64000000e-05  2.50034700e+00  4.44337775e+00  4.47745408e+00  2.53125286e+00  2.52806927e+00  2.52675308e+00 -1.27875309e-05 
 6.14000000e-05  2.50037629e+00  4.44313252e+00  4.48024449e+00  2.53404001e+00  2.53089684e+00  2.52959680e+00 -1.27660881e-05 
 6.64000000e-05  2.50040521e+00  4.44289012e+00  4.48299422e+00  2.53678619e+00  2.53368653e+00  2.53240397e+00 -1.27449644e-05 
 7.14000000e-05  2.50043372e+00  4.44265078e+00  4.48570076e+00  2.53948892e+00  2.53643570e+00  2.53517183e+00 -1.27241788e-05 
 7.64000000e-05  2.50046181e+00  4.44241476e+00  4.48836167e+00  2.54214575e+00  2.53914177e+00  2.53789777e+00 -1.27037497e-05 
 8.14000000e-05  2.50048944e+00  4.44218230e+00  4.49097457e+00  2.54475430e+00  2.54180229e+00  2.54057929e+00 -1.26836953e-05 
 8.64000000e-05  2.50051659e+00  4.44195365e+00  4.49353712e+00  2.54731226e+00  2.54441486e+00  2.54321396e+00 -1.26640330e-05 
 9.14000000e-05  2.50054323e+00  4.44172903e+00  4.49604709e+00  2.54981736e+00  2.54697715e+00  2.54579942e+00 -1.26447798e-05 
 9.64000000e-05  2.50056934e+00  4.44150868e+00  4.49850226e+00  2.55226743e+00  2.54948690e+00  2.54833338e+00 -1.26259523e-05 
 1.01400000e-04  2.50059488e+00  4.44129284e+00  4.50090051e+00  2.55466033e+00  2.55194192e+00  2.55081362e+00 -1.26075665e-05 
 1.06400000e-04  2.50061983e+00  4.44108174e+00  4.50323979e+00  2.55699403e+00  2.55434007e+00  2.55323797e+00 -1.25896378e-05 
 1.11400000e-04  2.50064418e+00  4.44087558e+00  4.50551810e+00  2.55926652e+00  2.55667930e+00  2.55560434e+00 -1.25721810e-05 
 1.16400000e-04  2.50066788e+00  4.44067459e+00  4.50773351e+00  2.56147590e+00  2.55895760e+00  2.55791070e+00 -1.25552106e-05 
 1.21400000e-04  2.50069093e+00  4.44047899e+00  4.50988417e+00  2.56362030e+00  2.56117306e+00  2.56015511e+00 -1.25387405e-05 
 1.26400000e-04  2.50071330e+00  4.44028897e+00  4.51196829e+00  2.56569796e+00  2.56332381e+00  2.56233566e+00 -1.25227839e-05 
 1.31400000e-04  2.50073496e+00  4.44010475e+00  4.51398416e+00  2.56770716e+00  2.56540807e+00  2.56445054e+00 -1.25073535e-05 
 1.36400000e-04  2.50075590e+00  4.43992652e+00  4.51593012e+00  2.56964625e+00  2.56742412e+00  2.56649800e+00 -1.24924617e-05 
 1.41400000e-04  2.50077609e+00  4.43975446e+00  4.51780460e+00  2.57151368e+00  2.56937031e+00  2.56847635e+00 -1.24781200e-05 
 1.46400000e-04  2.50079552e+00  4.43958877e+00  4.51960610e+00  2.57330793e+00  2.57124506e+00  2.57038399e+00 -1.24643397e-05 
 1.51400000e-04  2.50081416e+00  4.43942962e+00  4.52133316e+00  2.57502758e+00  2.57304687e+00  2.57221938e+00 -1.24511314e-05 
 1.56400000e-04  2.50083199e+00  4.43927718e+00  4.52298444e+00  2.57667127e+00  2.57477429e+00  2.57398104e+00 -1.24385050e-05 
 1.61400000e-04  2.50084901e+00  4.43913161e+00  4.52455862e+00  2.57823770e+00  2.57642595e+00  2.57566758e+00 -1.24264702e-05 
 1.66400000e-04  2.50086519e+00  4.43899308e+00  4.52605447e+00  2.57972566e+00  2.57800056e+00  2.57727766e+00 -1.24150360e-05 
 1.71400000e-04  2.50088051e+00  4.43886173e+00  4.52747085e+00  2.58113400e+00  2.57949688e+00  2.57881002e+00 -1.24042110e-05 
 1.76400000e-04  2.50089497e+00  4.43873771e+00  4.52880665e+00  2.58246162e+00  2.58091377e+00  2.58026346e+00 -1.23940030e-05 
