 frequency       onoise_spectrum inoise_spectrum
 1.00000000e+01  1.86294708e-04  3.17520363e-06 
 1.02920053e+01  1.82561370e-04  3.04078765e-06 
 1.05925373e+01  1.78751790e-04  2.91209919e-06 
 1.09018449e+01  1.74877057e-04  2.78889197e-06 
 1.12201845e+01  1.70948077e-04  2.67093056e-06 
 1.15478198e+01  1.66975518e-04  2.55798982e-06 
 1.18850223e+01  1.62969761e-04  2.44985448e-06 
 1.22320712e+01  1.58940850e-04  2.34631864e-06 
 1.25892541e+01  1.54898449e-04  2.24718542e-06 
 1.29568670e+01  1.50851813e-04  2.15226648e-06 
 1.33352143e+01  1.46809753e-04  2.06138167e-06 
 1.37246096e+01  1.42780610e-04  1.97435866e-06 
 1.41253754e+01  1.38772241e-04  1.89103258e-06 
 1.45378439e+01  1.34792002e-04  1.81124570e-06 
 1.49623566e+01  1.30846739e-04  1.73484710e-06 
 1.53992653e+01  1.26942783e-04  1.66169238e-06 
 1.58489319e+01  1.23085952e-04  1.59164337e-06 
 1.63117291e+01  1.19281555e-04  1.52456783e-06 
 1.67880402e+01  1.15534397e-04  1.46033924e-06 
 1.72782598e+01  1.11848792e-04  1.39883649e-06 
 1.77827941e+01  1.08228576e-04  1.33994368e-06 
 1.83020611e+01  1.04677124e-04  1.28354990e-06 
 1.88364909e+01  1.01197363e-04  1.22954896e-06 
 1.93865264e+01  9.77917998e-05  1.17783925e-06 
 1.99526231e+01  9.44625338e-05  1.12832350e-06 
 2.05352503e+01  9.12112837e-05  1.08090859e-06 
 2.11348904e+01  8.80394085e-05  1.03550539e-06 
 2.17520403e+01  8.49479297e-05  9.92028579e-07 
 2.23872114e+01  8.19375553e-05  9.50396478e-07 
 2.30409298e+01  7.90087018e-05  9.10530889e-07 
 2.37137371e+01  7.61615170e-05  8.72356952e-07 
 2.44061907e+01  7.33959024e-05  8.35803000e-07 
 2.51188643e+01  7.07115340e-05  8.00800417e-07 
 2.58523484e+01  6.81078837e-05  7.67283510e-07 
 2.66072506e+01  6.55842390e-05  7.35189382e-07 
 2.73841963e+01  6.31397219e-05  7.04457814e-07 
 2.81838293e+01  6.07733073e-05  6.75031148e-07 
 2.90068120e+01  5.84838398e-05  6.46854178e-07 
 2.98538262e+01  5.62700504e-05  6.19874044e-07 
