 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  4.99172059e+00  4.99172059e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.56428644e-05 
 5.00000000e-08  2.50000031e+00  4.99172059e+00  4.99172059e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.56428644e-05 
 1.00000000e-07  2.50000063e+00  4.99172059e+00  4.99172059e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.56428644e-05 
 2.00000000e-07  2.50000126e+00  4.99172058e+00  4.99172059e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.56428643e-05 
 4.00000000e-07  2.50000251e+00  4.99172053e+00  4.99172059e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.56428645e-05 
 8.00000000e-07  2.50000503e+00  4.99172036e+00  4.99172060e+00  2.50000001e+00  2.50000000e+00  2.50000000e+00 -1.56428652e-05 
 1.60000000e-06  2.50001005e+00  4.99171978e+00  4.99172065e+00  2.50000005e+00  2.50000001e+00  2.50000000e+00 -1.56428681e-05 
 3.20000000e-06  2.50002010e+00  4.99171800e+00  4.99172088e+00  2.50000029e+00  2.50000009e+00  2.50000003e+00 -1.56428772e-05 
 6.40000000e-06  2.50004020e+00  4.99171338e+00  4.99172184e+00  2.50000125e+00  2.50000058e+00  2.50000033e+00 -1.56428992e-05 
 1.14000000e-05  2.50007157e+00  4.99170544e+00  4.99172398e+00  2.50000339e+00  2.50000211e+00  2.50000157e+00 -1.56429342e-05 
 1.64000000e-05  2.50010286e+00  4.99169745e+00  4.99172631e+00  2.50000572e+00  2.50000419e+00  2.50000350e+00 -1.56429683e-05 
 2.14000000e-05  2.50013406e+00  4.99168949e+00  4.99172864e+00  2.50000804e+00  2.50000645e+00  2.50000572e+00 -1.56430022e-05 
 2.64000000e-05  2.50016512e+00  4.99168154e+00  4.99173095e+00  2.50001036e+00  2.50000875e+00  2.50000801e+00 -1.56430362e-05 
 3.14000000e-05  2.50019601e+00  4.99167362e+00  4.99173326e+00  2.50001266e+00  2.50001105e+00  2.50001031e+00 -1.56430699e-05 
 3.64000000e-05  2.50022672e+00  4.99166575e+00  4.99173555e+00  2.50001495e+00  2.50001335e+00  2.50001261e+00 -1.56431036e-05 
 4.14000000e-05  2.50025720e+00  4.99165792e+00  4.99173783e+00  2.50001723e+00  2.50001564e+00  2.50001491e+00 -1.56431370e-05 
 4.64000000e-05  2.50028743e+00  4.99165015e+00  4.99174010e+00  2.50001949e+00  2.50001791e+00  2.50001718e+00 -1.56431702e-05 
 5.14000000e-05  2.50031737e+00  4.99164244e+00  4.99174234e+00  2.50002174e+00  2.50002017e+00  2.50001945e+00 -1.56432032e-05 
 5.64000000e-05  2.50034700e+00  4.99163480e+00  4.99174457e+00  2.50002396e+00  2.50002240e+00  2.50002169e+00 -1.56432358e-05 
 6.14000000e-05  2.50037629e+00  4.99162724e+00  4.99174677e+00  2.50002616e+00  2.50002462e+00  2.50002391e+00 -1.56432681e-05 
 6.64000000e-05  2.50040521e+00  4.99161976e+00  4.99174895e+00  2.50002834e+00  2.50002681e+00  2.50002611e+00 -1.56433001e-05 
 7.14000000e-05  2.50043372e+00  4.99161238e+00  4.99175110e+00  2.50003048e+00  2.50002898e+00  2.50002829e+00 -1.56433316e-05 
 7.64000000e-05  2.50046181e+00  4.99160510e+00  4.99175322e+00  2.50003260e+00  2.50003112e+00  2.50003043e+00 -1.56433628e-05 
 8.14000000e-05  2.50048944e+00  4.99159793e+00  4.99175531e+00  2.50003469e+00  2.50003322e+00  2.50003255e+00 -1.56433934e-05 
 8.64000000e-05  2.50051659e+00  4.99159087e+00  4.99175736e+00  2.50003674e+00  2.50003530e+00  2.50003464e+00 -1.56434236e-05 
 9.14000000e-05  2.50054323e+00  4.99158394e+00  4.99175938e+00  2.50003875e+00  2.50003734e+00  2.50003669e+00 -1.56434533e-05 
 9.64000000e-05  2.50056934e+00  4.99157714e+00  4.99176137e+00  2.50004073e+00  2.50003934e+00  2.50003870e+00 -1.56434823e-05 
 1.01400000e-04  2.50059488e+00  4.99157048e+00  4.99176331e+00  2.50004267e+00  2.50004131e+00  2.50004068e+00 -1.56435109e-05 
 1.06400000e-04  2.50061983e+00  4.99156397e+00  4.99176521e+00  2.50004457e+00  2.50004323e+00  2.50004262e+00 -1.56435387e-05 
 1.11400000e-04  2.50064418e+00  4.99155760e+00  4.99176706e+00  2.50004642e+00  2.50004511e+00  2.50004452e+00 -1.56435660e-05 
 1.16400000e-04  2.50066788e+00  4.99155140e+00  4.99176887e+00  2.50004822e+00  2.50004695e+00  2.50004637e+00 -1.56435925e-05 
 1.21400000e-04  2.50069093e+00  4.99154535e+00  4.99177064e+00  2.50004998e+00  2.50004874e+00  2.50004817e+00 -1.56436184e-05 
 1.26400000e-04  2.50071330e+00  4.99153948e+00  4.99177235e+00  2.50005169e+00  2.50005048e+00  2.50004993e+00 -1.56436435e-05 
 1.31400000e-04  2.50073496e+00  4.99153379e+00  4.99177401e+00  2.50005334e+00  2.50005218e+00  2.50005164e+00 -1.56436679e-05 
 1.36400000e-04  2.50075590e+00  4.99152828e+00  4.99177562e+00  2.50005495e+00  2.50005382e+00  2.50005329e+00 -1.56436915e-05 
 1.41400000e-04  2.50077609e+00  4.99152297e+00  4.99177717e+00  2.50005650e+00  2.50005540e+00  2.50005490e+00 -1.56437143e-05 
 1.46400000e-04  2.50079552e+00  4.99151784e+00  4.99177867e+00  2.50005799e+00  2.50005693e+00  2.50005645e+00 -1.56437362e-05 
 1.51400000e-04  2.50081416e+00  4.99151292e+00  4.99178011e+00  2.50005942e+00  2.50005841e+00  2.50005794e+00 -1.56437573e-05 
 1.56400000e-04  2.50083199e+00  4.99150820e+00  4.99178149e+00  2.50006079e+00  2.50005982e+00  2.50005937e+00 -1.56437775e-05 
 1.61400000e-04  2.50084901e+00  4.99150370e+00  4.99178281e+00  2.50006211e+00  2.50006118e+00  2.50006075e+00 -1.56437968e-05 
 1.66400000e-04  2.50086519e+00  4.99149941e+00  4.99178406e+00  2.50006336e+00  2.50006247e+00  2.50006206e+00 -1.56438151e-05 
 1.71400000e-04  2.50088051e+00  4.99149534e+00  4.99178526e+00  2.50006455e+00  2.50006370e+00  2.50006331e+00 -1.56438325e-05 
 1.76400000e-04  2.50089497e+00  4.99149150e+00  4.99178639e+00  2.50006567e+00  2.50006487e+00  2.50006450e+00 -1.56438490e-05 
 1.81400000e-04  2.50090854e+00  4.99148788e+00  4.99178745e+00  2.50006672e+00  2.50006597e+00  2.50006562e+00 -1.56438644e-05 
 1.86400000e-04  2.50092121e+00  4.99148450e+00  4.99178844e+00  2.50006771e+00  2.50006701e+00  2.50006668e+00 -1.56438789e-05 
 1.91400000e-04  2.50093298e+00  4.99148135e+00  4.99178937e+00  2.50006863e+00  2.50006797e+00  2.50006767e+00 -1.56438924e-05 
 1.96400000e-04  2.50094382e+00  4.99147845e+00  4.99179023e+00  2.50006948e+00  2.50006887e+00  2.50006859e+00 -1.56439048e-05 
 2.01400000e-04  2.50095374e+00  4.99147579e+00  4.99179102e+00  2.50007026e+00  2.50006970e+00  2.50006944e+00 -1.56439161e-05 
 2.06400000e-04  2.50096271e+00  4.99147337e+00  4.99179173e+00  2.50007097e+00  2.50007046e+00  2.50007022e+00 -1.56439265e-05 
 2.11400000e-04  2.50097073e+00  4.99147120e+00  4.99179238e+00  2.50007161e+00  2.50007115e+00  2.50007093e+00 -1.56439357e-05 
 2.16400000e-04  2.50097780e+00  4.99146929e+00  4.99179295e+00  2.50007218e+00  2.50007176e+00  2.50007157e+00 -1.56439439e-05 
 2.21400000e-04  2.50098390e+00  4.99146762e+00  4.99179345e+00  2.50007267e+00  2.50007231e+00  2.50007214e+00 -1.56439509e-05 
 2.26400000e-04  2.50098903e+00  4.99146621e+00  4.99179388e+00  2.50007309e+00  2.50007278e+00  2.50007263e+00 -1.56439569e-05 
 2.31400000e-04  2.50099318e+00  4.99146506e+00  4.99179423e+00  2.50007343e+00  2.50007317e+00  2.50007305e+00 -1.56439618e-05 
 2.36400000e-04  2.50099635e+00  4.99146417e+00  4.99179451e+00  2.50007370e+00  2.50007350e+00  2.50007340e+00 -1.56439656e-05 
 2.41400000e-04  2.50099854e+00  4.99146353e+00  4.99179471e+00  2.50007390e+00  2.50007374e+00  2.50007367e+00 -1.56439682e-05 
 2.46400000e-04  2.50099974e+00  4.99146316e+00  4.99179484e+00  2.50007402e+00  2.50007392e+00  2.50007387e+00 -1.56439698e-05 
 2.51400000e-04  2.50099996e+00  4.99146304e+00  4.99179489e+00  2.50007406e+00  2.50007401e+00  2.50007399e+00 -1.56439702e-05 
 2.56400000e-04  2.50099919e+00  4.99146318e+00  4.99179487e+00  2.50007404e+00  2.50007404e+00  2.50007403e+00 -1.56439695e-05 
 2.61400000e-04  2.50099744e+00  4.99146359e+00  4.99179477e+00  2.50007393e+00  2.50007399e+00  2.50007401e+00 -1.56439677e-05 
 2.66400000e-04  2.50099470e+00  4.99146425e+00  4.99179460e+00  2.50007375e+00  2.50007386e+00  2.50007390e+00 -1.56439647e-05 
 2.71400000e-04  2.50099097e+00  4.99146517e+00  4.99179435e+00  2.50007350e+00  2.50007366e+00  2.50007373e+00 -1.56439607e-05 
 2.76400000e-04  2.50098627e+00  4.99146635e+00  4.99179403e+00  2.50007317e+00  2.50007338e+00  2.50007347e+00 -1.56439555e-05 
 2.81400000e-04  2.50098060e+00  4.99146779e+00  4.99179364e+00  2.50007277e+00  2.50007303e+00  2.50007315e+00 -1.56439493e-05 
 2.86400000e-04  2.50097396e+00  4.99146948e+00  4.99179317e+00  2.50007229e+00  2.50007260e+00  2.50007274e+00 -1.56439419e-05 
 2.91400000e-04  2.50096636e+00  4.99147142e+00  4.99179263e+00  2.50007174e+00  2.50007211e+00  2.50007227e+00 -1.56439335e-05 
 2.96400000e-04  2.50095780e+00  4.99147362e+00  4.99179201e+00  2.50007112e+00  2.50007154e+00  2.50007172e+00 -1.56439240e-05 
 3.01400000e-04  2.50094830e+00  4.99147606e+00  4.99179132e+00  2.50007042e+00  2.50007089e+00  2.50007110e+00 -1.56439134e-05 
 3.06400000e-04  2.50093786e+00  4.99147875e+00  4.99179057e+00  2.50006966e+00  2.50007018e+00  2.50007041e+00 -1.56439018e-05 
 3.11400000e-04  2.50092650e+00  4.99148168e+00  4.99178974e+00  2.50006882e+00  2.50006939e+00  2.50006965e+00 -1.56438891e-05 
 3.16400000e-04  2.50091423e+00  4.99148485e+00  4.99178884e+00  2.50006792e+00  2.50006853e+00  2.50006881e+00 -1.56438754e-05 
 3.21400000e-04  2.50090105e+00  4.99148825e+00  4.99178787e+00  2.50006694e+00  2.50006761e+00  2.50006791e+00 -1.56438607e-05 
 3.26400000e-04  2.50088698e+00  4.99149189e+00  4.99178684e+00  2.50006590e+00  2.50006661e+00  2.50006694e+00 -1.56438450e-05 
 3.31400000e-04  2.50087204e+00  4.99149576e+00  4.99178574e+00  2.50006480e+00  2.50006555e+00  2.50006590e+00 -1.56438283e-05 
 3.36400000e-04  2.50085623e+00  4.99149985e+00  4.99178457e+00  2.50006362e+00  2.50006443e+00  2.50006479e+00 -1.56438107e-05 
 3.41400000e-04  2.50083958e+00  4.99150417e+00  4.99178334e+00  2.50006239e+00  2.50006323e+00  2.50006362e+00 -1.56437921e-05 
 3.46400000e-04  2.50082210e+00  4.99150869e+00  4.99178204e+00  2.50006109e+00  2.50006198e+00  2.50006238e+00 -1.56437726e-05 
 3.51400000e-04  2.50080382e+00  4.99151343e+00  4.99178069e+00  2.50005972e+00  2.50006066e+00  2.50006109e+00 -1.56437521e-05 
 3.56400000e-04  2.50078473e+00  4.99151838e+00  4.99177927e+00  2.50005830e+00  2.50005928e+00  2.50005973e+00 -1.56437309e-05 
