"component","logical_role","library_cell","value","geometry","area_formula","area_p","ppa_included","notes"
"Q1-Q2","two common-emitter gain transistors","sky130_fd_pr_main / npn_05v5","","W1p00L1p00; count=2","1p * count","2","true","BJT assignment area rule"
"RC1-RC2","collector load resistors","sky130_fd_pr_main / res_high_po_5p73","120000","w=5.73um; l=2124.19323415um; count=2","((R-rcon)/rsheet) * w * count","24343.25446334","true","collector load area"
"RE1-RE2","emitter degeneration resistors","sky130_fd_pr_main / res_high_po_5p73","3900","w=5.73um; l=67.87017357um; count=2","((R-rcon)/rsheet) * w * count","777.79218916","true","gain/headroom setting"
"RB1_TOP-RB2_TOP","base bias divider upper resistors","sky130_fd_pr_main / res_high_po_5p73","4.7e+6","w=5.73um; l=83243.56978392um; count=2","((R-rcon)/rsheet) * w * count","953971.3097237","true","high-value divider"
"RB1_BOT-RB2_BOT","base bias divider lower resistors","sky130_fd_pr_main / res_high_po_5p73","1e+6","w=5.73um; l=17710.44899044um; count=2","((R-rcon)/rsheet) * w * count","202961.74543039","true","bias divider lower leg"
"ROUT_TOP-ROUT_BOT","output rebias divider","sky130_fd_pr_main / res_high_po_5p73","1e+7","w=5.73um; l=177115.33740701um; count=2","((R-rcon)/rsheet) * w * count","2.02974177e+6","true","sets final output common-mode to 2.5 V"
"CIN,C12","input and interstage coupling capacitors","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","6.8e-8","11.5um x 11.7um; mult=617115.89073419; count=2","11.5 * 11.7 * (C / 110.19fF) * count","1.66065886e+8","true","2BJT removes one large 3BJT interstage coupling capacitor"
"COUT","output coupling capacitor before rebias divider","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","1e-8","11.5um x 11.7um; mult=90752.33687267; count=1","11.5 * 11.7 * (C / 110.19fF) * count","1.22107269e+7","true","output rebias coupling capacitor"
"CH1-CH2","collector high-frequency pole capacitors","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","2.2e-11","11.5um x 11.7um; mult=199.65514112; count=2","11.5 * 11.7 * (C / 110.19fF) * count","53727.19847536","true","collector pole tuning"
"EBUF/IOPAMP","ideal ahdLib-equivalent output load buffer","ahdLib / opamp","","area=1000p by assignment rule","1000p * count","1000","true","load isolation and filter driver only"
"RBUF1-RBUF2","post-buffer two-pole output filter resistors","sky130_fd_pr_main / res_high_po_5p73","10000","w=5.73um; l=175.91126461um; count=2","((R-rcon)/rsheet) * w * count","2015.94309245","true","explicit high-frequency output filter"
"CBUF1-CBUF2","post-buffer two-pole output filter capacitors","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","2.2e-10","11.5um x 11.7um; mult=1996.5514112; count=2","11.5 * 11.7 * (C / 110.19fF) * count","537271.98475361","true","explicit high-frequency output filter"
"CLOAD_10P","specified external evaluation load","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","1e-11","11.5um x 11.7um; mult=90.75233687; count=1","11.5 * 11.7 * (C / 110.19fF) * count","12210.72692622","false","external project load, excluded from amplifier PPA"
