"version","component","logical_role","library_cell","value","geometry","count","source_netlist","ppa_included","notes"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","Q1-Q2","two common-emitter gain transistors","sky130_fd_pr_main / npn_05v5","","W1p00L1p00; count=2","2","netlists/bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k_ac.spice","true","BJT assignment area rule"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","RC1-RC2","collector load resistors","sky130_fd_pr_main / res_high_po_5p73","120000","w=5.73um; l=2124.19323415um; count=2","2","netlists/bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k_ac.spice","true","collector load area"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","RE1-RE2","emitter degeneration resistors","sky130_fd_pr_main / res_high_po_5p73","3900","w=5.73um; l=67.87017357um; count=2","2","netlists/bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k_ac.spice","true","gain/headroom setting"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","RB1_TOP-RB2_TOP","base bias divider upper resistors","sky130_fd_pr_main / res_high_po_5p73","4.7e+6","w=5.73um; l=83243.56978392um; count=2","2","netlists/bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k_ac.spice","true","high-value divider"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","RB1_BOT-RB2_BOT","base bias divider lower resistors","sky130_fd_pr_main / res_high_po_5p73","1e+6","w=5.73um; l=17710.44899044um; count=2","2","netlists/bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k_ac.spice","true","bias divider lower leg"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","ROUT_TOP-ROUT_BOT","output rebias divider","sky130_fd_pr_main / res_high_po_5p73","1e+7","w=5.73um; l=177115.33740701um; count=2","1","netlists/bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k_ac.spice","true","sets final output common-mode to 2.5 V"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","CIN,C12","input and interstage coupling capacitors","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","6.8e-8","11.5um x 11.7um; mult=617115.89073419; count=2","2","netlists/bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k_ac.spice","true","2BJT removes one large 3BJT interstage coupling capacitor"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","COUT","output coupling capacitor before rebias divider","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","1e-8","11.5um x 11.7um; mult=90752.33687267; count=1","1","netlists/bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k_ac.spice","true","output rebias coupling capacitor"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","CH1-CH2","collector high-frequency pole capacitors","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","2.2e-11","11.5um x 11.7um; mult=199.65514112; count=2","2","netlists/bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k_ac.spice","true","collector pole tuning"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","EBUF/IOPAMP","ideal ahdLib-equivalent output load buffer","ahdLib / opamp","","area=1000p by assignment rule","1","netlists/bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k_ac.spice","true","load isolation and filter driver only"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","RBUF1-RBUF2","post-buffer two-pole output filter resistors","sky130_fd_pr_main / res_high_po_5p73","10000","w=5.73um; l=175.91126461um; count=2","2","netlists/bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k_ac.spice","true","explicit high-frequency output filter"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","CBUF1-CBUF2","post-buffer two-pole output filter capacitors","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","2.2e-10","11.5um x 11.7um; mult=1996.5514112; count=2","2","netlists/bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k_ac.spice","true","explicit high-frequency output filter"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","CLOAD_10P","specified external evaluation load","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","1e-11","11.5um x 11.7um; mult=90.75233687; count=1","1","netlists/bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k_ac.spice","false","external project load, excluded from amplifier PPA"
