"version","stem","rc_ohm","re_ohm","rb_top_ohm","rb_bot_ohm","ccpl_f","cout_f","ch_f","rbuf_ohm","cbuf_f","opamp_ft_hz","midgain_db","lower_cutoff_hz","upper_cutoff_hz","passband_ripple_db","high_slope_100k_1meg_db_dec","out_pp","output_center","ac_nrmse","tran_nrmse","worst_power_w","estimated_area_p","decision","notes","log_scan"
"ppa_rc120k_re10k_rb4p7m_c47n_cout10n_r10k_c150p_ft2m","bjt2_sweep_ppa_rc120k_re10k_rb4p7m_c47n_cout10n_r10k_c150p_ft2m","120000","10000","4.7e+6","1e+6","4.7e-8","1e-8","1.8e-11","10000","1.5e-10","2e+6","30.942254","13.27281","27991.72652","4.796158","-66.7104","0.070467","2.499809","0.141834116045","0.22911182685","1.188321462809e-4","1.306179e+8","rejected_rolloff","far high-frequency rolloff is weaker than the 80 dB/dec proxy",""
"ppa_rc120k_re8p2k_rb4p7m_c47n_cout10n_r10k_c150p_ft2m","bjt2_sweep_ppa_rc120k_re8p2k_rb4p7m_c47n_cout10n_r10k_c150p_ft2m","120000","8200","4.7e+6","1e+6","4.7e-8","1e-8","1.8e-11","10000","1.5e-10","2e+6","33.106485","14.14444","28062.4452","5.287294","-66.6255","0.090385","2.49967","0.145925767441","0.193952449322","1.207743293914e-4","1.306175e+8","rejected_rolloff","far high-frequency rolloff is weaker than the 80 dB/dec proxy",""
"ppa_rc120k_re5p6k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft2m","bjt2_sweep_ppa_rc120k_re5p6k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft2m","120000","5600","4.7e+6","1e+6","6.8e-8","1e-8","2.2e-11","10000","2.2e-10","2e+6","36.810527","11.37532","20540.00308","3.740094","-70.6119","0.138399","2.499164","0.137048716313","0.110298117273","1.239923899185e-4","1.820828e+8","rejected_rolloff","far high-frequency rolloff is weaker than the 80 dB/dec proxy",""
"ppa_rc120k_re4p7k_rb4p7m_c68n_cout10n_ch30p_r10k_c220p_ft2m","bjt2_sweep_ppa_rc120k_re4p7k_rb4p7m_c68n_cout10n_ch30p_r10k_c220p_ft2m","120000","4700","4.7e+6","1e+6","6.8e-8","1e-8","3e-11","10000","2.2e-10","2e+6","38.306708","11.94953","18627.91887","4.0558","-72.076","0.164348","2.498786","0.128050802498","0.06674014239","1.252422016924e-4","1.821021e+8","rejected_bandwidth","upper cutoff is below the 20 kHz target",""
"ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch18p_r10k_c220p_ft250k","bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch18p_r10k_c220p_ft250k","120000","3900","4.7e+6","1e+6","6.8e-8","1e-8","1.8e-11","10000","2.2e-10","250000","39.760715","12.57131","21367.513","4.396715","-79.1757","0.194152","2.498255","0.144798469304","0.022242637732","6.517243319678e-5","1.820727e+8","rejected_rolloff","far high-frequency rolloff is weaker than the 80 dB/dec proxy",""
"ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","120000","3900","4.7e+6","1e+6","6.8e-8","1e-8","2.2e-11","10000","2.2e-10","250000","39.760102","12.56995","20409.38025","4.39656","-80.5594","0.19414","2.498256","0.136319434501","0.023733677809","6.517243343856e-5","1.820824e+8","accepted","2BJT candidate meets the initial gain, bandwidth, output common-mode, transient swing, and far high-frequency rolloff gates; csv canonical directory was not writable; used results/ngspice/csv_tmp; raw canonical directory was not writable; used results/ngspice/raw_tmp; plot canonical directory was not writable; used results/ngspice/plots_tmp",""
"ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch30p_r10k_c220p_ft250k","bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch30p_r10k_c220p_ft250k","120000","3900","4.7e+6","1e+6","6.8e-8","1e-8","3e-11","10000","2.2e-10","250000","39.758542","12.56642","18525.52535","4.39618","-82.1172","0.19412","2.498256","0.122656395178","0.026808370545","6.517243307914e-5","1.82102e+8","rejected_bandwidth","upper cutoff is below the 20 kHz target",""
"ppa_rc100k_re3p9k_rb4p7m_c68n_cout10n_ch30p_r10k_c220p_ft2m","bjt2_sweep_ppa_rc100k_re3p9k_rb4p7m_c68n_cout10n_ch30p_r10k_c220p_ft2m","100000","3900","4.7e+6","1e+6","6.8e-8","1e-8","3e-11","10000","2.2e-10","2e+6","37.113717","12.80197","19738.99789","4.531788","-71.3705","0.143211","2.498856","0.129674946345","0.102076096876","1.264501793338e-4","1.820979e+8","rejected_bandwidth","upper cutoff is below the 20 kHz target",""
"ppa_rc100k_re3p9k_rb4p7m_c68n_cout10n_ch30p_r10k_c220p_ft250k","bjt2_sweep_ppa_rc100k_re3p9k_rb4p7m_c68n_cout10n_ch30p_r10k_c220p_ft250k","100000","3900","4.7e+6","1e+6","6.8e-8","1e-8","3e-11","10000","2.2e-10","250000","37.113562","12.80159","19561.59338","4.53175","-81.4621","0.143214","2.498856","0.118659389585","0.102267901268","6.52001794872e-5","1.820979e+8","rejected_bandwidth","upper cutoff is below the 20 kHz target",""
"ppa_rc100k_re3p3k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","bjt2_sweep_ppa_rc100k_re3p3k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","100000","3300","4.7e+6","1e+6","6.8e-8","1e-8","2.2e-11","10000","2.2e-10","250000","38.31044","13.3671","21222.26854","4.847016","-79.5041","0.164267","2.498451","0.135988662346","0.065711885306","6.61327544772e-5","1.820782e+8","rejected_rolloff","far high-frequency rolloff is weaker than the 80 dB/dec proxy",""
"ppa_rc100k_re4p7k_rb4p7m_c68n_cout15n_ch30p_r10k_c330p_ft1p5m","bjt2_sweep_ppa_rc100k_re4p7k_rb4p7m_c68n_cout15n_ch30p_r10k_c330p_ft1p5m","100000","4700","4.7e+6","1e+6","6.8e-8","1.5e-8","3e-11","10000","3.3e-10","1.5e+6","35.631159","11.7814","14700.40508","4.803838","-74.4125","0.120844","2.49915","0.111503054779","0.141951885196","1.077693580681e-4","1.884721e+8","rejected_bandwidth","upper cutoff is below the 20 kHz target",""
"ppa_rc150k_re12k_rb6p8m_c33n_cout10n_r10k_c150p_ft2m","bjt2_sweep_ppa_rc150k_re12k_rb6p8m_c33n_cout10n_r10k_c150p_ft2m","150000","12000","6.8e+6","1e+6","3.3e-8","1e-8","1.5e-11","10000","1.5e-10","2e+6","-22.606333","9.20733","27156.29715","2.59362","-67.438","1.4818e-4","2.5","0.383102834963","0.353288236625","7.82145e-5","9.685327e+7","rejected_rolloff","far high-frequency rolloff is weaker than the 80 dB/dec proxy",""
"ppa_rc100k_re8p2k_rb4p7m_c68n_cout10n_r15k_c150p_ft1p5m","bjt2_sweep_ppa_rc100k_re8p2k_rb4p7m_c68n_cout10n_r15k_c150p_ft1p5m","100000","8200","4.7e+6","1e+6","6.8e-8","1e-8","1.8e-11","15000","1.5e-10","1.5e+6","30.3676","10.32322","21891.48714","3.175365","-68.9394","0.065967","2.499791","0.135401608653","0.237199422697","1.032974325111e-4","1.818995e+8","rejected_rolloff","far high-frequency rolloff is weaker than the 80 dB/dec proxy",""
"ppa_rc150k_re10k_rb6p8m_c47n_cout15n_r10k_c220p_ft1p5m","bjt2_sweep_ppa_rc150k_re10k_rb6p8m_c47n_cout15n_r10k_c220p_ft1p5m","150000","10000","6.8e+6","1e+6","4.7e-8","1.5e-8","1.2e-11","10000","2.2e-10","1.5e+6","-22.471042","6.40986","22024.14877","2.561674","-69.1472","1.5048e-4","2.5","0.379860335053","0.353284309359","6.071659263179e-5","1.373119e+8","rejected_rolloff","far high-frequency rolloff is weaker than the 80 dB/dec proxy",""
