"metric","value","unit","notes"
"midgain_db","38.307631","dB","Measured at 1 kHz"
"estimated_lower_cutoff_hz","11.95168","Hz","-3 dB crossing relative to 1 kHz midgain"
"estimated_upper_cutoff_hz","19427.61799","Hz","-3 dB crossing relative to 1 kHz midgain"
"high_rolloff_100k_to_1meg","-71.05","dB/dec","Far high-frequency slope check"
"out_pp","0.164362","V","Transient output peak-to-peak from 50 ms to 100 ms"
"output_center","2.498786","V","Transient output common-mode estimate"
"worst_power_w","1.252422014261e-4","W","max(OP static power, settled transient average power)"
"estimated_area_p","1.821021e+8","p","Same PPA area model as 3BJT final comparison"
"ac_nrmse","0.130745075419","","Gain dB normalized RMSE from 1 Hz to 1 MHz versus target H(s)"
"tran_nrmse","0.066379825286","","Settled transient normalized RMSE versus non-inverting 100 V/V target"
"inoise_total","7.302759e-6","Vrms","Integrated input-referred noise from 10 Hz to 20 kHz when noise run completed"
"log_scan","pass","","No forbidden log scan matches in OP/AC/tran/noise logs"
"decision","best_effort","","No 2BJT candidate met every initial gate; selected the lowest penalty row for the next maxrun tuning pass"
