"metric","value","unit","notes"
"midgain_db","33.106928","dB","Measured at 1 kHz"
"estimated_lower_cutoff_hz","14.14569","Hz","-3 dB crossing relative to 1 kHz midgain"
"estimated_upper_cutoff_hz","29357.40068","Hz","-3 dB crossing relative to 1 kHz midgain"
"high_rolloff_100k_to_1meg","-65.54","dB/dec","Far high-frequency slope check"
"out_pp","0.090388","V","Transient output peak-to-peak from 50 ms to 100 ms"
"output_center","2.49967","V","Transient output common-mode estimate"
"worst_power_w","1.207743291035e-4","W","max(OP static power, settled transient average power)"
"estimated_area_p","1.306175e+8","p","Same PPA area model as 3BJT final comparison"
"ac_nrmse","0.148638266485","","Gain dB normalized RMSE from 1 Hz to 1 MHz versus target H(s)"
"tran_nrmse","0.193920390317","","Settled transient normalized RMSE versus non-inverting 100 V/V target"
"inoise_total","9.809223e-6","Vrms","Integrated input-referred noise from 10 Hz to 20 kHz when noise run completed"
"log_scan","pass","","No forbidden log scan matches in OP/AC/tran/noise logs"
"decision","best_effort","","No 2BJT candidate met every initial gate; selected the lowest penalty row for the next maxrun tuning pass"
