"frequency_hz","target_gain_vv","target_gain_db","target_phase_deg","weight"
"1","0.01","-40.00000004","337.14616829","1"
"1.02920053","0.01122018","-38.99999996","336.48342619","1"
"1.05925373","0.01258925","-37.99999991","335.80174308","1"
"1.09018449","0.01412538","-37.00000016","335.1006026","1"
"1.12201845","0.01584893","-36.00000024","334.379476","1"
"1.15478198","0.01778279","-35.00000028","333.63782302","1"
"1.18850223","0.01995262","-34.0000001","332.87509115","1"
"1.22320712","0.02238721","-33.00000019","332.09071641","1"
"1.25892541","0.02511886","-32.00000032","331.28412223","1"
"1.2956867","0.02818383","-31.00000028","330.45472006","1"
"1.33352143","0.03162277","-30.00000049","329.60190995","1"
"1.37246096","0.03548134","-29.00000057","328.72507943","1"
"1.41253754","0.03981071","-28.0000008","327.82360492","1"
"1.45378439","0.04466836","-27.00000076","326.89685067","1"
"1.49623566","0.05011872","-26.000001","325.94417052","1"
"1.53992653","0.05623412","-25.00000128","324.96490658","1"
"1.58489319","0.06309572","-24.00000178","323.95839063","1"
"1.63117291","0.07079456","-23.00000216","322.92394362","1"
"1.67880402","0.0794328","-22.0000027","321.86087727","1"
"1.72782598","0.08912506","-21.00000346","320.76849373","1"
"1.77827941","0.09999995","-20.00000434","319.64608622","1"
"1.83020611","0.11220178","-19.0000054","318.49294005","1"
"1.88364909","0.12589244","-18.00000687","317.30833345","1"
"1.93865264","0.14125361","-17.00000859","316.0915377","1"
"1.99526231","0.15848912","-16.000011","314.8418193","1"
"2.05352503","0.17782766","-15.00001367","313.55843926","1"
"2.11348904","0.19952583","-14.00001729","312.24065667","1"
"2.17520403","0.22387155","-13.00002183","310.88772778","1"
"2.23872114","0.25118785","-12.00002738","309.49890834","1"
"2.30409298","0.28183718","-11.00003444","308.07345569","1"
"2.37137371","0.31622619","-10.00004337","306.6106296","1"
"2.44061907","0.35481116","-9.00005465","305.10969452","1"
"2.51188643","0.39810401","-8.00006885","303.56992144","1"
"2.58523484","0.44667914","-7.00008665","301.99059008","1"
"2.66072506","0.50118094","-6.00010909","300.37099158","1"
"2.73841963","0.56233243","-5.00013739","298.71043063","1"
"2.81838293","0.63094478","-4.00017291","297.00822797","1"
"2.9006812","0.70792805","-3.00021764","295.263724","1"
"2.98538262","0.79430318","-2.000274","293.47628127","1"
"3.07255737","0.89121555","-1.00034491","291.64528768","1"
"3.16227766","0.99995","-4.34274618e-4","289.77016052","1"
"3.25461783","1.12194783","0.99945324","287.85034919","1"
"3.34965439","1.25882566","1.99931173","285.88533953","1"
"3.44746607","1.41239665","2.9991336","283.87465801","1"
"3.54813389","1.58469417","3.99890922","281.81787578","1"
"3.65174127","1.7779983","4.99862683","279.71461212","1"
"3.75837404","1.99486526","5.99827136","277.56454004","1"
"3.86812055","2.23816035","6.99782395","275.36739007","1"
"3.98107171","2.51109437","7.99726069","273.12295561","1"
"4.0973211","2.81726424","8.99655166","270.83109692","1"
"4.21696503","3.16069769","9.99565919","268.49174631","1"
"4.34010264","3.54590259","10.99453602","266.10491255","1"
"4.46683592","3.97792066","11.99312233","263.67068683","1"
"4.59726989","4.46238634","12.99134335","261.18924566","1"
"4.73151259","5.00558954","13.9891047","258.66085739","1"
"4.86967525","5.61454288","14.98628806","256.08588509","1"
"5.01187234","6.29705141","15.98274478","253.46479166","1"
"5.15822165","7.06178358","16.97828807","250.79814413","1"
"5.30884444","7.91834094","17.97268394","248.08661636","1"
"5.4638655","8.87732159","18.96563906","245.33099312","1"
"5.62341325","9.95037189","19.95678625","242.53217306","1"
"5.78761988","11.15021757","20.94566684","239.69117051","1"
"5.95662144","12.49066145","21.93170874","236.80911765","1"
"6.13055792","13.9865306","22.9142","233.88726633","1"
"6.30957344","15.65355148","23.89225772","230.9269874","1"
"6.49381632","17.50812103","24.8647908","227.92977135","1"
"6.68343918","19.56693744","25.83045713","224.89722782","1"
"6.87859912","21.84644613","26.78761597","221.83108298","1"
"7.07945784","24.36204894","27.73427623","218.73317717","1"
"7.28618175","27.12702646","28.66804382","215.60546189","1"
"7.49894209","30.15113441","29.58607313","212.44999579","1"
"7.71791516","33.43886514","30.4850306","209.26893819","1"
"7.94328235","36.98741528","31.36107967","206.06454485","1"
"8.17523038","40.78449839","32.20990251","202.83915981","1"
"8.41395142","44.80625062","33.02677207","199.59520832","1"
"8.65964323","49.01561718","33.80668951","196.3351887","1"
"8.91250938","53.36171368","34.54459537","193.06166255","1"
"9.17275935","57.78066932","35.23565137","189.77724604","1"
"9.44060876","62.19832629","35.87557397","186.48459896","1"
"9.71627952","66.53483051","36.4609811","183.1864145","1"
"10","70.71067812","36.98970004","179.88540845","1"
"10.2920053","74.65330797","37.46098113","176.5843071","1"
"10.5925373","78.30305414","37.87557403","173.28583763","1"
"10.9018449","81.61736462","38.23565135","169.99271626","1"
"11.2201845","84.57261642","38.54459533","166.70763424","1"
"11.5478198","87.16346257","38.80668949","163.43325136","1"
"11.8850223","89.40022337","39.02677208","160.1721823","1"
"12.2320712","91.3051187","39.20990251","156.92698967","1"
"12.5892541","92.9081864","39.36107965","153.70016976","1"
"12.956867","94.24352666","39.48503059","150.49414601","1"
"13.3352143","95.34625887","39.58607314","147.31126262","1"
"13.7246096","96.25032174","39.6680438","144.15377221","1"
"14.1253754","96.98706385","39.73427624","141.02383378","1"
"14.5378439","97.58449057","39.78761599","137.92350242","1"
"14.9623566","98.06699225","39.83045711","134.85472932","1"
"15.3992653","98.45539958","39.86479078","131.81935212","1"
"15.8489319","98.76723304","39.89225774","128.81909512","1"
"16.3117291","99.01705389","39.91420001","125.85556402","1"
"16.7880402","99.21685028","39.93170872","122.93024759","1"
"17.2782598","99.37641897","39.94566686","120.04451412","1"
"17.7827941","99.50371902","39.95678626","117.19961165","1"
"18.3020611","99.60518642","39.96563905","114.39666927","1"
"18.8364909","99.68600642","39.97268396","111.63669856","1"
"19.3865264","99.75034443","39.97828808","108.92059366","1"
"19.9526231","99.80153878","39.98274475","106.24913653","1"
"20.5352503","99.84226013","39.98628807","103.62299587","1"
"21.1348904","99.87464179","39.98910469","101.04273554","1"
"21.7520403","99.90038593","39.99134332","98.50881365","1"
"22.3872114","99.92084941","39.99312235","96.02158854","1"
"23.0409298","99.9371131","39.994536","93.58132384","1"
"23.7137371","99.95003747","39.99565923","91.18819148","1"
"24.4061907","99.96030723","39.99655165","88.84227694","1"
"25.1188643","99.96846705","39.99726065","86.5435838","1"
"25.8523484","99.97495005","39.99782392","84.29203852","1"
"26.6072506","99.98010058","39.99827139","82.08749577","1"
"27.3841963","99.98419236","39.99862686","79.92974259","1"
"28.1838293","99.98744293","39.99890924","77.818503","1"
"29.006812","99.99002518","39.99913356","75.75344347","1"
"29.8538262","99.99207648","39.99931174","73.73417687","1"
"30.7255737","99.99370597","39.99945329","71.76026677","1"
"31.6227766","99.99500037","39.99956573","69.83123243","1"
"32.5461783","99.9960286","39.99965504","67.946552","1"
"33.4965439","99.99684536","39.99972599","66.10566702","1"
"34.4746607","99.99749416","39.99978234","64.30798642","1"
"35.4813389","99.99800952","39.99982711","62.55289004","1"
"36.5174127","99.9984189","39.99986267","60.83973127","1"
"37.5837404","99.99874408","39.99989091","59.16784137","1"
"38.6812055","99.99900238","39.99991335","57.53653184","1"
"39.8107171","99.99920756","39.99993117","55.94509782","1"
"40.973211","99.99937054","39.99994533","54.39282023","1"
"42.1696503","99.9995","39.99995657","52.87896853","1"
"43.4010264","99.99960284","39.9999655","51.40280287","1"
"44.6683592","99.99968452","39.9999726","49.96357695","1"
"45.9726989","99.99974941","39.99997823","48.56053887","1"
"47.3151259","99.99980095","39.99998271","47.19293413","1"
"48.6967525","99.99984189","39.99998627","45.86000644","1"
"50.1187234","99.99987441","39.99998909","44.5609997","1"
"51.5822165","99.99990024","39.99999133","43.29515955","1"
"53.0884444","99.99992076","39.99999312","42.0617342","1"
"54.638655","99.99993705","39.99999453","40.85997594","1"
"56.2341325","99.99995","39.99999566","39.68914222","1"
"57.8761988","99.99996028","39.99999655","38.54849635","1"
"59.5662144","99.99996845","39.99999726","37.43730846","1"
"61.3055792","99.99997494","39.99999782","36.35485651","1"
"63.0957344","99.99998009","39.99999827","35.30042645","1"
"64.9381632","99.99998419","39.99999863","34.27331313","1"
"66.8343918","99.99998744","39.99999891","33.27282091","1"
"68.7859912","99.99999002","39.99999913","32.29826382","1"
"70.7945784","99.99999208","39.99999931","31.34896599","1"
"72.8618175","99.99999371","39.99999945","30.42426209","1"
"74.9894209","99.999995","39.99999957","29.52349765","1"
"77.1791516","99.99999603","39.99999966","28.64602885","1"
"79.4328235","99.99999685","39.99999973","27.79122325","1"
"81.7523038","99.99999749","39.99999978","26.95845947","1"
"84.1395142","99.99999801","39.99999983","26.14712743","1"
"86.5964323","99.99999842","39.99999986","25.35662846","1"
"89.1250938","99.99999874","39.99999989","24.58637513","1"
"91.7275935","99.999999","39.99999991","23.83579145","1"
"94.4060876","99.99999921","39.99999993","23.10431262","1"
"97.1627952","99.99999937","39.99999995","22.3913851","1"
"100","99.9999995","39.99999996","21.69646651","1"
"102.920053","99.9999996","39.99999997","21.01902532","1"
"105.925373","99.99999968","39.99999997","20.35854111","1"
"109.018449","99.99999975","39.99999998","19.71450426","1"
"112.201845","99.9999998","39.99999998","19.08641526","1"
"115.478198","99.99999984","39.99999999","18.4737854","1"
"118.850223","99.99999987","39.99999999","17.87613605","1"
"122.320712","99.9999999","39.99999999","17.29299898","1"
"125.892541","99.99999992","39.99999999","16.7239154","1"
"129.56867","99.99999994","39.99999999","16.16843618","1"
"133.352143","99.99999995","40","15.62612201","1"
"137.246096","99.99999996","40","15.0965423","1"
"141.253754","99.99999997","40","14.57927588","1"
"145.378439","99.99999997","40","14.07390994","1"
"149.623566","99.99999998","40","13.58004076","1"
"153.992653","99.99999998","40","13.09727251","1"
"158.489319","99.99999999","40","12.62521769","1"
"163.117291","99.99999999","40","12.16349638","1"
"167.880402","99.99999999","40","11.71173662","1"
"172.782598","99.99999999","40","11.26957372","1"
"177.827941","99.99999999","40","10.83665009","1"
"183.020611","100","40","10.41261515","1"
"188.364909","100","40","9.99712507","1"
"193.865264","100","40","9.58984236","1"
"199.526231","100","40","9.19043597","1"
"205.352503","100","40","8.79858055","1"
"211.348904","100","40","8.41395694","1"
"217.520403","100","40","8.03625126","1"
"223.872114","100","40","7.665155","1"
"230.409298","100","40","7.3003649","1"
"237.137371","100","40","6.9415825","1"
"244.061907","100","40","6.58851404","1"
"251.188643","100","40","6.2408702","1"
"258.523484","100","40","5.8983659","1"
"266.072506","100","40","5.56072012","1"
"273.841963","100","40","5.22765567","1"
"281.838293","100","40","4.89889887","1"
"290.06812","100","40","4.57417955","1"
"298.538262","100","40","4.25323068","1"
"307.255737","100","40","3.93578819","1"
"316.227766","100","40","3.62159085","1"
"325.461783","100","40","3.31037993","1"
"334.965439","100","40","3.00189907","1"
"344.746607","100","40","2.69589413","1"
"354.813389","100","40","2.39211297","1"
"365.174127","100","40","2.09030511","1"
"375.837404","100","40","1.79022171","1"
"386.812055","100","40","1.49161529","1"
"398.107171","100","40","1.19423957","1"
"409.73211","100","40","0.89784923","1"
"421.696503","100","40","0.60219975","1"
"434.010264","100","40","0.30704714","1"
"446.683592","100","40","0.01214792","1"
"459.726989","100","40","-0.2827413","1"
"473.151259","100","40","-0.5778638","1"
"486.967525","100","40","-0.87346314","1"
"501.187234","100","40","-1.16978321","1"
"515.822165","100","40","-1.46706846","1"
"530.884444","100","40","-1.76556416","1"
"546.38655","100","40","-2.06551653","1"
"562.341325","100","40","-2.3671729","1"
"578.761988","100","40","-2.67078203","1"
"595.662144","100","40","-2.97659422","1"
"613.055792","100","40","-3.28486146","1"
"630.957344","100","40","-3.59583778","1"
"649.381632","100","40","-3.90977932","1"
"668.343918","100","40","-4.22694456","1"
"687.859912","100","40","-4.54759455","1"
"707.945784","100","40","-4.87199313","1"
"728.618175","100","40","-5.20040707","1"
"749.894209","100","40","-5.53310628","1"
"771.791516","100","40","-5.87036414","1"
"794.328235","100","40","-6.21245752","1"
"817.523038","100","40","-6.55966715","1"
"841.395142","100","40","-6.91227776","1"
"865.964323","100","40","-7.27057828","1"
"891.250938","100","40","-7.63486213","1"
"917.275935","100","40","-8.00542733","1"
"944.060876","100","40","-8.38257682","1"
"971.627952","100","40","-8.76661864","1"
"1000","100","40","-9.15786611","1"
"1029.20053","100","40","-9.55663818","1"
"1059.25373","100","40","-9.96325947","1"
"1090.18449","100","40","-10.37806051","1"
"1122.01845","100","40","-10.8013784","1"
"1154.78198","99.99999999","40","-11.23355643","1"
"1188.50223","99.99999999","40","-11.67494472","1"
"1223.20712","99.99999999","40","-12.12589998","1"
"1258.92541","99.99999999","40","-12.58678643","1"
"1295.6867","99.99999998","40","-13.05797564","1"
"1333.52143","99.99999998","40","-13.53984651","1"
"1372.46096","99.99999998","40","-14.03278615","1"
"1412.53754","99.99999997","40","-14.53718946","1"
"1453.78439","99.99999996","40","-15.05345995","1"
"1496.23566","99.99999995","40","-15.58200922","1"
"1539.92653","99.99999994","39.99999999","-16.12325799","1"
"1584.89319","99.99999992","39.99999999","-16.67763579","1"
"1631.17291","99.9999999","39.99999999","-17.2455816","1"
"1678.80402","99.99999988","39.99999999","-17.82754351","1"
"1727.82598","99.99999984","39.99999999","-18.42397934","1"
"1778.27941","99.9999998","39.99999998","-19.03535685","1"
"1830.20611","99.99999975","39.99999998","-19.66215376","1"
"1883.64909","99.99999969","39.99999997","-20.30485789","1"
"1938.65264","99.99999961","39.99999997","-20.96396773","1"
"1995.26231","99.99999951","39.99999996","-21.63999197","1"
"2053.52503","99.99999938","39.99999995","-22.3334506","1"
"2113.48904","99.99999922","39.99999993","-23.04487378","1"
"2175.20403","99.99999902","39.99999991","-23.77480315","1"
"2238.72114","99.99999877","39.99999989","-24.52379148","1"
"2304.09298","99.99999845","39.99999987","-25.29240243","1"
"2371.37371","99.99999805","39.99999983","-26.08121114","1"
"2440.61907","99.99999754","39.99999979","-26.89080403","1"
"2511.88643","99.9999969","39.99999973","-27.7217789","1"
"2585.23484","99.9999961","39.99999966","-28.57474496","1"
"2660.72506","99.99999509","39.99999957","-29.45032252","1"
"2738.41963","99.99999382","39.99999946","-30.34914321","1"
"2818.38293","99.99999222","39.99999932","-31.27184991","1"
"2900.6812","99.99999021","39.99999915","-32.21909622","1"
"2985.38262","99.99998768","39.99999893","-33.19154658","1"
"3072.55737","99.99998449","39.99999865","-34.189876","1"
"3162.27766","99.99998047","39.9999983","-35.21476949","1"
"3254.61783","99.99997541","39.99999786","-36.26692209","1"
"3349.65439","99.99996905","39.99999731","-37.34703824","1"
"3447.46607","99.99996103","39.99999662","-38.45583112","1"
"3548.13389","99.99995094","39.99999574","-39.59402211","1"
"3651.74127","99.99993824","39.99999464","-40.76234061","1"
"3758.37404","99.99992224","39.99999325","-41.96152267","1"
"3868.12055","99.99990211","39.9999915","-43.19231055","1"
"3981.07171","99.99987677","39.9999893","-44.4554514","1"
"4097.3211","99.99984486","39.99998652","-45.75169666","1"
"4216.96503","99.99980469","39.99998304","-47.08180066","1"
"4340.10264","99.99975412","39.99997864","-48.44651955","1"
"4466.83592","99.99969045","39.99997311","-49.84660926","1"
"4597.26989","99.9996103","39.99996615","-51.28282497","1"
"4731.51259","99.9995094","39.99995739","-52.75591837","1"
"4869.67525","99.99938237","39.99994635","-54.26663672","1"
"5011.87234","99.99922246","39.99993246","-55.81572038","1"
"5158.22165","99.99902113","39.99991498","-57.40390051","1"
"5308.84444","99.99876768","39.99989296","-59.03189734","1"
"5463.8655","99.99844861","39.99986525","-60.70041719","1"
"5623.41325","99.99804693","39.99983036","-62.41014982","1"
"5787.61988","99.99754125","39.99978643","-64.16176589","1"
"5956.62144","99.99690465","39.99973114","-65.95591373","1"
"6130.55792","99.99610323","39.99966152","-67.79321578","1"
"6309.57344","99.99509433","39.99957389","-69.67426595","1"
"6493.81632","99.99382425","39.99946356","-71.59962549","1"
"6683.43918","99.99222538","39.99932468","-73.56981901","1"
"6878.59912","99.99021262","39.99914984","-75.58533105","1"
"7079.45784","99.98767889","39.99892974","-77.64660185","1"
"7286.18175","99.98448939","39.99865266","-79.75402286","1"
"7498.94209","99.98047447","39.99830387","-81.90793211","1"
"7717.91516","99.97542068","39.9978648","-84.10861057","1"
"7943.28235","99.96905942","39.99731212","-86.35627633","1"
"8175.23038","99.9610528","39.99661643","-88.65108079","1"
"8413.95142","99.95097579","39.99574077","-90.99310348","1"
"8659.64323","99.93829393","39.99463862","-93.38234712","1"
"8912.50938","99.92233526","39.99325151","-95.81873336","1"
"9172.75935","99.90225537","39.99150586","-98.3020974","1"
"9440.60876","99.87699348","39.98930921","-100.83218387","1"
"9716.27952","99.84521787","39.98654538","-103.40864209","1"
"10000","99.80525785","39.98306842","-106.03102167","1"
"10292.0053","99.75501931","39.97869514","-108.69876919","1"
"10592.5373","99.69188047","39.97319576","-111.41122318","1"
"10901.8449","99.61256363","39.96628234","-114.16761112","1"
"11220.1845","99.51297829","39.95759449","-116.96704894","1"
"11547.8198","99.38803144","39.94668177","-119.80853491","1"
"11885.0223","99.2313998","39.93298236","-122.69095023","1"
"12232.0712","99.03526126","39.91579703","-125.61305495","1"
"12589.2541","98.78998332","39.89425824","-128.57349137","1"
"12956.867","98.48377244","39.86729352","-131.57078203","1"
"13335.2143","98.10229434","39.83358329","-134.6033286","1"
"13724.6096","97.62828631","39.79151332","-137.66941798","1"
"14125.3754","97.04120204","39.73912335","-140.76722027","1"
"14537.8439","96.31694939","39.67405438","-143.89479628","1"
"14962.3566","95.42781664","39.59349975","-147.05009654","1"
"15399.2653","94.3427095","39.4941669","-150.23097185","1"
"15848.9319","93.02786006","39.37226062","-153.43517548","1"
"16311.7291","91.44817352","39.22350072","-156.6603728","1"
"16788.0402","89.56936244","39.04318966","-159.90414524","1"
"17278.2598","87.36092099","38.82634408","-163.1640013","1"
"17782.7941","84.7998304","38.56789967","-166.43738531","1"
"18302.0611","81.87463811","38.26298787","-169.72168613","1"
"18836.4909","78.5892801","37.90726621","-173.014247","1"
"19386.5264","74.96581824","37.49726571","-176.31237829","1"
"19952.6231","71.04527908","37.03070449","-179.61336495","1"
"20535.2503","66.88604512","36.50671035","-182.91448252","1"
"21134.8904","62.55982534","35.92591055","-186.2130021","1"
"21752.0403","58.14579908","35.29036687","-189.50620741","1"
"22387.2114","53.72403393","34.60337229","-192.79140351","1"
"23040.9298","49.36935579","33.86914921","-196.06592668","1"
"23713.7371","45.14661158","33.09250321","-199.32715699","1"
"24406.1907","41.10781148","32.27848712","-202.57252772","1"
"25118.8643","37.29114237","31.43211375","-205.79953523","1"
"25852.3484","33.72150365","30.55813863","-209.00574816","1"
"26607.2506","30.41206074","29.66091698","-212.18881504","1"
"27384.1963","27.3663147","28.74432634","-215.34647279","1"
"28183.8293","24.58029419","27.81174153","-218.47655397","1"
"29006.812","22.04460701","26.86604722","-221.57699143","1"
"29853.8262","19.74620539","25.909673","-224.64582458","1"
"30725.5737","17.6698173","24.94464118","-227.68120382","1"
"31622.7766","15.79905011","23.97261953","-230.68139298","1"
"32546.1783","14.1172022","22.9949727","-233.64477339","1"
"33496.5439","12.60783559","22.01281074","-236.5698448","1"
"34474.6607","11.25515857","21.02703236","-239.45522604","1"
"35481.3389","10.04426401","20.03836239","-242.29965538","1"
"36517.4127","8.96126171","19.04738321","-245.10199126","1"
"37583.7404","7.99333665","18.05456209","-247.86120937","1"
"38681.2055","7.12875426","17.06027288","-250.57640198","1"
"39810.7171","6.35683188","16.06481452","-253.24677469","1"
"40973.211","5.66788819","15.06842549","-255.87164448","1"
"42169.6503","5.05318034","14.07129596","-258.45043593","1"
"43401.0264","4.50483476","13.0735773","-260.98267802","1"
"44668.3592","4.01577636","12.07539038","-263.46799881","1"
"45972.6989","3.57965812","11.07683102","-265.90612316","1"
"47315.1259","3.19079416","10.07797577","-268.29686637","1"
"48696.7525","2.84409608","9.07888529","-270.64013106","1"
"50118.7234","2.53501417","8.07960782","-272.93590167","1"
"51582.2165","2.25948309","7.0801819","-275.18423947","1"
"53088.4444","2.01387216","6.08063795","-277.38527858","1"
"54638.655","1.79494031","5.08100021","-279.53922055","1"
"56234.1325","1.59979524","4.08128801","-281.64632956","1"
"57876.1988","1.42585654","3.08151663","-283.70692827","1"
"59566.2144","1.27082254","2.08169819","-285.72139288","1"
"61305.5792","1.1326406","1.08184248","-287.69014841","1"
"63095.7344","1.00948031","0.08195709","-289.61366521","1"
"64938.1632","0.8997097","-0.91795194","-291.49245419","1"
"66834.3918","0.80187379","-1.91787963","-293.32706269","1"
"68785.9912","0.7146755","-2.91782216","-295.11807116","1"
"70794.5784","0.63695855","-3.91777653","-296.86608944","1"
"72861.8175","0.56769227","-4.91774033","-298.57175306","1"
"74989.4209","0.50595795","-5.91771151","-300.23571987","1"
"77179.1516","0.45093668","-6.91768868","-301.85866764","1"
"79432.8235","0.40189858","-7.91767051","-303.44129032","1"
"81752.3038","0.35819308","-8.91765607","-304.98429595","1"
"84139.5142","0.31924034","-9.91764462","-306.48840389","1"
"86596.4323","0.28452355","-10.91763549","-307.95434237","1"
"89125.0938","0.2535821","-11.91762827","-309.38284661","1"
"91727.5935","0.22600543","-12.91762252","-310.77465642","1"
"94406.0876","0.20142766","-13.91761796","-312.13051463","1"
"97162.7952","0.17952266","-14.91761436","-313.45116525","1"
"100000","0.1599998","-15.91761146","-314.73735179","1"
"102920.053","0.1426","-16.91760927","-315.98981622","1"
"105925.373","0.12709241","-17.91760752","-317.20929699","1"
"109018.449","0.11327125","-18.91760584","-318.39652812","1"
"112201.845","0.10095313","-19.91760464","-319.5522391","1"
"115478.198","0.08997458","-20.91760372","-320.67715232","1"
"118850.223","0.08018993","-21.91760321","-321.77198329","1"
"122320.712","0.07146936","-22.91760259","-322.83743879","1"
"125892.541","0.06369713","-23.91760206","-323.87421771","1"
"129568.67","0.05677013","-24.91760181","-324.88300962","1"
"133352.143","0.05059644","-25.9176014","-325.86449359","1"
"137246.096","0.04509412","-26.9176012","-326.81933926","1"
"141253.754","0.04019018","-27.91760093","-327.74820494","1"
"145378.439","0.03581954","-28.91760101","-328.65173857","1"
"149623.566","0.0319242","-29.91760088","-329.53057597","1"
"153992.653","0.02845247","-30.91760079","-330.38534214","1"
"158489.319","0.02535829","-31.91760057","-331.21665006","1"
"163117.291","0.0226006","-32.91760059","-332.02510131","1"
