metric,value,unit,notes
vdd,5.000000,V,Supply voltage
b1_base,1.129207,V,Stage 1 base DC operating point
b1_emitter,0.335519,V,Stage 1 emitter DC operating point
b1_collector,3.366164,V,Stage 1 collector DC operating point
b2_base,1.129207,V,Stage 2 base DC operating point from independent divider
b2_emitter,0.335519,V,Stage 2 emitter DC operating point
b2_collector,3.366164,V,Stage 2 collector DC operating point
b3_base,1.129207,V,Stage 3 base DC operating point from independent divider
b3_emitter,0.335519,V,Stage 3 emitter DC operating point
b3_collector,3.365828,V,Stage 3 collector DC operating point
vout_final,3.365828,V,Alias of stage 3 collector output node
vbe1,0.793688,V,b1_base minus b1_emitter
vce1,3.030645,V,b1_collector minus b1_emitter
vbe2,0.793688,V,b2_base minus b2_emitter
vce2,3.030645,V,b2_collector minus b2_emitter
vbe3,0.793688,V,b3_base minus b3_emitter
vce3,3.030309,V,b3_collector minus b3_emitter
interstage12_dc_delta,2.236956,V,b1_collector minus b2_base; C12 blocks direct DC transfer
interstage23_dc_delta,2.236957,V,b2_collector minus b3_base; C23 blocks direct DC transfer
ivdd,-8.42075e-05,A,ngspice current through VDD source
istatic,8.42075e-05,A,absolute supply current
pdc,4.21038e-04,W,5 V times istatic
log_scan,pass,,No can't find/unknown/fatal/singular/error/failed matches in bjt3_op.log
decision,pass,,DC gate passed: all VBE values are 0.6 V to 0.9 V and all VCE values exceed 1.0 V
