metric,value,unit,notes
midgain_vv,94.765825,V/V,Measured at 1 kHz from COUT alignment AC CSV
midgain_db,39.533420,dB,Measured at 1 kHz; 0.4666 dB below 40 dB target
phase_1k_deg,3.09563,deg,Measured phase of v(vout_final)/v(vin) at 1 kHz
estimated_lower_cutoff_hz,10.59978,Hz,-3 dB crossing relative to 1 kHz midgain
estimated_upper_cutoff_hz,23386.60,Hz,-3 dB crossing relative to 1 kHz midgain
passband_ripple_db,3.337105,dB,Gain variation from 10 Hz to 20 kHz
low_rolloff_0p316_to_3p162,72.51,dB/dec,Practical low-frequency slope over 0.316 Hz to 3.162 Hz
low_rolloff_1_to_10,49.26,dB/dec,Practical low-frequency slope over 1 Hz to 10 Hz
ac_nrmse,0.160141,,Target magnitude dB comparison over 1 Hz to 1 MHz
out_pp,0.189597,V,Transient output peak-to-peak at 1 kHz from 50 ms to 100 ms
output_center,2.499753,V,Average of transient max and min
vin_pp,0.002000,V,Transient input peak-to-peak at 1 kHz
tran_gain_vv,94.798,V/V,out_pp/vin_pp
vout_final_op,2.500000,V,DC final output after rebias
vbe1,0.779136,V,OP stage 1 base-emitter voltage
vce1,3.644734,V,OP stage 1 collector-emitter voltage
vbe2,0.779136,V,OP stage 2 base-emitter voltage
vce2,3.644734,V,OP stage 2 collector-emitter voltage
vbe3,0.779136,V,OP stage 3 base-emitter voltage
vce3,3.644734,V,OP stage 3 collector-emitter voltage
istatic,3.317110e-005,A,Absolute value of OP i(vdd)
pdc,1.658555e-004,W,VDD times istatic
onoise_total,1.231839e-003,Vrms,Integrated output noise from 10 Hz to 20 kHz
inoise_total,1.501115e-005,Vrms,Integrated input-referred noise from 10 Hz to 20 kHz
log_scan,pass,,No can't find/unknown/fatal/singular/error/failed matches in OP/AC/tran/noise logs
decision,accepted,,COUT=10n improves low-frequency slope and AC nRMSE while preserving 10 Hz-ish cutoff output center transient and noise gates
