"metric","value","unit","notes"
"midgain_db","39.540374","dB","Measured at 1 kHz"
"estimated_lower_cutoff_hz","10.59845","Hz","-3 dB crossing relative to 1 kHz midgain"
"estimated_upper_cutoff_hz","20738.04886","Hz","-3 dB crossing relative to 1 kHz midgain"
"output_filter_pole1_hz","106103.3","Hz","First post-buffer RC pole estimate"
"output_filter_pole2_hz","99471.84","Hz","Second post-buffer RC pole estimate including 10 pF load"
"high_rolloff_10k_to_100k","-28.4","dB/dec","High-frequency slope check"
"high_rolloff_20k_to_200k","-48.9","dB/dec","High-frequency slope check"
"high_rolloff_100k_to_1meg","-87.17","dB/dec","Far high-frequency slope check"
"out_pp","0.189751","V","Transient output peak-to-peak from 50 ms to 100 ms"
"output_center","2.499753","V","Transient output common-mode estimate"
"istatic","4.71711e-5","A","OP static supply current including 2 MHz OPAMP current model"
"pdc","2.358555e-4","W","VDD times static current"
"inoise_total","1.501195e-5","Vrms","Integrated input-referred noise from 10 Hz to 20 kHz; ideal buffer adds no noise"
"log_scan","pass","","No forbidden log scan matches in OP/AC/tran/noise logs"
"decision","accepted","","Accepted load-buffer/filter fallback; Cycle G deliverables need refresh before replacing the BJT-only final candidate"
