metric,value,unit,notes
midgain_vv,94.8476814,V/V,Measured at 1 kHz from rebias AC CSV
midgain_db,39.5405344,dB,Measured at 1 kHz; 0.4595 dB below 40 dB target
phase_1k_deg,3.09298,deg,Measured phase of v(vout_final)/v(vin) at 1 kHz
estimated_lower_cutoff_hz,9.893984,Hz,-3 dB crossing relative to 1 kHz midgain
estimated_upper_cutoff_hz,23384.244,Hz,-3 dB crossing relative to 1 kHz midgain
passband_ripple_db,2.9464867,dB,Gain variation from 10 Hz to 20 kHz
out_max,2.59455,V,Transient max from 50 ms to 100 ms
out_min,2.40485,V,Transient min from 50 ms to 100 ms
out_pp,0.18970,V,Transient output peak-to-peak at 1 kHz
output_center,2.49970,V,Average of transient max and min
vin_pp,0.00200,V,Transient input peak-to-peak at 1 kHz
tran_gain_vv,94.850,V/V,out_pp/vin_pp
istatic,3.317110e-005,A,Absolute value of OP i(vdd)
pdc,1.658555e-004,W,VDD times istatic
onoise_total,1.251041e-003,Vrms,Integrated output noise from 10 Hz to 20 kHz
inoise_total,1.501858e-005,Vrms,Integrated input-referred noise from 10 Hz to 20 kHz
log_scan,pass,,No can't find/unknown/fatal/singular/error/failed matches in OP/AC/tran/noise logs
decision,accepted,,Output rebias fixes common-mode while preserving gain bandwidth transient and noise gates
