"version","component","logical_role","library_cell","value","geometry","count","source_netlist","ppa_included","notes"
"bjt3_sweep_hfbuf_r10k_c150p","Q1-Q3","three common-emitter gain transistors","sky130_fd_pr_main / npn_05v5","mult=1 each","W1p00L1p00","3","netlists/bjt3_sweep_hfbuf_r10k_c150p_ac.spice","true","NPN area rule: 1p per device"
"bjt3_sweep_hfbuf_r10k_c150p","RC1-RC3","collector load resistors","sky130_fd_pr_main / res_high_po_5p73","120k","w=5.73um, length calculated from model","3","netlists/bjt3_sweep_hfbuf_r10k_c150p_ac.spice","true","ideal R mapped to one equivalent high-poly resistor per stage"
"bjt3_sweep_hfbuf_r10k_c150p","RE1-RE3","emitter degeneration resistors","sky130_fd_pr_main / res_high_po_5p73","18.5k","w=5.73um, length calculated from model","3","netlists/bjt3_sweep_hfbuf_r10k_c150p_ac.spice","true","sets accepted gain/headroom point"
"bjt3_sweep_hfbuf_r10k_c150p","RB1_TOP-RB3_TOP","base bias divider upper resistors","sky130_fd_pr_main / res_high_po_5p73","3.3Meg","w=5.73um, length calculated from model","3","netlists/bjt3_sweep_hfbuf_r10k_c150p_ac.spice","true","high impedance divider reduces AC loading and bias current"
"bjt3_sweep_hfbuf_r10k_c150p","RB1_BOT-RB3_BOT","base bias divider lower resistors","sky130_fd_pr_main / res_high_po_5p73","1Meg","w=5.73um, length calculated from model","3","netlists/bjt3_sweep_hfbuf_r10k_c150p_ac.spice","true","keeps base divider ratio from verified candidate"
"bjt3_sweep_hfbuf_r10k_c150p","ROUT_TOP-ROUT_BOT","output rebias divider","sky130_fd_pr_main / res_high_po_5p73","10Meg","w=5.73um, length calculated from model","2","netlists/bjt3_sweep_hfbuf_r10k_c150p_ac.spice","true","rebiases final output to 2.5 V common-mode"
"bjt3_sweep_hfbuf_r10k_c150p","CIN,C12,C23","input and interstage coupling capacitors","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","68n","11.5um x 11.7um, multiplier calculated from model ctot_a","3","netlists/bjt3_sweep_hfbuf_r10k_c150p_ac.spice","true","accepted input/interstage lower-cutoff capacitor family"
"bjt3_sweep_hfbuf_r10k_c150p","COUT","output coupling capacitor before rebias divider","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","10n","11.5um x 11.7um, multiplier calculated from model ctot_a","1","netlists/bjt3_sweep_hfbuf_r10k_c150p_ac.spice","true","accepted output pole-alignment capacitor, reduced from previous 68n"
"bjt3_sweep_hfbuf_r10k_c150p","CH1-CH3","collector high-frequency pole capacitors","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","30p","11.5um x 11.7um, multiplier calculated from model ctot_a","3","netlists/bjt3_sweep_hfbuf_r10k_c150p_ac.spice","true","sets upper cutoff near 23.4 kHz"
"bjt3_sweep_hfbuf_r10k_c150p","EBUF/IOPAMP","ideal ahdLib-equivalent output load buffer","ahdLib / opamp","OPAMP_FT=2Meg, IOPAMP=14uA","area=1000p by assignment rule","1","netlists/bjt3_sweep_hfbuf_r10k_c150p_ac.spice","true","fallback output buffer only; not part of the main BJT voltage gain path"
"bjt3_sweep_hfbuf_r10k_c150p","RBUF1-RBUF2","post-buffer two-pole output filter resistors","sky130_fd_pr_main / res_high_po_5p73","10k","w=5.73um, length calculated from model","2","netlists/bjt3_sweep_hfbuf_r10k_c150p_ac.spice","true","explicit output filter section for high-frequency rolloff"
"bjt3_sweep_hfbuf_r10k_c150p","CBUF1-CBUF2","post-buffer two-pole output filter capacitors","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","150p","11.5um x 11.7um, multiplier calculated from model ctot_a","2","netlists/bjt3_sweep_hfbuf_r10k_c150p_ac.spice","true","explicit output filter section for high-frequency rolloff"
"bjt3_sweep_hfbuf_r10k_c150p","CLOAD_10P","specified external evaluation load","sky130_fd_pr_main / cap_vpp_11p5x11p7_m1m4_noshield","10p","11.5um x 11.7um, multiplier calculated from model ctot_a","1","netlists/bjt3_sweep_hfbuf_r10k_c150p_ac.spice","false","project load condition, not counted as amplifier PPA area"
